epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,314.88,1.63842,3.59807,1.43818,0.00063,0.06169,0.00036,0.0001,1.55512,0.46988,1.72531,0.0701463,0.00331707,0.00331707
2,639.789,1.60445,0.39146,1.39467,0.00058,0.02771,0.00029,7e-05,1.6433,0.52097,1.85845,0.0401244,0.00662846,0.00662846
3,820.064,1.63374,0.38974,1.30332,0.00126,0.01175,0.00047,0.00011,1.66345,0.4635,1.8678,0.0100804,0.00991785,0.00991785
4,1033.87,1.54431,0.43837,1.1133,0.00374,0.01926,0.00142,0.00029,1.55392,0.5043,1.50194,0.009901,0.009901,0.009901
5,1261.1,1.50079,0.45336,1.02816,0.51008,0.02937,0.00528,0.00134,1.41492,0.59858,1.14736,0.009868,0.009868,0.009868
6,1464.19,1.4289,0.49828,0.94585,0.78939,0.05418,0.02561,0.00714,1.2546,0.68065,0.86207,0.009835,0.009835,0.009835
7,1642.47,1.31795,0.58664,0.82097,0.78497,0.0545,0.02825,0.0115,1.23501,0.71645,0.7601,0.009802,0.009802,0.009802
8,1870.81,1.25533,0.63346,0.72662,0.77573,0.06625,0.02066,0.00873,1.15034,0.79187,0.676,0.009769,0.009769,0.009769
9,2087.09,1.18744,0.69,0.6491,0.07314,0.0892,0.03335,0.01479,1.09433,0.81541,0.64582,0.009736,0.009736,0.009736
10,2317.13,1.14263,0.72129,0.59949,0.57954,0.09771,0.04345,0.01914,1.04069,0.85213,0.57777,0.009703,0.009703,0.009703
11,2506.64,1.10913,0.74429,0.56841,0.14191,0.10909,0.04996,0.02277,1.029,0.85912,0.56933,0.00967,0.00967,0.00967
12,2727.08,1.0721,0.76935,0.53354,0.19938,0.12527,0.05143,0.02406,1.06901,0.81708,0.59506,0.009637,0.009637,0.009637
13,2959.28,1.02489,0.79204,0.50108,0.22935,0.13164,0.07917,0.03767,0.94122,0.91109,0.49379,0.009604,0.009604,0.009604
14,3139.12,0.99792,0.80271,0.48404,0.18591,0.14996,0.09264,0.04635,0.946,0.88665,0.49815,0.009571,0.009571,0.009571
15,3341.89,0.98622,0.79362,0.46448,0.13838,0.15007,0.08371,0.04128,0.94463,0.91631,0.49667,0.009538,0.009538,0.009538
16,3577.96,0.96239,0.80706,0.44839,0.18328,0.16549,0.12003,0.06226,0.9181,0.89339,0.47376,0.009505,0.009505,0.009505
17,3775.51,0.91825,0.81625,0.43013,0.21738,0.19201,0.12138,0.06664,0.87231,0.91851,0.43689,0.009472,0.009472,0.009472
18,4001.1,0.92206,0.80803,0.42096,0.20833,0.19363,0.1318,0.06998,0.87365,0.92055,0.43892,0.009439,0.009439,0.009439
19,4188.89,0.91159,0.81237,0.40945,0.2296,0.20666,0.14762,0.08059,0.84535,0.92174,0.41236,0.009406,0.009406,0.009406
20,4473.02,0.87811,0.8236,0.39382,0.24111,0.21621,0.16291,0.08792,0.82903,0.91756,0.40359,0.009373,0.009373,0.009373
21,4665.01,0.86612,0.81578,0.38317,0.27129,0.22755,0.17481,0.09569,0.80679,0.9177,0.39425,0.00934,0.00934,0.00934
22,4884.9,0.85927,0.81594,0.37545,0.26936,0.25802,0.19686,0.11263,0.78737,0.9054,0.37502,0.009307,0.009307,0.009307
23,5072.89,0.84276,0.82104,0.37046,0.26641,0.2605,0.1921,0.10784,0.77402,0.92453,0.3921,0.009274,0.009274,0.009274
24,5272.9,0.83841,0.81034,0.35442,0.26211,0.27063,0.20222,0.11432,0.76443,0.90502,0.37858,0.009241,0.009241,0.009241
25,5490.23,0.82374,0.80477,0.3567,0.29464,0.29623,0.22552,0.12416,0.75694,0.889,0.36111,0.009208,0.009208,0.009208
26,5728.6,0.82165,0.79858,0.34944,0.28256,0.30165,0.22221,0.12502,0.74237,0.8997,0.37067,0.009175,0.009175,0.009175
27,5941.95,0.8048,0.79984,0.33679,0.30749,0.31088,0.23352,0.12936,0.74267,0.90223,0.36821,0.009142,0.009142,0.009142
28,6207.85,0.80683,0.79855,0.33489,0.31658,0.33743,0.2534,0.13862,0.72017,0.90652,0.3474,0.009109,0.009109,0.009109
29,6473.45,0.79897,0.78692,0.32851,0.31915,0.3147,0.25364,0.14324,0.71073,0.8908,0.34866,0.009076,0.009076,0.009076
30,6699.26,0.77315,0.801,0.32454,0.331,0.34611,0.26495,0.1484,0.70794,0.90323,0.33527,0.009043,0.009043,0.009043
31,6919,0.77238,0.79085,0.31926,0.32933,0.32572,0.27027,0.15313,0.70615,0.90497,0.34987,0.00901,0.00901,0.00901
32,7197.42,0.75493,0.79875,0.3199,0.33082,0.33427,0.2798,0.15888,0.70741,0.86858,0.35122,0.008977,0.008977,0.008977
33,7383.27,0.75468,0.78783,0.31619,0.34372,0.35997,0.2903,0.16592,0.68123,0.87367,0.33508,0.008944,0.008944,0.008944
34,7590.11,0.75548,0.78455,0.30509,0.3922,0.3676,0.30146,0.16966,0.67891,0.89161,0.33557,0.008911,0.008911,0.008911
