                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4748,                 3.9621,                 4.1173,                0.00077,                0.17134,                0.00607,                 0.0017,                 3.5106,                 3.7681,                 3.9301,               0.070291,               0.003301,               0.003301
                      2,                 3.1939,                  3.436,                 3.6175,                0.30187,                0.04665,                0.01749,                0.00532,                  2.973,                 3.8573,                 3.4997,               0.040269,              0.0066124,              0.0066124
                      3,                 2.8659,                  3.154,                 3.2266,                0.51738,                0.03557,                0.00912,                0.00243,                 3.0637,                 4.2581,                 3.4385,               0.010225,              0.0099019,              0.0099019
                      4,                 2.5285,                 2.8733,                 2.8057,                0.10237,                0.05771,                0.04936,                0.01741,                 2.7136,                  3.213,                 2.9554,               0.009901,               0.009901,               0.009901
                      5,                 2.3159,                 2.6263,                  2.515,                0.36251,                  0.127,                0.09071,                0.03577,                 2.5421,                 3.2498,                  2.766,               0.009901,               0.009901,               0.009901
                      6,                 2.1783,                 2.4078,                 2.3317,                0.32412,                0.16771,                0.16759,                0.07224,                 2.2609,                 2.5564,                 2.4599,               0.009868,               0.009868,               0.009868
                      7,                 2.0935,                 2.2868,                 2.2344,                0.43268,                0.22366,                 0.2289,                0.10221,                 2.1785,                 2.4146,                 2.3404,               0.009835,               0.009835,               0.009835
                      8,                  2.002,                 2.1495,                 2.1437,                0.42492,                0.25859,                0.24585,                0.11611,                 2.1127,                 2.1777,                 2.2717,               0.009802,               0.009802,               0.009802
                      9,                 1.9445,                 2.0461,                  2.056,                0.43303,                0.30586,                0.28477,                0.13957,                 2.0197,                 2.3098,                 2.1884,               0.009769,               0.009769,               0.009769
                     10,                 1.8893,                 1.9432,                  1.993,                0.52729,                0.26957,                0.28707,                0.13511,                 2.0539,                 2.1504,                 2.1805,               0.009736,               0.009736,               0.009736
                     11,                 1.8254,                 1.8418,                 1.9367,                0.45878,                0.35565,                 0.3478,                0.17169,                 1.9059,                 1.8209,                 2.0304,               0.009703,               0.009703,               0.009703
                     12,                 1.8016,                 1.7901,                 1.9101,                0.40153,                0.35946,                0.32617,                0.16572,                 1.9079,                 1.8372,                 2.0508,                0.00967,                0.00967,                0.00967
                     13,                  1.755,                 1.7364,                 1.8687,                0.57508,                0.38986,                0.39983,                0.20937,                 1.7449,                 1.6563,                 1.8711,               0.009637,               0.009637,               0.009637
                     14,                 1.7056,                 1.6664,                 1.8218,                0.53185,                0.41293,                0.43233,                0.22452,                  1.757,                 1.5981,                 1.8941,               0.009604,               0.009604,               0.009604
                     15,                 1.6877,                 1.6031,                 1.7934,                0.53286,                0.44223,                0.44422,                0.22922,                 1.7822,                 1.5696,                 1.8705,               0.009571,               0.009571,               0.009571
                     16,                 1.6663,                 1.5752,                 1.7637,                0.55074,                0.45023,                0.44677,                0.24121,                 1.6976,                  1.503,                  1.803,               0.009538,               0.009538,               0.009538
                     17,                 1.6251,                 1.5212,                 1.7333,                0.65316,                0.42961,                0.47198,                0.25833,                 1.6587,                 1.4684,                 1.7985,               0.009505,               0.009505,               0.009505
                     18,                 1.6031,                 1.4864,                 1.7002,                0.61376,                0.47802,                0.49416,                0.26957,                 1.6177,                 1.3917,                 1.7628,               0.009472,               0.009472,               0.009472
                     19,                 1.5884,                 1.4541,                 1.6912,                0.63073,                0.48972,                0.50988,                0.28203,                 1.6303,                 1.3565,                 1.7566,               0.009439,               0.009439,               0.009439
                     20,                 1.5787,                 1.4401,                 1.6867,                  0.648,                0.47707,                0.50612,                0.27181,                 1.5864,                 1.3516,                 1.7205,               0.009406,               0.009406,               0.009406
                     21,                 1.5616,                 1.4223,                 1.6684,                0.63011,                0.49035,                0.52582,                0.28609,                 1.6002,                  1.364,                 1.7184,               0.009373,               0.009373,               0.009373
                     22,                 1.5457,                 1.3907,                 1.6517,                0.63573,                0.53079,                0.55934,                0.30988,                 1.5329,                 1.2938,                 1.6614,                0.00934,                0.00934,                0.00934
                     23,                  1.533,                 1.3721,                 1.6448,                 0.6851,                0.53536,                0.55992,                0.31116,                 1.5345,                 1.2431,                 1.6859,               0.009307,               0.009307,               0.009307
                     24,                 1.5202,                 1.3583,                 1.6272,                0.70932,                 0.5434,                0.59217,                0.33291,                 1.4768,                 1.2255,                 1.6216,               0.009274,               0.009274,               0.009274
                     25,                 1.4974,                 1.3162,                 1.6006,                0.66819,                0.54642,                0.58239,                 0.3291,                 1.4899,                  1.196,                 1.6311,               0.009241,               0.009241,               0.009241
                     26,                 1.4814,                 1.2976,                 1.5897,                0.67056,                0.55702,                0.58298,                0.32853,                 1.5051,                 1.2205,                 1.6537,               0.009208,               0.009208,               0.009208
                     27,                 1.4756,                 1.2904,                 1.5885,                 0.7231,                0.54187,                0.59998,                0.33608,                 1.4868,                 1.2099,                 1.6185,               0.009175,               0.009175,               0.009175
                     28,                 1.4666,                 1.2597,                 1.5755,                0.67801,                0.58362,                0.60731,                0.34589,                 1.4361,                 1.1437,                 1.5747,               0.009142,               0.009142,               0.009142
                     29,                 1.4554,                 1.2534,                 1.5599,                0.70631,                 0.5781,                0.61774,                0.35114,                 1.4349,                 1.1174,                 1.5697,               0.009109,               0.009109,               0.009109
                     30,                 1.4406,                 1.2306,                 1.5509,                0.73091,                0.59041,                0.63238,                0.37135,                  1.412,                 1.1188,                 1.5403,               0.009076,               0.009076,               0.009076
                     31,                 1.4332,                 1.2325,                 1.5512,                0.72979,                0.58795,                0.63842,                0.36396,                 1.4313,                 1.1384,                 1.5719,               0.009043,               0.009043,               0.009043
                     32,                 1.4174,                 1.2081,                 1.5334,                0.78482,                0.59986,                0.66301,                0.38615,                 1.3738,                 1.0591,                 1.5264,                0.00901,                0.00901,                0.00901
                     33,                 1.4209,                 1.1954,                 1.5353,                0.75298,                0.59877,                0.65242,                0.37814,                  1.395,                 1.0941,                  1.541,               0.008977,               0.008977,               0.008977
                     34,                 1.4013,                 1.1875,                 1.5256,                0.74709,                0.61588,                0.66485,                0.38732,                 1.3867,                 1.0162,                 1.5226,               0.008944,               0.008944,               0.008944
                     35,                 1.3954,                 1.1491,                 1.5031,                0.77273,                0.63335,                0.67774,                 0.3988,                 1.3572,                 1.0161,                 1.5042,               0.008911,               0.008911,               0.008911
