                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4779,                 3.9489,                  4.118,                0.00077,                  0.172,                0.00683,                 0.0016,                 3.5098,                 3.7819,                  3.916,               0.070291,               0.003301,               0.003301
                      2,                 3.2092,                 3.4376,                 3.6265,                0.79277,                0.03525,                0.01717,                0.00523,                 3.0006,                 4.7113,                 3.4357,               0.040269,              0.0066124,              0.0066124
                      3,                 2.8588,                 3.1497,                 3.2211,                0.78499,                0.03394,                0.01571,                 0.0051,                  2.988,                 7.1739,                 3.3699,               0.010225,              0.0099019,              0.0099019
                      4,                 2.5274,                  2.879,                 2.8135,                0.30301,                0.08529,                0.03965,                0.01338,                  2.629,                 5.2434,                  2.926,               0.009901,               0.009901,               0.009901
                      5,                  2.319,                 2.6189,                 2.5379,                0.38804,                 0.1312,                0.11625,                0.04795,                 2.4192,                 3.0734,                 2.6531,               0.009901,               0.009901,               0.009901
                      6,                 2.1752,                 2.4055,                   2.35,                0.24431,                0.15722,                0.13903,                0.06033,                  2.365,                 2.7233,                 2.5187,               0.009868,               0.009868,               0.009868
                      7,                 2.0963,                 2.2859,                 2.2424,                0.44252,                0.21048,                0.22483,                0.10099,                 2.2279,                  2.354,                  2.391,               0.009835,               0.009835,               0.009835
                      8,                 2.0006,                 2.1537,                 2.1456,                0.35998,                0.26205,                0.24513,                0.11582,                 2.1067,                 2.2694,                 2.2545,               0.009802,               0.009802,               0.009802
                      9,                 1.9556,                  2.085,                 2.0726,                0.38263,                0.28787,                0.25706,                0.12124,                 2.0908,                 2.2694,                 2.2141,               0.009769,               0.009769,               0.009769
                     10,                 1.8855,                 1.9665,                 1.9977,                 0.5144,                0.33215,                0.33711,                0.16649,                 1.9286,                 1.9428,                 2.0634,               0.009736,               0.009736,               0.009736
                     11,                 1.8305,                 1.8589,                   1.94,                0.42844,                0.32281,                0.30596,                 0.1524,                 1.9358,                 1.8966,                 2.0425,               0.009703,               0.009703,               0.009703
                     12,                 1.7968,                 1.8015,                 1.9084,                0.42621,                0.37817,                0.35527,                0.18433,                 1.8379,                 1.7499,                 1.9733,                0.00967,                0.00967,                0.00967
                     13,                 1.7559,                 1.7469,                 1.8654,                0.51631,                0.37567,                0.39178,                0.20204,                 1.8121,                 1.6833,                 1.9227,               0.009637,               0.009637,               0.009637
                     14,                 1.7109,                 1.6756,                 1.8206,                0.51735,                0.41718,                0.41431,                0.21364,                 1.7818,                 1.5819,                 1.9087,               0.009604,               0.009604,               0.009604
                     15,                 1.6893,                 1.6341,                 1.7915,                0.49144,                0.40502,                0.42815,                0.23543,                 1.7192,                 1.5835,                 1.8316,               0.009571,               0.009571,               0.009571
                     16,                 1.6645,                 1.5918,                  1.764,                0.53206,                 0.4514,                0.44813,                0.24461,                 1.6838,                 1.5327,                 1.8187,               0.009538,               0.009538,               0.009538
                     17,                 1.6165,                 1.5315,                 1.7263,                0.59768,                0.45098,                0.46513,                0.24739,                 1.6639,                 1.4975,                 1.7992,               0.009505,               0.009505,               0.009505
                     18,                 1.6034,                 1.5003,                    1.7,                0.59734,                0.46855,                0.49015,                0.26707,                 1.6416,                 1.4106,                 1.7809,               0.009472,               0.009472,               0.009472
                     19,                 1.5925,                 1.4736,                 1.6924,                0.63651,                0.46222,                0.49866,                0.27733,                 1.5946,                 1.4004,                 1.7389,               0.009439,               0.009439,               0.009439
                     20,                 1.5847,                 1.4641,                 1.6869,                0.61351,                0.49665,                0.51484,                0.27914,                 1.5828,                 1.3485,                 1.7368,               0.009406,               0.009406,               0.009406
                     21,                 1.5712,                 1.4488,                 1.6734,                0.67383,                0.48661,                 0.5367,                 0.2918,                 1.5792,                 1.3378,                 1.7181,               0.009373,               0.009373,               0.009373
                     22,                 1.5496,                 1.4025,                 1.6572,                0.64181,                0.51525,                0.54165,                0.30234,                 1.5232,                 1.3185,                 1.6707,                0.00934,                0.00934,                0.00934
                     23,                 1.5375,                 1.3968,                 1.6481,                0.69603,                0.50723,                0.55709,                0.30721,                 1.5522,                 1.2863,                 1.6881,               0.009307,               0.009307,               0.009307
                     24,                 1.5318,                 1.3796,                 1.6319,                0.62091,                0.52597,                 0.5538,                0.30859,                 1.5523,                 1.2857,                 1.6854,               0.009274,               0.009274,               0.009274
                     25,                 1.5082,                 1.3382,                 1.6091,                0.66036,                0.54672,                0.57502,                0.32375,                 1.4793,                 1.2039,                 1.6345,               0.009241,               0.009241,               0.009241
                     26,                 1.4899,                 1.3173,                  1.598,                0.70048,                 0.5082,                0.56032,                0.31931,                 1.5102,                 1.2482,                 1.6596,               0.009208,               0.009208,               0.009208
                     27,                 1.4774,                  1.301,                 1.5896,                0.68238,                0.55495,                0.58351,                 0.3243,                 1.5118,                 1.2114,                 1.6395,               0.009175,               0.009175,               0.009175
                     28,                 1.4702,                 1.2827,                 1.5755,                 0.6952,                0.55296,                0.59196,                0.33145,                 1.4536,                 1.2016,                 1.6004,               0.009142,               0.009142,               0.009142
                     29,                 1.4651,                  1.268,                 1.5712,                 0.7119,                0.54353,                0.59313,                0.33982,                  1.464,                 1.1794,                 1.6048,               0.009109,               0.009109,               0.009109
                     30,                 1.4484,                 1.2457,                 1.5534,                0.74306,                 0.5613,                0.61113,                 0.3486,                 1.4844,                  1.161,                 1.6114,               0.009076,               0.009076,               0.009076
                     31,                 1.4354,                  1.248,                 1.5518,                0.68163,                0.59809,                0.62331,                0.36408,                 1.4101,                 1.1367,                 1.5625,               0.009043,               0.009043,               0.009043
                     32,                 1.4361,                 1.2309,                 1.5468,                0.72522,                0.59099,                0.63791,                0.36726,                  1.398,                 1.0933,                  1.558,                0.00901,                0.00901,                0.00901
                     33,                 1.4364,                 1.2254,                 1.5487,                0.71537,                0.59082,                0.63553,                0.36897,                 1.3956,                 1.0826,                 1.5424,               0.008977,               0.008977,               0.008977
                     34,                 1.4084,                 1.2102,                 1.5331,                0.74617,                0.59149,                0.64923,                 0.3744,                 1.3856,                 1.0511,                 1.5421,               0.008944,               0.008944,               0.008944
                     35,                 1.3979,                 1.1802,                 1.5096,                0.75553,                 0.6068,                0.65672,                0.38554,                 1.3768,                  1.045,                 1.5393,               0.008911,               0.008911,               0.008911
                     36,                 1.3911,                 1.1749,                 1.5084,                0.75564,                0.61673,                0.66155,                 0.3854,                 1.3779,                 1.0467,                 1.5374,               0.008878,               0.008878,               0.008878
                     37,                 1.3777,                 1.1549,                 1.4902,                 0.7568,                0.60342,                0.65724,                 0.3904,                 1.3557,                 1.0201,                  1.512,               0.008845,               0.008845,               0.008845
                     38,                 1.3807,                 1.1516,                 1.5034,                0.77376,                0.60477,                0.67026,                0.39775,                 1.3499,                 1.0248,                 1.4964,               0.008812,               0.008812,               0.008812
                     39,                 1.3712,                 1.1426,                 1.4915,                0.74724,                 0.6348,                0.68059,                0.41467,                 1.3184,                 1.0009,                 1.4814,               0.008779,               0.008779,               0.008779
                     40,                  1.354,                 1.1197,                 1.4803,                0.74832,                0.62371,                0.68143,                0.39981,                 1.3668,                 1.0157,                 1.5192,               0.008746,               0.008746,               0.008746
                     41,                 1.3538,                 1.1181,                 1.4809,                0.75928,                0.62996,                0.68509,                0.41409,                 1.3079,                 0.9554,                 1.4688,               0.008713,               0.008713,               0.008713
                     42,                 1.3526,                 1.1039,                 1.4687,                0.78768,                0.63224,                0.69912,                0.42157,                 1.3005,                0.95872,                 1.4587,                0.00868,                0.00868,                0.00868
                     43,                 1.3458,                 1.1072,                 1.4639,                 0.7691,                0.64633,                0.70184,                0.41075,                  1.321,                 0.9651,                 1.4795,               0.008647,               0.008647,               0.008647
                     44,                 1.3331,                 1.0913,                 1.4594,                0.83774,                0.64026,                0.72071,                0.43943,                 1.2801,                0.91405,                 1.4367,               0.008614,               0.008614,               0.008614
                     45,                 1.3244,                 1.0741,                  1.436,                0.79818,                0.64878,                0.70939,                 0.4279,                 1.2985,                0.93581,                 1.4445,               0.008581,               0.008581,               0.008581
                     46,                 1.3229,                 1.0689,                 1.4538,                0.78964,                 0.6591,                0.71839,                0.43429,                  1.283,                0.91425,                 1.4404,               0.008548,               0.008548,               0.008548
                     47,                  1.314,                 1.0583,                 1.4422,                0.80543,                0.66922,                0.72185,                0.44852,                 1.2495,                0.91015,                 1.4198,               0.008515,               0.008515,               0.008515
