                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4697,                 4.0199,                 4.1349,                0.00076,                0.17004,                0.00289,                0.00086,                 3.5118,                 3.7576,                 3.9705,               0.070291,               0.003301,               0.003301
                      2,                 3.2296,                 3.4963,                 3.6718,                0.52983,                0.04504,                0.01435,                0.00386,                 3.0695,                 4.5613,                 3.6004,               0.040269,              0.0066124,              0.0066124
                      3,                 2.8545,                 3.1637,                 3.2267,                  0.262,                0.03261,                0.00269,                0.00079,                 2.9534,                 4.7126,                 3.5596,               0.010225,              0.0099019,              0.0099019
                      4,                 2.5076,                  2.892,                 2.8156,                0.34574,                0.05578,                 0.0346,                0.01164,                 2.8164,                 3.4394,                 3.1856,               0.009901,               0.009901,               0.009901
                      5,                 2.3167,                 2.6545,                 2.5454,                0.86606,                0.09204,                 0.0968,                0.04477,                 2.4516,                  3.143,                 2.6364,               0.009901,               0.009901,               0.009901
                      6,                 2.1857,                 2.4357,                 2.3592,                0.50908,                0.12378,                 0.1545,                0.07388,                 2.2736,                 2.6292,                 2.4464,               0.009868,               0.009868,               0.009868
                      7,                  2.111,                 2.3099,                 2.2636,                0.35826,                0.16789,                0.17524,                0.08488,                 2.2348,                 2.5117,                 2.3513,               0.009835,               0.009835,               0.009835
                      8,                 2.0264,                 2.1341,                 2.1616,                0.67666,                0.22652,                 0.2429,                0.11486,                 2.1059,                 2.2297,                 2.2534,               0.009802,               0.009802,               0.009802
                      9,                  1.975,                 2.0723,                 2.0868,                0.43931,                0.27727,                0.27617,                0.13399,                 2.0219,                 2.2236,                 2.1576,               0.009769,               0.009769,               0.009769
                     10,                 1.9079,                 1.9618,                 2.0167,                0.44862,                0.33245,                0.31914,                0.16004,                 2.0011,                 1.8547,                 2.1287,               0.009736,               0.009736,               0.009736
                     11,                 1.8436,                 1.8655,                 1.9534,                0.42019,                0.33347,                 0.3341,                0.16594,                 1.9332,                 1.8812,                  2.053,               0.009703,               0.009703,               0.009703
                     12,                 1.8098,                 1.8052,                 1.9145,                0.53906,                0.37231,                0.36539,                0.18784,                 1.8379,                 1.6933,                 1.9846,                0.00967,                0.00967,                0.00967
