                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4676,                 3.9789,                 4.1307,                0.00076,                0.17069,                0.00901,                0.00219,                 3.5113,                 3.7623,                 3.9628,               0.070291,               0.003301,               0.003301
                      2,                 3.2376,                 3.4645,                 3.6903,                0.81764,                0.04145,                0.03069,                0.00875,                 3.1054,                 3.8737,                 3.9551,               0.040269,              0.0066124,              0.0066124
                      3,                 2.8632,                 3.1153,                 3.2948,                0.75834,                0.00751,                0.00733,                0.00338,                 3.3019,                 29.018,                 3.7811,               0.010225,              0.0099019,              0.0099019
                      4,                 2.4812,                 2.8378,                 2.8551,                0.64403,                0.08261,                0.07674,                0.02951,                 2.5311,                  3.733,                 2.8381,               0.009901,               0.009901,               0.009901
                      5,                 2.2658,                 2.6191,                  2.577,                0.40592,                0.10489,                0.11381,                0.04789,                 2.3973,                 3.0248,                 2.6389,               0.009901,               0.009901,               0.009901
                      6,                 2.1278,                  2.396,                 2.3583,                0.37253,                0.18267,                 0.1945,                0.09328,                 2.1965,                 2.4016,                 2.3796,               0.009868,               0.009868,               0.009868
                      7,                 2.0515,                 2.2623,                 2.2544,                0.41633,                0.25269,                0.24466,                0.12104,                 2.0743,                 2.1416,                 2.2789,               0.009835,               0.009835,               0.009835
                      8,                 1.9597,                  2.104,                 2.1537,                0.42337,                0.22456,                0.23183,                0.10795,                 2.1515,                 2.2507,                 2.3183,               0.009802,               0.009802,               0.009802
                      9,                 1.9127,                 2.0092,                  2.072,                0.46664,                0.33725,                0.32256,                0.15841,                 1.9596,                 2.2386,                 2.1225,               0.009769,               0.009769,               0.009769
                     10,                 1.8463,                 1.9033,                  2.012,                0.48604,                0.36072,                0.34707,                0.17362,                 1.9436,                 1.8371,                 2.1015,               0.009736,               0.009736,               0.009736
                     11,                 1.7938,                 1.8221,                 1.9561,                0.50868,                0.36682,                0.37213,                0.18791,                 1.9066,                 1.7298,                 2.0275,               0.009703,               0.009703,               0.009703
                     12,                 1.7791,                 1.7662,                 1.9343,                0.52196,                0.40452,                 0.3945,                 0.2057,                 1.8146,                 1.6134,                 1.9884,                0.00967,                0.00967,                0.00967
                     13,                 1.7479,                 1.7124,                 1.9012,                0.59398,                0.38812,                0.39802,                0.20548,                 1.8182,                 1.6888,                 1.9811,               0.009637,               0.009637,               0.009637
                     14,                 1.6939,                 1.6453,                  1.851,                0.55968,                0.40308,                0.43177,                0.23464,                  1.694,                   1.55,                 1.8703,               0.009604,               0.009604,               0.009604
                     15,                 1.6744,                 1.6066,                 1.8269,                0.53208,                0.44155,                0.44174,                0.23108,                 1.7814,                  1.564,                 1.9137,               0.009571,               0.009571,               0.009571
                     16,                 1.6611,                 1.5658,                 1.8017,                0.56183,                 0.4456,                0.45515,                0.24371,                 1.6983,                 1.5722,                 1.8328,               0.009538,               0.009538,               0.009538
                     17,                 1.6229,                 1.5175,                 1.7695,                0.64673,                0.47628,                0.48342,                0.26531,                 1.6311,                 1.4966,                 1.8165,               0.009505,               0.009505,               0.009505
                     18,                 1.5831,                  1.476,                 1.7344,                0.67829,                0.46794,                0.50234,                0.27631,                 1.6156,                 1.4027,                 1.7803,               0.009472,               0.009472,               0.009472
                     19,                 1.5805,                 1.4531,                 1.7306,                0.62286,                0.50769,                0.53019,                0.29449,                 1.5981,                 1.3502,                 1.7532,               0.009439,               0.009439,               0.009439
                     20,                 1.5772,                 1.4406,                 1.7325,                0.65538,                0.50204,                0.52427,                 0.2916,                 1.5479,                 1.3273,                 1.7205,               0.009406,               0.009406,               0.009406
                     21,                 1.5572,                 1.4256,                 1.7098,                0.63446,                0.53517,                0.54562,                0.29516,                 1.5549,                 1.2889,                  1.716,               0.009373,               0.009373,               0.009373
                     22,                 1.5399,                 1.3914,                 1.7003,                0.69412,                0.52642,                0.57193,                0.31296,                 1.5454,                 1.2681,                 1.6962,                0.00934,                0.00934,                0.00934
