                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4879,                 3.9541,                 4.0975,                0.00077,                0.17167,                0.00594,                0.00151,                 3.5068,                 3.7664,                 3.9105,               0.070291,               0.003301,               0.003301
                      2,                 3.2622,                 3.4107,                 3.6427,                 0.7825,                0.04178,                0.01603,                0.00444,                 3.0432,                 4.1777,                 3.4225,               0.040269,              0.0066124,              0.0066124
                      3,                 2.9176,                 3.1543,                 3.2639,                 0.3471,                0.04003,                0.02555,                0.00745,                 2.9888,                 5.1198,                 3.4697,               0.010225,              0.0099019,              0.0099019
                      4,                 2.5848,                 2.8908,                 2.8635,                0.44451,                0.06195,                 0.0383,                  0.014,                 2.6738,                 6.5408,                 2.9644,               0.009901,               0.009901,               0.009901
                      5,                 2.3445,                 2.6659,                 2.5894,                0.55635,                0.12015,                0.11169,                0.04934,                 2.4224,                 3.0768,                 2.6327,               0.009901,               0.009901,               0.009901
                      6,                 2.2069,                 2.4373,                 2.3811,                0.60353,                0.15929,                0.15423,                0.07054,                 2.3367,                 2.7961,                 2.4895,               0.009868,               0.009868,               0.009868
                      7,                 2.0997,                 2.2999,                 2.2629,                0.55114,                0.22597,                 0.2272,                0.10587,                 2.1515,                 2.3993,                 2.3281,               0.009835,               0.009835,               0.009835
                      8,                 1.9993,                 2.1388,                 2.1533,                0.41793,                0.22172,                0.21385,                0.09869,                 2.1075,                 2.3172,                 2.2825,               0.009802,               0.009802,               0.009802
                      9,                  1.948,                 2.0495,                 2.0707,                0.34382,                0.26046,                0.23796,                 0.1151,                  2.118,                 2.2628,                 2.2769,               0.009769,               0.009769,               0.009769
                     10,                 1.8869,                 1.9447,                 2.0124,                0.48915,                0.34337,                0.33484,                0.17229,                 1.9348,                 1.8501,                  2.067,               0.009736,               0.009736,               0.009736
                     11,                 1.8239,                   1.84,                 1.9431,                0.44712,                0.33461,                 0.3368,                0.17208,                  1.928,                 1.8764,                 2.0688,               0.009703,               0.009703,               0.009703
                     12,                 1.7981,                 1.7873,                 1.9192,                0.56174,                0.39191,                 0.3999,                 0.2094,                 1.8476,                 1.6745,                 1.9831,                0.00967,                0.00967,                0.00967
                     13,                 1.7667,                 1.7299,                 1.8759,                0.60816,                0.38024,                0.40263,                0.21125,                 1.7758,                 1.6395,                   1.93,               0.009637,               0.009637,               0.009637
                     14,                 1.7182,                  1.662,                 1.8333,                0.51854,                0.37942,                0.40047,                0.20817,                 1.8126,                 1.6715,                 1.9211,               0.009604,               0.009604,               0.009604
                     15,                  1.697,                   1.62,                 1.8086,                0.56131,                0.41911,                0.43674,                0.23189,                 1.7624,                 1.5642,                 1.9005,               0.009571,               0.009571,               0.009571
                     16,                 1.6686,                 1.5728,                 1.7796,                0.61193,                0.38497,                 0.4083,                 0.2153,                 1.7791,                 1.7106,                 1.9071,               0.009538,               0.009538,               0.009538
                     17,                 1.6301,                 1.5258,                 1.7475,                 0.6513,                0.44372,                0.48042,                0.25938,                 1.6886,                 1.5005,                 1.8558,               0.009505,               0.009505,               0.009505
                     18,                 1.6044,                 1.4876,                 1.7167,                0.64182,                0.47262,                0.50389,                0.27566,                 1.6495,                 1.3872,                 1.7967,               0.009472,               0.009472,               0.009472
                     19,                  1.593,                 1.4711,                 1.7153,                0.63427,                0.49108,                0.52316,                0.29463,                 1.5971,                 1.3469,                 1.7528,               0.009439,               0.009439,               0.009439
                     20,                 1.5904,                 1.4463,                 1.7126,                0.67314,                0.47977,                0.52625,                 0.2883,                 1.5802,                 1.3473,                 1.7382,               0.009406,               0.009406,               0.009406
                     21,                 1.5679,                 1.4255,                 1.6897,                0.67571,                0.50524,                 0.5496,                0.30649,                 1.5738,                 1.3261,                 1.7313,               0.009373,               0.009373,               0.009373
                     22,                 1.5505,                 1.3993,                 1.6759,                 0.6463,                0.52543,                0.54757,                0.29802,                 1.5826,                 1.3252,                 1.7191,                0.00934,                0.00934,                0.00934
                     23,                  1.542,                 1.3824,                  1.671,                0.67986,                0.53564,                 0.5697,                0.32196,                 1.5222,                 1.2599,                 1.6815,               0.009307,               0.009307,               0.009307
                     24,                 1.5254,                 1.3598,                 1.6479,                0.69803,                0.54241,                0.58329,                0.32703,                 1.5115,                 1.2253,                 1.6813,               0.009274,               0.009274,               0.009274
