                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.5138,                 4.2735,                 4.1144,                0.00053,                 0.0891,                0.00066,                0.00018,                 3.7722,                 4.2976,                 3.9213,               0.070291,               0.003301,               0.003301
                      2,                 3.2444,                 3.7983,                 3.5951,                0.53659,                 0.0346,                0.01847,                0.00516,                 3.0557,                 4.1547,                  3.317,               0.040269,              0.0066124,              0.0066124
                      3,                 2.9315,                 3.5755,                 3.2567,                 0.2951,                 0.0549,                0.01833,                0.00508,                 3.1706,                 4.0914,                 3.2896,               0.010225,              0.0099019,              0.0099019
                      4,                 2.6471,                 3.2656,                 2.9544,                 0.0335,                0.07771,                  0.014,                0.00453,                 3.1378,                 9.5845,                 3.2813,               0.009901,               0.009901,               0.009901
                      5,                 2.4105,                 2.9673,                 2.7069,                0.17163,                0.16558,                0.11886,                0.04627,                 2.4405,                 4.1407,                 2.6693,               0.009901,               0.009901,               0.009901
                      6,                 2.2545,                 2.7012,                 2.5111,                0.40529,                0.20679,                0.18976,                0.07543,                 2.3152,                  3.098,                 2.5429,               0.009868,               0.009868,               0.009868
                      7,                 2.1666,                 2.5665,                 2.4274,                 0.3496,                0.24198,                0.22918,                0.09995,                 2.2257,                 2.6653,                 2.4169,               0.009835,               0.009835,               0.009835
                      8,                 2.0932,                 2.3958,                 2.3309,                0.35936,                0.24994,                 0.2462,                0.11056,                 2.1849,                 2.5435,                 2.4038,               0.009802,               0.009802,               0.009802
                      9,                 2.0415,                 2.3094,                 2.2531,                0.45167,                   0.28,                0.27976,                0.12466,                 2.1339,                 2.3559,                 2.3166,               0.009769,               0.009769,               0.009769
                     10,                 1.9797,                 2.2101,                 2.2186,                0.44428,                0.34259,                0.31919,                0.15461,                  2.069,                 2.1944,                 2.2767,               0.009736,               0.009736,               0.009736
                     11,                 1.9244,                 2.1111,                 2.1629,                0.47668,                0.35013,                0.34266,                0.16563,                 1.9867,                 2.1756,                 2.1945,               0.009703,               0.009703,               0.009703
                     12,                 1.8872,                 2.0666,                 2.1365,                0.47456,                0.39243,                0.36627,                0.17798,                 1.9642,                 2.0139,                  2.178,                0.00967,                0.00967,                0.00967
                     13,                 1.8656,                 2.0089,                  2.104,                0.46546,                0.38656,                0.38239,                0.18043,                 2.0117,                 2.0382,                 2.1996,               0.009637,               0.009637,               0.009637
                     14,                 1.8209,                 1.9346,                 2.0607,                0.51438,                 0.4197,                0.43054,                 0.2117,                 1.9316,                 1.8494,                  2.114,               0.009604,               0.009604,               0.009604
                     15,                 1.8071,                 1.8801,                 2.0434,                0.54717,                0.43213,                0.43443,                 0.2141,                 1.9329,                 1.8807,                 2.0955,               0.009571,               0.009571,               0.009571
                     16,                 1.7758,                 1.8355,                 2.0118,                0.51594,                0.44501,                0.45634,                0.23338,                 1.8316,                 1.7827,                 2.0375,               0.009538,               0.009538,               0.009538
                     17,                 1.7419,                 1.7755,                 1.9835,                0.54905,                0.44478,                0.44177,                  0.222,                 1.8821,                 1.8575,                 2.0832,               0.009505,               0.009505,               0.009505
                     18,                 1.7176,                 1.7309,                   1.94,                0.61563,                0.45882,                0.49122,                0.24639,                 1.8268,                 1.7508,                 2.0255,               0.009472,               0.009472,               0.009472
                     19,                 1.7106,                 1.7019,                 1.9388,                0.62563,                0.47521,                0.50632,                0.25951,                 1.8066,                 1.6629,                 2.0128,               0.009439,               0.009439,               0.009439
                     20,                 1.6967,                 1.6742,                  1.931,                0.58504,                0.51342,                0.52817,                 0.2751,                 1.7771,                 1.6055,                 1.9632,               0.009406,               0.009406,               0.009406
                     21,                 1.6774,                 1.6626,                 1.9034,                0.56845,                 0.5127,                0.52595,                0.27451,                 1.7768,                 1.5926,                 1.9801,               0.009373,               0.009373,               0.009373
                     22,                 1.6566,                 1.6402,                  1.903,                0.63197,                0.53427,                0.55278,                0.29368,                 1.7429,                 1.5752,                 1.9367,                0.00934,                0.00934,                0.00934
                     23,                 1.6395,                 1.6117,                 1.8827,                0.64001,                0.54063,                0.57088,                0.30119,                 1.7328,                 1.5027,                 1.9217,               0.009307,               0.009307,               0.009307
                     24,                 1.6347,                 1.5791,                  1.855,                0.63962,                0.56163,                0.58741,                0.31686,                 1.6774,                 1.5022,                 1.8913,               0.009274,               0.009274,               0.009274
                     25,                 1.6082,                 1.5438,                 1.8394,                0.63598,                0.56309,                0.58266,                0.31599,                 1.6835,                 1.4639,                  1.887,               0.009241,               0.009241,               0.009241
                     26,                 1.5921,                 1.5091,                 1.8217,                0.64057,                0.58208,                0.60225,                0.32456,                 1.6833,                 1.4604,                 1.8817,               0.009208,               0.009208,               0.009208
                     27,                  1.579,                 1.5081,                 1.8263,                0.67902,                0.54793,                0.59784,                0.32221,                 1.7036,                 1.4481,                 1.8963,               0.009175,               0.009175,               0.009175
                     28,                  1.575,                 1.4782,                 1.8142,                0.62437,                0.60497,                0.61426,                0.33571,                 1.6627,                 1.4091,                 1.8517,               0.009142,               0.009142,               0.009142
                     29,                 1.5602,                 1.4488,                 1.7904,                0.66552,                  0.582,                0.62301,                0.34422,                 1.6392,                  1.369,                 1.8416,               0.009109,               0.009109,               0.009109
                     30,                 1.5478,                 1.4341,                 1.7723,                0.71108,                0.56455,                0.62465,                 0.3438,                 1.6611,                 1.3715,                 1.8484,               0.009076,               0.009076,               0.009076
                     31,                 1.5389,                 1.4365,                 1.7856,                 0.6542,                0.61174,                 0.6461,                0.35281,                 1.6203,                 1.3452,                 1.8378,               0.009043,               0.009043,               0.009043
                     32,                 1.5367,                 1.4127,                 1.7648,                 0.6922,                0.60832,                0.65831,                0.36342,                 1.6175,                 1.3398,                 1.7987,                0.00901,                0.00901,                0.00901
                     33,                 1.5335,                 1.3953,                 1.7676,                0.68101,                0.60846,                0.65005,                0.36461,                  1.609,                 1.3245,                 1.8007,               0.008977,               0.008977,               0.008977
                     34,                 1.5191,                 1.3981,                 1.7646,                0.68075,                0.60419,                0.65049,                0.36599,                 1.5855,                 1.3195,                 1.7917,               0.008944,               0.008944,               0.008944
                     35,                 1.5009,                 1.3484,                   1.73,                0.70175,                0.63895,                0.68145,                0.37876,                  1.571,                 1.2577,                 1.7657,               0.008911,               0.008911,               0.008911
                     36,                 1.5026,                 1.3341,                 1.7342,                0.67999,                0.64014,                0.67069,                0.38147,                 1.5593,                 1.2522,                 1.7621,               0.008878,               0.008878,               0.008878
                     37,                 1.4761,                 1.2978,                 1.7066,                0.71497,                0.64928,                0.68407,                0.38952,                 1.5605,                 1.2512,                 1.7508,               0.008845,               0.008845,               0.008845
                     38,                 1.4753,                 1.3207,                 1.7159,                0.71336,                0.64954,                0.69248,                0.39753,                 1.5283,                 1.2402,                 1.7274,               0.008812,               0.008812,               0.008812
                     39,                  1.467,                  1.315,                  1.711,                0.73721,                0.65033,                0.70954,                0.41621,                 1.5092,                 1.1918,                 1.7151,               0.008779,               0.008779,               0.008779
                     40,                 1.4591,                 1.2819,                 1.6993,                0.73061,                0.66212,                0.70636,                0.41269,                 1.5252,                 1.1845,                 1.7233,               0.008746,               0.008746,               0.008746
                     41,                 1.4475,                 1.2761,                  1.698,                0.76462,                0.64788,                0.72187,                0.42687,                 1.4926,                 1.1482,                 1.6964,               0.008713,               0.008713,               0.008713
