                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3864,                   4.35,                 4.1444,                0.00078,                0.17134,                0.00328,                0.00087,                 3.4789,                 4.2491,                 3.9857,               0.070291,               0.003301,               0.003301
                      2,                 3.1769,                 3.8558,                 3.6664,                0.78919,                0.03786,                0.01981,                0.00583,                 2.9915,                 3.8931,                 3.5763,               0.040269,              0.0066124,              0.0066124
                      3,                 2.8866,                 3.5147,                 3.2761,                0.32982,                0.08406,                 0.0409,                0.01354,                 2.8649,                 5.9858,                 3.3339,               0.010225,              0.0099019,              0.0099019
                      4,                 2.5572,                 3.1306,                 2.9134,                  0.158,                0.11831,                0.08696,                0.03156,                 2.5298,                 3.8112,                 2.9132,               0.009901,               0.009901,               0.009901
                      5,                 2.3043,                  2.876,                 2.6482,                0.34469,                0.17601,                0.15167,                0.05897,                 2.3496,                 3.1376,                    2.7,               0.009901,               0.009901,               0.009901
                      6,                 2.1384,                 2.5828,                 2.4435,                0.42487,                0.23475,                0.23684,                0.10732,                  2.193,                 2.5821,                 2.5466,               0.009868,               0.009868,               0.009868
                      7,                 2.0363,                 2.4393,                 2.3465,                0.39743,                0.26091,                0.26639,                0.12831,                 2.0754,                 2.5947,                 2.4049,               0.009835,               0.009835,               0.009835
                      8,                 1.9534,                 2.2594,                 2.2494,                0.47016,                0.28728,                0.29338,                0.14618,                 1.9767,                 2.3695,                 2.3246,               0.009802,               0.009802,               0.009802
                      9,                 1.8944,                 2.1796,                 2.1809,                0.47293,                0.33507,                0.33566,                 0.1626,                 1.9541,                 2.3007,                 2.3027,               0.009769,               0.009769,               0.009769
                     10,                 1.8282,                 2.0672,                 2.1189,                0.64473,                0.36071,                0.39035,                0.20026,                 1.8443,                 1.9969,                 2.1935,               0.009736,               0.009736,               0.009736
                     11,                 1.7751,                 1.9669,                 2.0587,                0.50295,                0.40034,                0.39818,                0.21059,                 1.7962,                 1.9271,                 2.1325,               0.009703,               0.009703,               0.009703
                     12,                 1.7501,                 1.9075,                 2.0319,                0.53118,                0.40778,                0.40282,                0.21247,                 1.7792,                 1.9017,                 2.1121,                0.00967,                0.00967,                0.00967
                     13,                 1.7241,                 1.8571,                 2.0079,                0.57385,                0.41687,                0.43659,                0.22114,                  1.791,                 1.8161,                 2.0949,               0.009637,               0.009637,               0.009637
                     14,                 1.6728,                 1.7713,                 1.9473,                0.59973,                0.43179,                0.46983,                0.25458,                 1.6954,                 1.6831,                 2.0044,               0.009604,               0.009604,               0.009604
                     15,                  1.655,                 1.7094,                 1.9228,                0.58518,                0.44394,                0.47968,                0.26525,                 1.6663,                 1.6715,                 1.9809,               0.009571,               0.009571,               0.009571
                     16,                 1.6322,                 1.6788,                  1.899,                0.63332,                0.51422,                0.53526,                0.29725,                 1.6063,                 1.5619,                 1.9349,               0.009538,               0.009538,               0.009538
                     17,                 1.5913,                 1.6198,                 1.8637,                0.63077,                0.48515,                 0.5257,                0.28834,                 1.6464,                 1.5926,                 1.9717,               0.009505,               0.009505,               0.009505
                     18,                 1.5814,                 1.5789,                 1.8451,                0.64615,                0.51225,                0.53795,                0.30099,                 1.6057,                 1.5233,                 1.9464,               0.009472,               0.009472,               0.009472
                     19,                  1.564,                 1.5562,                 1.8304,                0.66707,                0.51762,                0.55848,                0.31163,                 1.5863,                 1.4669,                 1.9049,               0.009439,               0.009439,               0.009439
                     20,                 1.5523,                 1.5421,                 1.8217,                0.69326,                0.53318,                0.57994,                 0.3227,                 1.5301,                 1.4427,                 1.8525,               0.009406,               0.009406,               0.009406
                     21,                 1.5374,                 1.5088,                 1.7947,                0.67309,                0.54617,                0.59413,                0.33648,                 1.5164,                 1.3813,                 1.8345,               0.009373,               0.009373,               0.009373
                     22,                  1.516,                 1.4744,                 1.7917,                0.66099,                0.55716,                0.59375,                0.34042,                 1.5001,                 1.3694,                 1.8225,                0.00934,                0.00934,                0.00934
                     23,                 1.5014,                 1.4586,                 1.7745,                0.71307,                0.58071,                 0.6231,                0.35919,                    1.5,                 1.3198,                 1.8209,               0.009307,               0.009307,               0.009307
                     24,                 1.4845,                 1.4393,                 1.7568,                0.75689,                0.57493,                0.64211,                0.35758,                 1.4955,                 1.3115,                 1.8161,               0.009274,               0.009274,               0.009274
                     25,                 1.4739,                 1.3943,                 1.7378,                0.69254,                0.58609,                0.64535,                0.36946,                 1.4333,                 1.2593,                 1.7701,               0.009241,               0.009241,               0.009241
                     26,                 1.4517,                 1.3547,                 1.7186,                0.70347,                 0.6212,                0.66717,                0.38842,                 1.4165,                  1.231,                 1.7434,               0.009208,               0.009208,               0.009208
