                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3873,                 4.3453,                 4.1427,                0.00078,                0.17037,                0.00423,                0.00118,                 3.4768,                  4.246,                 3.9844,               0.070291,               0.003301,               0.003301
                      2,                  3.155,                 3.8596,                 3.6774,                0.76841,                0.04373,                 0.0148,                0.00465,                 2.9319,                 10.116,                 3.7348,               0.040265,               0.006608,               0.006608
                      3,                   2.85,                 3.4953,                 3.2544,                0.34543,                0.06434,                0.03498,                0.01044,                  2.824,                 7.7686,                 3.2093,               0.010212,              0.0098887,              0.0098887
                      4,                 2.5143,                 3.1423,                 2.8831,                0.14661,                0.13317,                0.07668,                0.02743,                   2.57,                 3.4862,                 2.9759,              0.0098812,              0.0098812,              0.0098812
                      5,                 2.2874,                  2.872,                 2.6463,                  0.323,                0.19715,                0.15974,                0.06453,                 2.2967,                 2.9233,                 2.6747,              0.0098812,              0.0098812,              0.0098812
                      6,                 2.1151,                 2.5714,                 2.4291,                0.42582,                0.27637,                0.25341,                0.11595,                 2.1223,                 2.5384,                 2.5007,              0.0098416,              0.0098416,              0.0098416
                      7,                 2.0233,                 2.4429,                 2.3377,                0.40779,                0.25736,                 0.2658,                0.12307,                 2.0798,                 2.4947,                 2.4246,               0.009802,               0.009802,               0.009802
                      8,                 1.9397,                 2.2635,                 2.2415,                0.46735,                0.29431,                0.30274,                0.14785,                 1.9781,                 2.2367,                 2.3241,              0.0097624,              0.0097624,              0.0097624
                      9,                 1.8865,                 2.1686,                 2.1687,                0.45727,                0.34552,                0.33998,                0.16839,                 1.9288,                 2.1008,                  2.267,              0.0097228,              0.0097228,              0.0097228
                     10,                 1.8162,                 2.0505,                 2.1104,                0.57919,                0.34129,                0.37282,                0.19076,                  1.874,                 2.0809,                 2.2194,              0.0096832,              0.0096832,              0.0096832
                     11,                 1.7746,                 1.9687,                 2.0627,                0.53833,                0.39741,                0.41145,                0.20711,                 1.8178,                  1.869,                 2.1361,              0.0096436,              0.0096436,              0.0096436
                     12,                 1.7455,                 1.9012,                 2.0358,                0.55724,                0.40851,                0.42527,                0.22144,                 1.7701,                 1.8096,                 2.0846,               0.009604,               0.009604,               0.009604
                     13,                 1.7171,                 1.8509,                 2.0023,                0.56713,                0.44519,                0.44885,                0.24098,                 1.7107,                 1.7061,                 2.0321,              0.0095644,              0.0095644,              0.0095644
                     14,                  1.666,                 1.7699,                 1.9482,                0.59516,                0.44553,                 0.4802,                 0.2503,                 1.7236,                 1.6527,                 2.0261,              0.0095248,              0.0095248,              0.0095248
                     15,                 1.6561,                 1.7092,                 1.9298,                0.57978,                0.45277,                0.46734,                0.24903,                 1.7006,                 1.7167,                 2.0108,              0.0094852,              0.0094852,              0.0094852
                     16,                 1.6316,                 1.6836,                 1.9037,                0.63692,                0.48125,                0.50704,                0.28021,                 1.6328,                 1.6546,                 1.9642,              0.0094456,              0.0094456,              0.0094456
                     17,                 1.5884,                 1.6127,                  1.859,                0.63071,                0.49054,                0.52199,                0.28676,                 1.6252,                 1.5543,                 1.9467,               0.009406,               0.009406,               0.009406
                     18,                 1.5733,                 1.5783,                 1.8432,                0.66426,                0.51065,                0.54593,                0.30568,                 1.5797,                 1.5019,                  1.918,              0.0093664,              0.0093664,              0.0093664
