                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4871,                 4.2914,                 4.1183,                0.00056,                 0.0891,                0.00072,                0.00018,                  3.773,                 4.2499,                 3.9108,               0.070291,               0.003301,               0.003301
                      2,                 3.2285,                 3.7283,                 3.5772,                0.76778,                0.04961,                0.01266,                0.00297,                 3.2273,                 3.9947,                 3.4774,               0.040269,              0.0066124,              0.0066124
                      3,                 2.8588,                 3.4791,                 3.2068,                 0.5084,                0.01887,                0.00356,                0.00109,                 3.3697,                 4.6094,                 3.5114,               0.010225,              0.0099019,              0.0099019
                      4,                 2.5762,                 3.1772,                 2.8948,                0.38786,                0.09756,                0.06473,                0.02458,                  2.546,                 4.9307,                  2.816,               0.009901,               0.009901,               0.009901
                      5,                 2.3614,                 2.9092,                 2.6571,                0.20917,                0.12046,                0.10447,                0.04338,                 2.5793,                 3.3462,                 2.7742,               0.009901,               0.009901,               0.009901
                      6,                 2.2002,                 2.6768,                 2.4455,                0.24769,                0.18083,                0.16608,                0.07491,                 2.3302,                 2.8905,                 2.5462,               0.009868,               0.009868,               0.009868
                      7,                 2.1172,                 2.5416,                 2.3738,                0.34885,                0.23107,                0.21215,                0.09335,                 2.2309,                 2.6388,                 2.4211,               0.009835,               0.009835,               0.009835
                      8,                 2.0435,                 2.3855,                 2.2782,                0.37075,                 0.2832,                0.25985,                0.12102,                 2.1234,                 2.4832,                 2.3097,               0.009802,               0.009802,               0.009802
                      9,                 1.9983,                  2.317,                  2.225,                0.47627,                 0.3033,                0.27644,                0.11845,                 2.1423,                 2.3418,                 2.3195,               0.009769,               0.009769,               0.009769
                     10,                 1.9354,                 2.2176,                 2.1795,                0.44669,                0.33044,                0.31901,                 0.1477,                 2.0634,                 2.1966,                 2.2476,               0.009736,               0.009736,               0.009736
                     11,                 1.8943,                 2.1377,                 2.1309,                0.45011,                0.34128,                0.33391,                0.15044,                 2.0303,                 2.2668,                 2.2207,               0.009703,               0.009703,               0.009703
                     12,                 1.8698,                 2.0822,                 2.1123,                0.45665,                0.36912,                0.34814,                 0.1675,                 1.9645,                 2.0851,                 2.1497,                0.00967,                0.00967,                0.00967
                     13,                 1.8378,                 2.0278,                 2.0729,                0.50259,                0.36322,                0.36573,                0.17918,                 1.9554,                 2.0535,                 2.1405,               0.009637,               0.009637,               0.009637
                     14,                 1.8023,                 1.9528,                 2.0354,                  0.483,                 0.4229,                 0.4005,                0.19517,                 1.9412,                 1.9351,                 2.1117,               0.009604,               0.009604,               0.009604
                     15,                 1.7802,                 1.8998,                 2.0181,                0.52774,                0.40427,                0.41676,                  0.208,                 1.9136,                 1.9863,                 2.0933,               0.009571,               0.009571,               0.009571
                     16,                 1.7639,                 1.8595,                 1.9959,                0.55137,                0.44228,                0.45877,                0.23136,                 1.8545,                 1.8582,                 2.0337,               0.009538,               0.009538,               0.009538
                     17,                 1.7227,                 1.8009,                 1.9589,                0.60674,                0.46168,                0.47408,                 0.2363,                 1.8662,                 1.7857,                 2.0506,               0.009505,               0.009505,               0.009505
                     18,                 1.7069,                  1.749,                 1.9255,                0.56979,                0.45755,                0.48659,                0.24886,                 1.8062,                 1.7653,                 1.9904,               0.009472,               0.009472,               0.009472
                     19,                 1.6928,                 1.7402,                 1.9195,                0.61463,                0.45198,                0.48608,                0.25397,                 1.7898,                 1.7442,                 1.9917,               0.009439,               0.009439,               0.009439
                     20,                 1.6828,                 1.7082,                 1.9147,                0.72085,                0.44757,                0.50879,                0.26692,                 1.7671,                 1.7235,                  1.976,               0.009406,               0.009406,               0.009406
                     21,                 1.6672,                 1.6888,                 1.8907,                0.58492,                0.47431,                 0.5134,                0.27085,                 1.7646,                 1.6191,                 1.9423,               0.009373,               0.009373,               0.009373
                     22,                 1.6547,                 1.6679,                 1.8897,                0.59941,                0.52257,                0.53511,                  0.283,                 1.7482,                 1.6261,                 1.9148,                0.00934,                0.00934,                0.00934
                     23,                 1.6381,                 1.6382,                 1.8719,                0.64145,                0.51264,                0.55238,                0.29612,                 1.7062,                 1.5467,                 1.8919,               0.009307,               0.009307,               0.009307
                     24,                 1.6234,                  1.612,                 1.8438,                   0.61,                0.52028,                0.54718,                0.29254,                 1.7049,                 1.5884,                  1.894,               0.009274,               0.009274,               0.009274
                     25,                 1.6007,                 1.5676,                 1.8267,                0.63101,                0.54852,                0.57441,                0.31146,                 1.6776,                 1.4986,                 1.8694,               0.009241,               0.009241,               0.009241
                     26,                 1.5931,                 1.5422,                 1.8145,                0.63353,                0.55714,                0.59175,                0.31681,                  1.695,                 1.5134,                 1.8793,               0.009208,               0.009208,               0.009208
                     27,                 1.5772,                 1.5377,                 1.8204,                0.64008,                0.55858,                0.58777,                  0.318,                 1.6768,                 1.5643,                 1.8519,               0.009175,               0.009175,               0.009175
                     28,                  1.576,                 1.5092,                 1.8115,                0.64585,                0.56751,                0.60256,                0.32844,                  1.661,                 1.4796,                 1.8254,               0.009142,               0.009142,               0.009142
                     29,                 1.5624,                 1.4807,                 1.7856,                0.67226,                0.57281,                0.60625,                0.33024,                 1.6566,                 1.4465,                 1.8483,               0.009109,               0.009109,               0.009109
                     30,                 1.5504,                  1.462,                 1.7763,                0.65567,                0.59242,                0.62661,                0.34138,                 1.6477,                 1.3871,                 1.8297,               0.009076,               0.009076,               0.009076
                     31,                 1.5405,                 1.4587,                 1.7849,                0.70615,                0.56698,                0.62807,                0.34843,                 1.6145,                 1.3666,                 1.8057,               0.009043,               0.009043,               0.009043
                     32,                 1.5364,                 1.4453,                 1.7641,                0.68868,                0.60609,                0.64275,                 0.3504,                 1.6222,                 1.3629,                 1.8165,                0.00901,                0.00901,                0.00901
                     33,                 1.5354,                 1.4235,                 1.7655,                0.67488,                0.61879,                0.64487,                0.36051,                 1.6083,                 1.3505,                 1.7993,               0.008977,               0.008977,               0.008977
                     34,                 1.5211,                 1.4261,                  1.759,                0.68817,                0.61478,                0.65165,                0.37407,                 1.5884,                 1.3203,                 1.7705,               0.008944,               0.008944,               0.008944
                     35,                 1.5072,                 1.3865,                 1.7316,                0.73421,                0.60185,                0.67015,                0.37648,                 1.5765,                 1.2805,                 1.7524,               0.008911,               0.008911,               0.008911
                     36,                 1.5057,                 1.3659,                  1.735,                0.72387,                0.62876,                0.67926,                0.38735,                 1.5913,                 1.2498,                 1.7731,               0.008878,               0.008878,               0.008878
                     37,                 1.4829,                 1.3352,                 1.7079,                0.74125,                0.62094,                0.67733,                0.37863,                 1.5902,                 1.2701,                 1.7743,               0.008845,               0.008845,               0.008845
                     38,                 1.4836,                 1.3542,                 1.7174,                0.72454,                0.63503,                0.69099,                0.39847,                 1.5211,                 1.2301,                 1.7163,               0.008812,               0.008812,               0.008812
                     39,                 1.4797,                 1.3419,                 1.7113,                0.72617,                0.63473,                0.68758,                0.39758,                 1.5226,                 1.2321,                 1.7208,               0.008779,               0.008779,               0.008779
                     40,                 1.4678,                 1.3152,                 1.7018,                 0.7602,                 0.6386,                0.69568,                0.39692,                 1.5338,                 1.2141,                 1.7281,               0.008746,               0.008746,               0.008746
                     41,                 1.4578,                  1.313,                  1.702,                0.72954,                0.64091,                0.70128,                0.39919,                 1.5514,                 1.2047,                 1.7399,               0.008713,               0.008713,               0.008713
                     42,                 1.4602,                 1.3053,                 1.6953,                0.73831,                0.65386,                0.69954,                0.40111,                 1.5399,                 1.2038,                 1.7198,                0.00868,                0.00868,                0.00868
                     43,                 1.4519,                 1.2944,                 1.6736,                 0.7698,                0.64523,                0.71901,                0.41876,                 1.5019,                 1.1842,                 1.7058,               0.008647,               0.008647,               0.008647
                     44,                 1.4421,                  1.278,                 1.6736,                0.75105,                0.65963,                0.71142,                0.41298,                 1.5086,                 1.1948,                 1.6925,               0.008614,               0.008614,               0.008614
                     45,                 1.4331,                 1.2553,                   1.66,                 0.7458,                0.66096,                0.70064,                0.41048,                 1.4935,                 1.1805,                 1.6941,               0.008581,               0.008581,               0.008581
                     46,                 1.4273,                 1.2629,                 1.6703,                0.77345,                0.64575,                0.72001,                0.41726,                 1.5015,                 1.1755,                 1.7043,               0.008548,               0.008548,               0.008548
                     47,                 1.4217,                 1.2333,                 1.6517,                0.77434,                0.65522,                0.72501,                0.42771,                 1.4997,                 1.1484,                 1.6854,               0.008515,               0.008515,               0.008515
                     48,                 1.4236,                 1.2427,                 1.6578,                0.75404,                0.66811,                0.72121,                0.42473,                 1.4916,                 1.1408,                 1.6805,               0.008482,               0.008482,               0.008482
                     49,                 1.4149,                 1.2346,                 1.6511,                0.75882,                0.69731,                0.75561,                0.44857,                 1.4693,                 1.0941,                 1.6621,               0.008449,               0.008449,               0.008449
                     50,                 1.4125,                 1.2203,                 1.6406,                 0.7759,                0.68341,                0.74415,                0.43966,                 1.4544,                 1.1424,                 1.6482,               0.008416,               0.008416,               0.008416
                     51,                 1.4038,                 1.2146,                 1.6445,                0.78309,                0.67535,                0.74856,                0.44318,                 1.4601,                 1.0925,                 1.6508,               0.008383,               0.008383,               0.008383
                     52,                 1.4161,                  1.207,                 1.6448,                0.76878,                0.68406,                 0.7477,                 0.4436,                 1.4567,                 1.0983,                 1.6561,                0.00835,                0.00835,                0.00835
                     53,                 1.3943,                 1.1849,                 1.6254,                 0.7547,                0.70046,                0.75612,                0.44906,                 1.4557,                 1.0686,                  1.652,               0.008317,               0.008317,               0.008317
                     54,                 1.3945,                  1.191,                 1.6332,                0.78058,                0.71823,                0.76634,                0.45152,                 1.4444,                 1.0597,                 1.6346,               0.008284,               0.008284,               0.008284
                     55,                 1.3871,                 1.1773,                  1.627,                0.79601,                0.71013,                0.78321,                0.46473,                 1.4371,                 1.0302,                 1.6296,               0.008251,               0.008251,               0.008251
                     56,                 1.3856,                 1.1746,                   1.62,                0.77175,                0.71858,                0.77216,                0.46534,                 1.4205,                 1.0349,                 1.6186,               0.008218,               0.008218,               0.008218
                     57,                 1.3763,                 1.1597,                 1.6146,                0.79341,                0.71942,                0.77708,                0.46653,                 1.4311,                 1.0461,                 1.6342,               0.008185,               0.008185,               0.008185
                     58,                 1.3734,                 1.1608,                 1.6097,                0.82229,                0.70895,                0.78217,                0.47618,                 1.4019,                 1.0409,                 1.5988,               0.008152,               0.008152,               0.008152
                     59,                 1.3686,                 1.1333,                 1.5968,                0.80938,                0.72044,                0.78358,                0.47947,                 1.4138,                 1.0184,                 1.6086,               0.008119,               0.008119,               0.008119
                     60,                 1.3643,                 1.1551,                 1.6043,                0.79214,                 0.7196,                0.78567,                0.47399,                 1.4265,                 1.0252,                 1.6149,               0.008086,               0.008086,               0.008086
                     61,                 1.3531,                 1.1269,                   1.59,                0.78557,                0.72933,                0.79193,                0.48499,                 1.3894,                 1.0015,                 1.5869,               0.008053,               0.008053,               0.008053
                     62,                 1.3556,                 1.1313,                 1.5951,                0.80293,                0.72333,                0.79169,                0.47712,                 1.4122,                0.99988,                 1.6034,                0.00802,                0.00802,                0.00802
                     63,                 1.3516,                 1.1173,                 1.5776,                0.81462,                0.73121,                0.79695,                0.48546,                 1.3959,                0.98209,                 1.5899,               0.007987,               0.007987,               0.007987
                     64,                 1.3445,                 1.1216,                 1.5713,                0.84219,                0.73105,                0.81002,                0.49678,                 1.3725,                0.95768,                 1.5832,               0.007954,               0.007954,               0.007954
                     65,                 1.3441,                 1.1106,                 1.5811,                0.81327,                 0.7375,                 0.8018,                0.49122,                 1.3674,                0.96504,                 1.5719,               0.007921,               0.007921,               0.007921
                     66,                 1.3255,                 1.0833,                 1.5679,                0.81536,                0.73958,                0.81069,                0.49944,                 1.3727,                0.95585,                 1.5683,               0.007888,               0.007888,               0.007888
                     67,                 1.3335,                 1.1048,                 1.5804,                0.81907,                0.75261,                0.81604,                0.49939,                 1.3769,                 0.9581,                 1.5758,               0.007855,               0.007855,               0.007855
                     68,                 1.3313,                 1.0927,                 1.5722,                0.83789,                0.74869,                0.81438,                0.50683,                 1.3483,                0.95322,                 1.5571,               0.007822,               0.007822,               0.007822
                     69,                 1.3341,                 1.1001,                  1.575,                0.79696,                0.75427,                0.80738,                0.50002,                 1.3554,                 0.9582,                  1.544,               0.007789,               0.007789,               0.007789
                     70,                 1.3136,                  1.075,                 1.5509,                0.83576,                0.74994,                0.82136,                0.50766,                 1.3512,                0.93715,                 1.5481,               0.007756,               0.007756,               0.007756
                     71,                 1.3202,                 1.0971,                 1.5732,                 0.8579,                0.72377,                0.81483,                0.50222,                 1.3605,                 0.9487,                 1.5639,               0.007723,               0.007723,               0.007723
                     72,                 1.3126,                 1.0602,                 1.5445,                0.85068,                 0.7527,                0.83031,                0.51916,                 1.3396,                0.91414,                 1.5459,                0.00769,                0.00769,                0.00769
                     73,                 1.2984,                  1.059,                 1.5487,                0.82805,                0.75208,                0.82427,                0.51445,                  1.334,                0.93273,                  1.545,               0.007657,               0.007657,               0.007657
                     74,                 1.3074,                 1.0544,                 1.5451,                0.82807,                0.76832,                0.82874,                0.52116,                 1.3252,                0.90242,                  1.526,               0.007624,               0.007624,               0.007624
                     75,                 1.3057,                 1.0529,                 1.5424,                0.82771,                0.77152,                0.83059,                0.51619,                 1.3263,                0.90882,                 1.5367,               0.007591,               0.007591,               0.007591
                     76,                 1.3034,                 1.0623,                 1.5478,                0.83947,                0.77037,                 0.8337,                0.53141,                 1.3268,                0.87746,                 1.5191,               0.007558,               0.007558,               0.007558
                     77,                 1.2977,                 1.0495,                 1.5538,                0.83983,                 0.7764,                0.83906,                0.52426,                 1.3191,                 0.9027,                 1.5221,               0.007525,               0.007525,               0.007525
                     78,                 1.2794,                 1.0339,                  1.518,                0.85323,                 0.7722,                0.84001,                 0.5322,                 1.2995,                0.89025,                 1.5067,               0.007492,               0.007492,               0.007492
                     79,                  1.296,                 1.0425,                 1.5398,                0.84738,                0.77903,                0.84344,                0.53128,                  1.305,                0.88876,                  1.506,               0.007459,               0.007459,               0.007459
                     80,                 1.2903,                 1.0402,                 1.5268,                0.85421,                0.76502,                0.84502,                0.53091,                 1.3119,                0.88477,                 1.5119,               0.007426,               0.007426,               0.007426
                     81,                 1.2754,                 1.0125,                 1.5218,                0.85537,                0.78148,                0.84507,                 0.5326,                 1.3018,                0.87444,                 1.5032,               0.007393,               0.007393,               0.007393
                     82,                 1.2788,                  1.015,                 1.5232,                0.84589,                0.77663,                 0.8489,                0.53778,                 1.3021,                0.86391,                 1.4997,                0.00736,                0.00736,                0.00736
                     83,                 1.2815,                  1.015,                 1.5371,                0.85058,                0.78424,                0.85178,                0.53813,                 1.3046,                0.86001,                 1.5023,               0.007327,               0.007327,               0.007327
                     84,                 1.2744,                 1.0195,                 1.5261,                0.86475,                0.78901,                0.85352,                0.54491,                 1.2835,                0.85281,                 1.4907,               0.007294,               0.007294,               0.007294
                     85,                 1.2761,                 1.0087,                 1.5131,                0.87866,                0.78425,                0.86012,                0.54871,                 1.2734,                0.85268,                 1.4775,               0.007261,               0.007261,               0.007261
                     86,                 1.2649,                0.99355,                  1.516,                0.86914,                0.77811,                0.85772,                0.55517,                 1.2768,                0.83028,                 1.4844,               0.007228,               0.007228,               0.007228
                     87,                 1.2622,                0.99355,                    1.5,                0.84334,                0.79126,                0.85527,                0.54738,                 1.2691,                0.83802,                 1.4805,               0.007195,               0.007195,               0.007195
                     88,                 1.2648,                0.99888,                 1.5054,                0.87697,                0.78197,                 0.8577,                0.55452,                  1.262,                 0.8274,                 1.4659,               0.007162,               0.007162,               0.007162
                     89,                 1.2726,                 1.0028,                 1.5095,                0.86196,                0.79781,                0.85912,                 0.5606,                 1.2628,                 0.8256,                 1.4682,               0.007129,               0.007129,               0.007129
                     90,                 1.2492,                 0.9841,                 1.5007,                0.88141,                0.78961,                0.86289,                0.56303,                 1.2569,                0.82251,                 1.4652,               0.007096,               0.007096,               0.007096
                     91,                 1.2516,                0.98127,                 1.5079,                  0.861,                0.80193,                0.86024,                0.55722,                 1.2612,                0.82623,                 1.4661,               0.007063,               0.007063,               0.007063
                     92,                 1.2528,                 0.9799,                    1.5,                0.86419,                0.79793,                0.86682,                0.56834,                 1.2429,                 0.8102,                 1.4525,                0.00703,                0.00703,                0.00703
                     93,                 1.2633,                0.98948,                 1.5072,                0.87756,                0.79413,                0.86902,                0.56366,                 1.2433,                0.81945,                 1.4505,               0.006997,               0.006997,               0.006997
                     94,                 1.2379,                0.96436,                  1.495,                0.85867,                0.81644,                0.86576,                0.56826,                 1.2362,                 0.8115,                 1.4437,               0.006964,               0.006964,               0.006964
                     95,                 1.2443,                0.96556,                 1.4974,                0.88574,                0.80566,                0.87339,                0.56864,                 1.2401,                0.80319,                 1.4455,               0.006931,               0.006931,               0.006931
                     96,                 1.2441,                0.96888,                 1.4856,                0.88031,                 0.8082,                0.87121,                0.56607,                  1.252,                0.80758,                 1.4494,               0.006898,               0.006898,               0.006898
                     97,                 1.2428,                0.97653,                 1.4922,                0.88523,                0.79738,                0.86898,                0.56715,                 1.2406,                0.80502,                  1.446,               0.006865,               0.006865,               0.006865
                     98,                 1.2203,                0.95577,                 1.4828,                0.86921,                0.80881,                0.87394,                0.56493,                 1.2391,                0.79717,                  1.447,               0.006832,               0.006832,               0.006832
                     99,                 1.2324,                0.95256,                 1.4728,                0.87726,                 0.8213,                0.87717,                0.57731,                  1.227,                0.78349,                 1.4364,               0.006799,               0.006799,               0.006799
                    100,                 1.2414,                0.95839,                 1.4904,                0.87895,                0.80744,                0.87598,                0.57816,                 1.2199,                0.77648,                 1.4291,               0.006766,               0.006766,               0.006766
                    101,                 1.2242,                 0.9422,                  1.476,                0.87412,                0.81866,                0.88123,                0.57774,                   1.23,                0.77662,                 1.4361,               0.006733,               0.006733,               0.006733
                    102,                  1.219,                0.94252,                 1.4657,                0.89666,                 0.8021,                0.87607,                0.57795,                 1.2188,                0.77937,                 1.4352,                 0.0067,                 0.0067,                 0.0067
                    103,                 1.2227,                0.94952,                 1.4792,                0.88556,                0.81546,                0.87934,                0.58349,                 1.2127,                0.77018,                 1.4289,               0.006667,               0.006667,               0.006667
                    104,                 1.2254,                0.94538,                 1.4775,                0.87791,                0.82118,                0.88115,                0.58217,                 1.2125,                0.77196,                 1.4215,               0.006634,               0.006634,               0.006634
                    105,                 1.2113,                0.92491,                 1.4653,                0.89165,                0.81676,                0.88321,                0.58769,                 1.2074,                0.75871,                  1.421,               0.006601,               0.006601,               0.006601
                    106,                 1.2114,                0.92331,                 1.4625,                0.88403,                0.80853,                0.88157,                0.58324,                 1.2076,                0.76255,                 1.4219,               0.006568,               0.006568,               0.006568
                    107,                 1.2165,                 0.9353,                 1.4575,                0.88399,                0.83064,                0.88882,                0.58746,                 1.2028,                0.75367,                   1.42,               0.006535,               0.006535,               0.006535
                    108,                 1.2027,                0.92838,                 1.4673,                0.88554,                0.83224,                0.88775,                0.59399,                 1.1911,                 0.7541,                 1.4118,               0.006502,               0.006502,               0.006502
                    109,                 1.1974,                0.91935,                 1.4507,                0.89481,                0.82788,                0.89274,                0.59546,                 1.1919,                0.74806,                 1.4063,               0.006469,               0.006469,               0.006469
                    110,                 1.1967,                0.92452,                 1.4673,                0.87828,                0.83848,                0.89196,                0.59194,                 1.2037,                0.75611,                 1.4148,               0.006436,               0.006436,               0.006436
                    111,                 1.1986,                  0.916,                  1.455,                 0.8895,                 0.8367,                0.89698,                0.60436,                 1.1827,                0.73776,                 1.4035,               0.006403,               0.006403,               0.006403
                    112,                 1.1996,                0.91696,                 1.4543,                0.90255,                0.83285,                0.89581,                0.60133,                 1.1802,                0.73813,                  1.401,                0.00637,                0.00637,                0.00637
                    113,                 1.2009,                0.92333,                 1.4605,                0.88975,                0.84361,                0.89461,                0.60273,                  1.183,                0.73732,                  1.402,               0.006337,               0.006337,               0.006337
                    114,                 1.1953,                0.90184,                 1.4553,                0.90324,                0.82986,                0.89863,                0.61179,                  1.171,                0.72582,                 1.3866,               0.006304,               0.006304,               0.006304
                    115,                 1.1833,                0.90433,                 1.4522,                0.90491,                0.82996,                0.89617,                0.60759,                 1.1732,                0.73629,                 1.3875,               0.006271,               0.006271,               0.006271
                    116,                 1.1885,                0.89789,                 1.4502,                 0.8983,                0.84583,                 0.9003,                0.60793,                 1.1724,                0.72372,                 1.3879,               0.006238,               0.006238,               0.006238
                    117,                 1.1885,                0.90204,                 1.4526,                0.89814,                0.83851,                0.89845,                0.61125,                  1.157,                0.71874,                 1.3864,               0.006205,               0.006205,               0.006205
                    118,                 1.1825,                0.90177,                  1.437,                0.89443,                0.84215,                0.89649,                0.61139,                 1.1641,                0.72028,                 1.3863,               0.006172,               0.006172,               0.006172
                    119,                 1.1832,                 0.8951,                 1.4462,                0.91519,                0.83126,                0.90018,                0.61815,                 1.1574,                0.71761,                  1.379,               0.006139,               0.006139,               0.006139
                    120,                 1.1703,                0.88595,                  1.427,                0.89523,                0.84792,                0.90366,                0.61459,                 1.1506,                0.71496,                 1.3716,               0.006106,               0.006106,               0.006106
                    121,                 1.1765,                0.88366,                 1.4321,                0.89348,                0.85877,                0.90487,                0.61476,                 1.1616,                0.71152,                 1.3869,               0.006073,               0.006073,               0.006073
                    122,                 1.1766,                0.88628,                  1.433,                0.89266,                0.85605,                0.90293,                0.61814,                 1.1404,                0.70375,                 1.3646,                0.00604,                0.00604,                0.00604
                    123,                 1.1762,                0.88193,                 1.4329,                0.89451,                0.86446,                0.90638,                0.61857,                 1.1426,                0.70788,                 1.3666,               0.006007,               0.006007,               0.006007
                    124,                 1.1753,                0.88359,                 1.4337,                0.90569,                0.85183,                0.90748,                0.62358,                 1.1398,                0.69988,                 1.3661,               0.005974,               0.005974,               0.005974
                    125,                 1.1681,                0.88044,                 1.4332,                0.91641,                0.85053,                0.90826,                0.62518,                 1.1363,                0.69986,                 1.3619,               0.005941,               0.005941,               0.005941
                    126,                 1.1599,                0.87098,                 1.4204,                0.91027,                 0.8463,                0.90785,                0.62403,                 1.1376,                0.69738,                 1.3615,               0.005908,               0.005908,               0.005908
                    127,                 1.1592,                0.87132,                  1.424,                0.90691,                0.84522,                0.90704,                0.62593,                  1.136,                0.69605,                 1.3636,               0.005875,               0.005875,               0.005875
