                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4854,                 4.0716,                 4.1647,                0.00049,                0.11031,                0.00039,                0.00014,                  3.519,                 4.1228,                 3.9817,               0.070291,               0.003301,               0.003301
                      2,                  3.287,                 3.5732,                  3.721,                0.77372,                0.04308,                0.01298,                0.00388,                 2.9988,                 5.2669,                   3.87,               0.040269,              0.0066124,              0.0066124
                      3,                 2.9033,                 3.1745,                 3.2831,                0.25933,                0.04275,                0.00508,                0.00131,                 3.1993,                 4.4532,                 3.4428,               0.010225,              0.0099019,              0.0099019
                      4,                 2.5541,                 2.8565,                 2.8471,                0.64476,                0.10034,                0.06479,                0.02327,                 2.6758,                 3.9191,                 2.8662,               0.009901,               0.009901,               0.009901
                      5,                 2.3183,                 2.6168,                 2.5421,                0.86349,                0.08819,                0.09511,                0.04228,                 2.4294,                  3.048,                  2.603,               0.009901,               0.009901,               0.009901
                      6,                 2.1538,                 2.3986,                 2.3178,                0.41191,                0.13493,                0.16067,                0.07086,                 2.3432,                 2.5304,                 2.4755,               0.009868,               0.009868,               0.009868
                      7,                 2.0874,                 2.2752,                 2.2296,                0.42362,                0.19407,                0.20133,                0.09838,                 2.1511,                 2.5243,                 2.2637,               0.009835,               0.009835,               0.009835
                      8,                 1.9974,                 2.1396,                 2.1167,                0.38263,                0.22855,                0.21984,                0.10605,                 2.1321,                 2.2248,                 2.2314,               0.009802,               0.009802,               0.009802
                      9,                 1.9516,                 2.0498,                 2.0465,                0.41556,                0.28384,                0.26653,                0.12907,                 2.0638,                 2.2604,                 2.1672,               0.009769,               0.009769,               0.009769
                     10,                 1.8924,                 1.9556,                 1.9944,                 0.5238,                0.28689,                 0.3004,                0.15766,                 1.9426,                 1.9359,                 2.0517,               0.009736,               0.009736,               0.009736
                     11,                 1.8416,                 1.8656,                 1.9411,                0.39581,                0.34102,                0.32831,                 0.1739,                 1.8766,                 1.8737,                 2.0002,               0.009703,               0.009703,               0.009703
                     12,                 1.8148,                 1.8144,                  1.908,                0.56205,                0.34946,                0.37954,                0.19275,                 1.8186,                 1.8143,                 1.9697,                0.00967,                0.00967,                0.00967
