                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  14.36,                 4.3455,                 4.1909,                0.00062,                0.09106,                0.00052,                0.00015,                 18.701,                 4.2459,                 3.9411,               0.070291,               0.003301,               0.003301
                      2,                 9.6293,                 3.8659,                 3.6989,                0.28319,                0.04085,                0.01632,                0.00441,                 7.3812,                 4.9704,                 3.3937,               0.040269,              0.0066124,              0.0066124
                      3,                 7.1375,                 3.6101,                 3.2658,                0.53185,                0.02945,                0.01452,                0.00503,                 7.6298,                 6.1144,                 3.1862,               0.010225,              0.0099019,              0.0099019
                      4,                 6.1273,                 3.3998,                 2.9327,                0.27902,                0.05891,                0.01194,                0.00354,                 7.1883,                 8.2064,                 3.0256,               0.009901,               0.009901,               0.009901
                      5,                 5.4702,                 3.1922,                 2.6887,                0.56286,                0.12183,                0.06655,                0.02412,                 5.7002,                 5.2816,                 2.6895,               0.009901,               0.009901,               0.009901
                      6,                 4.9798,                 2.9459,                 2.5021,                0.20224,                0.17217,                0.11792,                0.04508,                 4.8483,                  3.079,                 2.5168,               0.009868,               0.009868,               0.009868
                      7,                 4.6584,                  2.804,                 2.4228,                0.29284,                0.19629,                0.15579,                0.06295,                 4.8428,                  3.009,                 2.4621,               0.009835,               0.009835,               0.009835
                      8,                 4.3944,                 2.6221,                 2.3332,                0.34034,                0.25323,                0.20182,                0.08787,                 4.4296,                 2.6255,                 2.3753,               0.009802,               0.009802,               0.009802
                      9,                 4.2223,                 2.4942,                 2.2563,                 0.2652,                0.30848,                0.23576,                0.09988,                 4.2889,                 2.6217,                 2.3392,               0.009769,               0.009769,               0.009769
                     10,                 3.9849,                 2.3596,                 2.2169,                0.34118,                 0.3034,                0.27912,                0.12258,                 4.0615,                 2.4458,                 2.2559,               0.009736,               0.009736,               0.009736
                     11,                 3.8033,                 2.2329,                 2.1565,                 0.4139,                0.32874,                0.30793,                 0.1359,                  4.109,                 2.2893,                 2.2504,               0.009703,               0.009703,               0.009703
                     12,                 3.7095,                 2.1686,                  2.125,                0.53848,                0.30298,                0.33418,                0.15631,                 3.8356,                 2.1935,                 2.1873,                0.00967,                0.00967,                0.00967
                     13,                 3.6204,                 2.0893,                 2.0949,                0.58942,                0.28913,                0.30194,                 0.1365,                  4.131,                 2.4489,                 2.2482,               0.009637,               0.009637,               0.009637
