                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 14.286,                 4.4933,                 4.1997,                0.00064,                0.09073,                0.00083,                0.00021,                 19.107,                 4.2069,                 3.9496,               0.070291,               0.003301,               0.003301
                      2,                 9.1934,                 3.8937,                 3.6845,                0.02262,                0.04293,                0.01523,                0.00472,                  7.374,                 4.3786,                 3.3626,               0.040269,              0.0066124,              0.0066124
                      3,                 7.0767,                 3.6122,                 3.2152,                0.28919,                0.04504,                 0.0201,                0.00709,                 7.1915,                  3.985,                 3.1369,               0.010225,              0.0099019,              0.0099019
                      4,                 6.1293,                 3.4213,                 2.8891,                0.31966,                0.05067,                0.03455,                0.01028,                 6.5649,                 3.9089,                 2.8643,               0.009901,               0.009901,               0.009901
                      5,                 5.5698,                  3.228,                 2.6904,                0.36801,                0.06279,                0.05129,                0.01876,                 6.1242,                 3.8071,                 2.8574,               0.009901,               0.009901,               0.009901
                      6,                 4.9871,                 2.9525,                  2.508,                0.31571,                0.14914,                0.12438,                0.05112,                 4.9908,                 3.2548,                 2.5227,               0.009868,               0.009868,               0.009868
                      7,                 4.6768,                  2.783,                 2.4061,                0.30459,                0.20848,                0.18164,                0.07313,                 4.8352,                 2.8923,                 2.4475,               0.009835,               0.009835,               0.009835
                      8,                  4.403,                 2.5975,                 2.3079,                0.30686,                0.22877,                0.19575,                0.08379,                 4.4143,                 2.7345,                 2.3722,               0.009802,               0.009802,               0.009802
                      9,                 4.2457,                 2.4888,                 2.2448,                0.33888,                0.25996,                0.22065,                0.10077,                 4.5096,                 2.6837,                 2.3332,               0.009769,               0.009769,               0.009769
                     10,                 4.0246,                 2.3975,                 2.2035,                0.41104,                0.28316,                0.28719,                0.13749,                 4.0532,                 2.4309,                 2.2176,               0.009736,               0.009736,               0.009736
                     11,                 3.8627,                 2.2817,                 2.1595,                0.41287,                0.29995,                0.29091,                0.13563,                 3.9197,                 2.2795,                 2.1978,               0.009703,               0.009703,               0.009703
                     12,                 3.7573,                 2.2091,                 2.1257,                0.44987,                0.32683,                0.32841,                0.15711,                 3.8072,                 2.1932,                 2.1644,                0.00967,                0.00967,                0.00967
                     13,                 3.6788,                 2.1563,                 2.0914,                0.48961,                0.32014,                0.34253,                0.16407,                 3.8158,                 2.2137,                   2.16,               0.009637,               0.009637,               0.009637
                     14,                 3.5382,                 2.0708,                 2.0502,                 0.4691,                0.34012,                0.34311,                0.16031,                 3.9019,                 2.2084,                 2.1553,               0.009604,               0.009604,               0.009604
                     15,                 3.4861,                 2.0015,                  2.035,                0.53724,                0.35154,                0.38035,                0.18716,                 3.6688,                 2.0627,                 2.0892,               0.009571,               0.009571,               0.009571
                     16,                 3.4604,                 1.9529,                 2.0168,                0.48916,                0.40608,                0.40441,                0.19774,                  3.604,                  1.989,                 2.0689,               0.009538,               0.009538,               0.009538
                     17,                  3.322,                 1.8948,                 1.9739,                0.52746,                0.37748,                  0.403,                0.19993,                 3.5319,                 1.9243,                 2.0493,               0.009505,               0.009505,               0.009505
                     18,                 3.2707,                 1.8523,                 1.9399,                0.53249,                0.40334,                0.42336,                0.21096,                 3.4492,                 1.8893,                  2.033,               0.009472,               0.009472,               0.009472
                     19,                 3.2207,                 1.8327,                 1.9362,                0.55352,                0.42633,                0.45607,                0.23443,                 3.2639,                 1.8246,                 1.9702,               0.009439,               0.009439,               0.009439
                     20,                   3.15,                 1.7943,                 1.9234,                0.59637,                0.43446,                0.47186,                0.23839,                 3.2875,                 1.7485,                 1.9788,               0.009406,               0.009406,               0.009406
                     21,                 3.1525,                 1.7749,                 1.9018,                0.56693,                0.46051,                0.47859,                0.24185,                 3.2833,                 1.7533,                 1.9761,               0.009373,               0.009373,               0.009373
                     22,                 3.0769,                 1.7395,                 1.8952,                0.57331,                0.46527,                0.48653,                0.24888,                 3.2141,                 1.7935,                 1.9484,                0.00934,                0.00934,                0.00934
                     23,                 3.0392,                 1.7165,                 1.8776,                0.56632,                0.48712,                0.50503,                0.26611,                 3.1011,                 1.6654,                 1.9273,               0.009307,               0.009307,               0.009307
                     24,                 3.0108,                 1.6921,                 1.8563,                0.59986,                0.51074,                0.53858,                 0.2861,                 3.0516,                  1.635,                 1.8973,               0.009274,               0.009274,               0.009274
                     25,                 2.9661,                 1.6447,                 1.8351,                0.57957,                0.52227,                 0.5247,                0.28426,                 3.0111,                 1.6115,                 1.8687,               0.009241,               0.009241,               0.009241
                     26,                 2.9348,                  1.617,                 1.8238,                0.58332,                0.51017,                0.53577,                0.28336,                 3.0669,                 1.6496,                 1.8934,               0.009208,               0.009208,               0.009208
