                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 14.235,                  4.439,                 4.1681,                0.00065,                0.09106,                0.00059,                0.00017,                  19.21,                  4.217,                 3.9432,               0.070291,               0.003301,               0.003301
                      2,                 9.6117,                 3.8772,                 3.6804,                0.28853,                0.04853,                0.02437,                0.00718,                 7.3606,                 5.3593,                 3.4803,               0.040269,              0.0066124,              0.0066124
                      3,                 7.0912,                 3.5932,                 3.2446,                0.30592,                0.05145,                0.02908,                0.01088,                 6.7534,                 8.6314,                 3.0815,               0.010225,              0.0099019,              0.0099019
                      4,                 5.8944,                 3.3402,                 2.8762,                0.33703,                0.06977,                0.03865,                 0.0145,                 5.9696,                 4.9682,                  2.837,               0.009901,               0.009901,               0.009901
                      5,                 5.3498,                 3.1264,                 2.6579,                0.40501,                0.11908,                0.08981,                  0.032,                 5.1934,                 4.2491,                 2.6044,               0.009901,               0.009901,               0.009901
                      6,                 4.8512,                 2.8872,                 2.4932,                0.24201,                0.16288,                0.14515,                 0.0584,                 4.9114,                 3.2453,                 2.5392,               0.009868,               0.009868,               0.009868
                      7,                 4.6014,                 2.7329,                 2.4099,                0.32737,                0.17398,                0.14617,                0.05649,                  5.119,                 2.9338,                 2.5326,               0.009835,               0.009835,               0.009835
                      8,                 4.3537,                 2.5702,                  2.319,                0.38256,                0.22794,                0.22392,                0.09952,                 4.3105,                 2.6862,                 2.3468,               0.009802,               0.009802,               0.009802
                      9,                 4.1929,                 2.4697,                 2.2495,                0.27537,                0.22844,                0.18979,                0.07865,                 4.4278,                 2.6924,                 2.3755,               0.009769,               0.009769,               0.009769
                     10,                  3.974,                 2.3505,                 2.2016,                0.37848,                0.27633,                0.27508,                 0.1299,                 4.0539,                 2.3237,                 2.2698,               0.009736,               0.009736,               0.009736
                     11,                  3.821,                 2.2456,                 2.1443,                0.40026,                0.26832,                 0.2729,                0.12582,                 4.0586,                  2.373,                 2.2428,               0.009703,               0.009703,               0.009703
                     12,                 3.7454,                 2.1997,                 2.1248,                0.44699,                 0.3062,                0.30462,                0.13809,                 4.1746,                 2.3221,                 2.2593,                0.00967,                0.00967,                0.00967
                     13,                 3.6572,                 2.1368,                 2.0871,                0.51015,                0.30604,                0.33498,                0.16213,                 3.7912,                  2.219,                 2.1649,               0.009637,               0.009637,               0.009637
                     14,                 3.5193,                 2.0551,                 2.0488,                0.43172,                 0.3674,                0.35033,                0.16807,                  3.813,                  2.072,                 2.1471,               0.009604,               0.009604,               0.009604
                     15,                 3.4917,                 2.0069,                 2.0349,                0.43394,                0.36429,                0.36152,                0.16877,                 3.6693,                 2.1052,                 2.0971,               0.009571,               0.009571,               0.009571
                     16,                 3.3985,                 1.9504,                  2.004,                0.46685,                0.39733,                0.39893,                0.20217,                 3.5526,                 2.0903,                 2.0801,               0.009538,               0.009538,               0.009538
                     17,                 3.3069,                 1.8932,                 1.9712,                0.55677,                0.38263,                0.41613,                 0.2014,                 3.6346,                 1.9365,                  2.059,               0.009505,               0.009505,               0.009505
                     18,                 3.2362,                 1.8379,                 1.9392,                0.51568,                 0.4198,                0.42927,                0.21212,                 3.6289,                 1.8953,                 2.0645,               0.009472,               0.009472,               0.009472
                     19,                 3.2109,                 1.8192,                 1.9411,                0.49197,                0.45148,                0.44124,                0.21629,                 3.4505,                 1.8225,                 2.0335,               0.009439,               0.009439,               0.009439
                     20,                 3.1719,                 1.7857,                 1.9362,                0.53671,                0.45483,                0.46782,                0.23567,                 3.4473,                 1.8069,                 1.9942,               0.009406,               0.009406,               0.009406
                     21,                 3.1558,                 1.7654,                  1.911,                0.60837,                0.44903,                 0.4879,                0.25283,                   3.25,                 1.7143,                 1.9563,               0.009373,               0.009373,               0.009373
