                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 16.062,                 4.0687,                 4.1696,                0.00079,                0.17461,                0.00312,                 0.0009,                 19.172,                 3.8693,                 3.9735,               0.070291,               0.003301,               0.003301
                      2,                 11.135,                 3.6548,                 3.7772,                0.52418,                 0.0346,                 0.0163,                0.00521,                  9.664,                 4.7365,                 3.6537,               0.040269,              0.0066124,              0.0066124
                      3,                 7.7145,                 3.3078,                 3.2388,                0.77368,                0.08355,                0.02075,                0.00572,                  8.118,                 4.3299,                  3.247,               0.010225,              0.0099019,              0.0099019
                      4,                 6.1347,                  2.969,                 2.6771,                0.33077,                0.09415,                0.04563,                0.01463,                 6.6229,                 3.9998,                 2.8588,               0.009901,               0.009901,               0.009901
                      5,                 5.3506,                 2.6534,                 2.3878,                0.52327,                0.13235,                0.10092,                0.04022,                 5.7434,                 2.8834,                 2.5722,               0.009901,               0.009901,               0.009901
                      6,                  4.865,                 2.4112,                 2.2119,                0.51868,                0.12957,                 0.1554,                0.07211,                 5.0874,                 2.6389,                    2.4,               0.009868,               0.009868,               0.009868
                      7,                 4.5295,                 2.2683,                  2.125,                0.28999,                 0.1886,                0.16269,                0.07282,                 5.2181,                 2.5521,                 2.4211,               0.009835,               0.009835,               0.009835
                      8,                 4.2133,                 2.0893,                 2.0297,                0.49517,                0.21511,                0.23513,                0.10819,                 4.7591,                 2.2982,                 2.2587,               0.009802,               0.009802,               0.009802
                      9,                 4.0042,                 2.0051,                 1.9458,                0.42846,                0.28698,                0.28954,                0.13543,                 4.0719,                 2.1402,                 2.0874,               0.009769,               0.009769,               0.009769
                     10,                 3.7765,                 1.8879,                 1.8862,                0.50563,                0.32015,                0.32119,                0.15831,                 3.8341,                 1.9087,                 1.9882,               0.009736,               0.009736,               0.009736
                     11,                 3.6168,                 1.8065,                  1.845,                0.44213,                0.35168,                0.35886,                0.17668,                 3.6383,                 1.7258,                 1.9565,               0.009703,               0.009703,               0.009703
                     12,                 3.4856,                 1.7518,                 1.8131,                0.47105,                0.35045,                0.35828,                0.17908,                 3.6241,                 1.7788,                 1.9389,                0.00967,                0.00967,                0.00967
                     13,                 3.3976,                 1.6992,                 1.7743,                0.55976,                 0.3802,                0.40047,                0.20618,                 3.3444,                 1.6268,                 1.8339,               0.009637,               0.009637,               0.009637
                     14,                 3.2623,                 1.6332,                 1.7337,                0.52405,                0.40907,                0.40967,                 0.2058,                 3.3829,                 1.6374,                 1.8223,               0.009604,               0.009604,               0.009604
                     15,                 3.2002,                 1.5746,                 1.7028,                0.53223,                0.43964,                0.44517,                0.23553,                 3.1554,                 1.5465,                 1.7573,               0.009571,               0.009571,               0.009571
                     16,                 3.1469,                 1.5431,                 1.6766,                0.58176,                0.46441,                0.48436,                 0.2601,                 3.0026,                 1.4764,                  1.702,               0.009538,               0.009538,               0.009538
                     17,                 2.9979,                 1.4916,                 1.6446,                0.59581,                0.46012,                0.47809,                0.25424,                 2.9566,                 1.4445,                 1.7098,               0.009505,               0.009505,               0.009505
