                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4829,                  3.978,                 4.1139,                0.00076,                0.17134,                0.00602,                0.00161,                 3.5145,                 3.7851,                 3.9376,               0.070291,               0.003301,               0.003301
                      2,                 3.2202,                 3.3951,                 3.6238,                0.54424,                0.05255,                0.02663,                0.00826,                 2.9666,                 4.7637,                 3.4517,               0.040269,              0.0066124,              0.0066124
                      3,                  2.849,                   3.12,                 3.2094,                0.76471,                0.01175,                0.00563,                0.00152,                 3.1117,                 5.8556,                 3.3186,               0.010225,              0.0099019,              0.0099019
                      4,                 2.4858,                 2.8122,                 2.7778,                0.13243,                 0.1375,                0.08265,                 0.0332,                 2.5439,                 3.0054,                 2.8337,               0.009901,               0.009901,               0.009901
                      5,                 2.2666,                 2.5529,                 2.5017,                0.21453,                0.18594,                0.14917,                0.06276,                 2.3913,                 3.1145,                 2.6057,               0.009901,               0.009901,               0.009901
                      6,                 2.1317,                 2.3373,                 2.3031,                0.25459,                0.17775,                0.17422,                0.08212,                 2.2445,                  2.536,                 2.4017,               0.009868,               0.009868,               0.009868
                      7,                 2.0431,                 2.2155,                 2.1926,                0.54361,                0.22854,                0.24843,                0.11899,                 2.0575,                 2.1218,                 2.2239,               0.009835,               0.009835,               0.009835
                      8,                 1.9615,                 2.0763,                 2.0913,                0.45616,                0.29086,                0.28704,                0.13862,                 2.0263,                 2.0841,                 2.1926,               0.009802,               0.009802,               0.009802
                      9,                 1.9211,                 1.9964,                 2.0246,                0.43159,                0.32357,                  0.304,                 0.1509,                 1.9518,                 2.1288,                 2.0824,               0.009769,               0.009769,               0.009769
                     10,                 1.8477,                 1.8783,                 1.9548,                0.57675,                0.32666,                0.34443,                0.17528,                 1.8989,                 1.8312,                 2.0334,               0.009736,               0.009736,               0.009736
                     11,                 1.7907,                 1.7908,                 1.9052,                0.45344,                0.35982,                0.35351,                0.18216,                 1.8172,                 1.7275,                 1.9674,               0.009703,               0.009703,               0.009703
                     12,                  1.761,                 1.7392,                 1.8703,                0.53814,                0.40041,                0.40856,                0.21039,                  1.775,                 1.6505,                 1.9091,                0.00967,                0.00967,                0.00967
                     13,                 1.7202,                 1.6784,                 1.8299,                0.54304,                 0.3999,                0.40372,                0.21069,                 1.7809,                  1.645,                 1.8946,               0.009637,               0.009637,               0.009637
                     14,                 1.6749,                 1.6052,                 1.7855,                  0.581,                0.41004,                0.43775,                0.23044,                  1.713,                 1.5662,                 1.8517,               0.009604,               0.009604,               0.009604
                     15,                 1.6526,                 1.5471,                 1.7615,                0.59231,                0.43125,                0.45394,                0.24499,                 1.6722,                 1.5089,                 1.8156,               0.009571,               0.009571,               0.009571
                     16,                 1.6295,                 1.5233,                 1.7379,                0.53865,                0.46035,                0.46674,                0.24931,                 1.6663,                 1.4576,                 1.7903,               0.009538,               0.009538,               0.009538
                     17,                 1.5928,                 1.4601,                  1.707,                0.58362,                0.47646,                0.48356,                0.26729,                   1.61,                 1.4087,                 1.7535,               0.009505,               0.009505,               0.009505
                     18,                 1.5728,                 1.4361,                   1.68,                0.64587,                0.49652,                 0.5278,                0.29212,                  1.573,                 1.3506,                  1.719,               0.009472,               0.009472,               0.009472
                     19,                 1.5544,                 1.4109,                 1.6669,                0.65859,                0.51787,                0.54684,                 0.3054,                 1.5532,                 1.2866,                 1.7009,               0.009439,               0.009439,               0.009439
                     20,                  1.552,                 1.3807,                 1.6633,                0.67136,                0.52158,                0.55459,                0.29814,                 1.5178,                  1.265,                  1.669,               0.009406,               0.009406,               0.009406
                     21,                 1.5303,                 1.3736,                 1.6469,                0.71148,                0.54668,                0.58557,                0.32093,                 1.5308,                 1.2263,                 1.6693,               0.009373,               0.009373,               0.009373
                     22,                 1.5046,                 1.3347,                  1.635,                0.68989,                0.54276,                0.59193,                0.33739,                 1.4914,                  1.224,                 1.6259,                0.00934,                0.00934,                0.00934
                     23,                 1.4976,                  1.321,                 1.6223,                0.70181,                0.56781,                0.60959,                0.35151,                  1.468,                 1.1531,                 1.6294,               0.009307,               0.009307,               0.009307
