                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 15.759,                   4.08,                 4.2121,                 0.0008,                0.17526,                0.00286,                0.00082,                 19.783,                 3.8535,                 4.0003,               0.070291,               0.003301,               0.003301
                      2,                 10.647,                 3.6826,                  3.795,                0.26408,                0.02578,                0.00746,                0.00207,                 10.015,                 4.2694,                 3.6631,               0.040269,              0.0066124,              0.0066124
                      3,                 7.5936,                 3.2965,                 3.1922,                 0.7675,                0.02546,                0.00844,                0.00288,                 9.0707,                 10.538,                 3.2371,               0.010225,              0.0099019,              0.0099019
                      4,                 6.0818,                 2.9181,                 2.6318,                0.35902,                 0.0524,                0.03147,                0.00972,                  7.444,                  3.461,                 2.9209,               0.009901,               0.009901,               0.009901
                      5,                 5.3624,                 2.6224,                 2.3464,                0.63467,                0.10983,                0.12757,                0.05248,                 5.6496,                 2.9777,                 2.4531,               0.009901,               0.009901,               0.009901
                      6,                 4.8368,                 2.3703,                 2.1627,                0.32156,                 0.1848,                0.17292,                0.07662,                 5.6175,                 2.5922,                 2.3193,               0.009868,               0.009868,               0.009868
                      7,                  4.459,                 2.2285,                 2.0642,                0.42418,                0.24875,                0.23034,                0.10803,                 4.5824,                 2.4182,                 2.2156,               0.009835,               0.009835,               0.009835
                      8,                 4.1594,                 2.0568,                 1.9529,                0.47679,                0.26805,                0.26209,                 0.1287,                 4.1119,                 2.2669,                 2.0459,               0.009802,               0.009802,               0.009802
                      9,                 3.9507,                 1.9634,                 1.8773,                0.43775,                0.31126,                0.29869,                0.14513,                  4.076,                 2.0487,                 2.0069,               0.009769,               0.009769,               0.009769
                     10,                 3.7236,                 1.8623,                 1.8263,                  0.487,                0.35417,                0.34679,                0.17423,                 3.7486,                 1.8565,                 1.9406,               0.009736,               0.009736,               0.009736
                     11,                 3.5812,                 1.7699,                  1.772,                0.52178,                0.37904,                0.37696,                0.18549,                 3.7269,                 1.8092,                 1.9239,               0.009703,               0.009703,               0.009703
                     12,                 3.4455,                 1.7197,                 1.7452,                0.51899,                0.38081,                0.38083,                0.19395,                 3.6925,                 1.7555,                 1.8904,                0.00967,                0.00967,                0.00967
                     13,                  3.395,                 1.6642,                 1.7166,                0.52049,                0.37844,                0.38685,                0.19826,                 3.4869,                 1.6798,                 1.8345,               0.009637,               0.009637,               0.009637
                     14,                 3.2242,                 1.5969,                 1.6698,                0.54037,                 0.4134,                 0.4292,                0.22488,                 3.2955,                 1.5687,                 1.7611,               0.009604,               0.009604,               0.009604
                     15,                  3.163,                 1.5508,                 1.6451,                0.60908,                0.45198,                0.48677,                0.26018,                 3.0127,                 1.5655,                 1.7059,               0.009571,               0.009571,               0.009571
                     16,                 3.0944,                 1.5092,                  1.617,                0.62841,                0.43963,                0.48074,                0.24967,                 3.1602,                 1.4538,                 1.7434,               0.009538,               0.009538,               0.009538
                     17,                 2.9899,                 1.4602,                 1.5985,                0.60101,                0.47496,                0.49543,                0.26335,                 2.9131,                 1.4414,                 1.6778,               0.009505,               0.009505,               0.009505
