                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4652,                 3.9942,                 4.1556,                0.00077,                  0.172,                 0.0043,                0.00113,                 3.5105,                 3.7575,                 3.9599,               0.070291,               0.003301,               0.003301
                      2,                 3.2037,                 3.4348,                 3.6329,                0.78421,                0.04504,                0.02005,                0.00597,                 2.9311,                 4.6395,                 3.3949,               0.040269,              0.0066124,              0.0066124
                      3,                 2.8561,                 3.1427,                  3.227,                0.54443,                0.05193,                0.01118,                0.00322,                 2.9679,                 3.7472,                 3.4684,               0.010225,              0.0099019,              0.0099019
                      4,                 2.5165,                 2.8392,                 2.7984,                0.39569,                0.08189,                0.06929,                0.02711,                 2.6244,                 3.4483,                 2.9329,               0.009901,               0.009901,               0.009901
                      5,                 2.3042,                  2.572,                 2.5081,                0.58328,                0.13757,                0.13401,                0.05647,                 2.3873,                 2.7688,                  2.576,               0.009901,               0.009901,               0.009901
                      6,                 2.1499,                 2.3548,                 2.2988,                0.70422,                0.17496,                0.16378,                0.07497,                  2.286,                 2.5599,                 2.4232,               0.009868,               0.009868,               0.009868
                      7,                 2.0757,                 2.2415,                 2.2063,                0.55245,                0.22052,                0.23501,                0.10251,                 2.1618,                 2.2978,                 2.3116,               0.009835,               0.009835,               0.009835
                      8,                  1.969,                  2.064,                 2.0948,                0.39458,                0.28717,                0.26536,                0.12514,                 2.1004,                 2.0758,                 2.2107,               0.009802,               0.009802,               0.009802
                      9,                 1.9109,                 1.9602,                 2.0092,                0.41077,                0.34452,                0.30252,                0.14628,                 1.9828,                 2.1792,                 2.1208,               0.009769,               0.009769,               0.009769
                     10,                 1.8412,                 1.8577,                 1.9425,                0.51231,                0.32406,                0.34581,                0.16958,                 1.9905,                 1.8905,                 2.0764,               0.009736,               0.009736,               0.009736
                     11,                 1.7836,                 1.7626,                  1.889,                0.42646,                0.38059,                0.36113,                0.18706,                 1.8515,                 1.7473,                 1.9732,               0.009703,               0.009703,               0.009703
                     12,                 1.7523,                 1.7104,                 1.8511,                0.52102,                0.39113,                0.39942,                0.21201,                 1.7508,                 1.6427,                 1.8921,                0.00967,                0.00967,                0.00967
                     13,                  1.715,                 1.6571,                 1.8184,                0.64929,                0.42744,                0.45846,                 0.2396,                 1.6998,                   1.54,                 1.8182,               0.009637,               0.009637,               0.009637
                     14,                 1.6648,                 1.5801,                 1.7693,                0.58383,                0.42988,                0.44219,                0.23197,                 1.7169,                  1.558,                  1.837,               0.009604,               0.009604,               0.009604
                     15,                 1.6307,                 1.5335,                 1.7412,                0.61674,                0.45137,                0.48299,                0.26111,                 1.6519,                 1.5459,                 1.7733,               0.009571,               0.009571,               0.009571
                     16,                 1.6204,                 1.4948,                 1.7196,                0.65693,                0.48198,                0.51267,                0.27966,                 1.6649,                  1.423,                 1.7605,               0.009538,               0.009538,               0.009538
                     17,                 1.5763,                 1.4435,                 1.6768,                0.60303,                0.48526,                0.51596,                0.28092,                  1.614,                 1.4029,                 1.7395,               0.009505,               0.009505,               0.009505
                     18,                 1.5502,                 1.4048,                 1.6448,                0.65162,                0.52103,                0.54185,                0.30084,                 1.5615,                  1.298,                 1.6943,               0.009472,               0.009472,               0.009472
                     19,                 1.5421,                 1.3922,                 1.6444,                0.65943,                0.51216,                0.53898,                0.29954,                 1.5466,                 1.3258,                 1.6775,               0.009439,               0.009439,               0.009439
                     20,                 1.5311,                 1.3717,                 1.6341,                0.68454,                0.53841,                0.56261,                 0.3134,                 1.5198,                 1.2653,                  1.647,               0.009406,               0.009406,               0.009406
                     21,                 1.5142,                 1.3488,                 1.6219,                0.67284,                0.55697,                0.58303,                0.32827,                 1.5105,                  1.267,                 1.6577,               0.009373,               0.009373,               0.009373
                     22,                 1.4967,                 1.3188,                 1.6087,                0.69265,                 0.5466,                0.59083,                0.33608,                 1.4856,                 1.1936,                 1.6107,                0.00934,                0.00934,                0.00934
                     23,                 1.4925,                 1.3138,                 1.6031,                0.72178,                0.56393,                0.61217,                0.35251,                 1.4592,                 1.1842,                 1.6149,               0.009307,               0.009307,               0.009307
                     24,                 1.4809,                 1.2846,                 1.5843,                0.69656,                0.59078,                0.62676,                 0.3596,                 1.4128,                 1.1289,                 1.5666,               0.009274,               0.009274,               0.009274
                     25,                 1.4555,                 1.2511,                 1.5627,                0.70382,                 0.5867,                 0.6139,                0.35813,                 1.4137,                 1.1374,                 1.5621,               0.009241,               0.009241,               0.009241
                     26,                 1.4362,                  1.229,                 1.5468,                0.72453,                0.59675,                0.63523,                0.36731,                 1.4271,                 1.1039,                 1.5588,               0.009208,               0.009208,               0.009208
                     27,                 1.4276,                 1.2208,                 1.5409,                0.74243,                0.58213,                0.62924,                0.36174,                 1.4288,                 1.1333,                 1.5614,               0.009175,               0.009175,               0.009175
                     28,                 1.4149,                   1.19,                 1.5317,                  0.719,                0.62198,                0.65833,                 0.3781,                 1.3882,                 1.0779,                 1.5273,               0.009142,               0.009142,               0.009142
                     29,                 1.4183,                 1.1851,                 1.5254,                0.76583,                0.61377,                0.66579,                0.38861,                 1.3673,                 1.0657,                 1.5164,               0.009109,               0.009109,               0.009109
                     30,                 1.3962,                 1.1663,                 1.5066,                0.78532,                0.61412,                0.67777,                0.39497,                 1.3783,                 1.0236,                 1.5081,               0.009076,               0.009076,               0.009076
                     31,                 1.3927,                 1.1623,                 1.5124,                0.71871,                0.63259,                0.67179,                0.40119,                 1.3417,                 1.0359,                 1.4894,               0.009043,               0.009043,               0.009043
