                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4849,                 3.9974,                 4.1486,                0.00077,                  0.172,                 0.0034,                0.00099,                 3.5088,                  3.792,                 3.9661,               0.070291,               0.003301,               0.003301
                      2,                 3.2291,                 3.4628,                  3.663,                0.79515,                0.02317,                0.01798,                0.00514,                 3.0271,                 4.1252,                 3.4498,               0.040269,              0.0066124,              0.0066124
                      3,                 2.8542,                  3.141,                 3.2372,                0.51567,                0.05809,                  0.013,                0.00316,                 2.9926,                 5.0868,                 3.3158,               0.010225,              0.0099019,              0.0099019
                      4,                 2.5069,                 2.8412,                 2.7984,                0.62206,                0.05009,                0.05272,                0.01845,                 2.7206,                 4.1583,                 3.0146,               0.009901,               0.009901,               0.009901
                      5,                 2.2822,                 2.5942,                 2.5106,                0.54546,                0.12465,                0.12543,                0.05287,                 2.4038,                 3.0581,                 2.6322,               0.009901,               0.009901,               0.009901
                      6,                 2.1301,                 2.3554,                 2.2917,                0.29568,                0.19561,                0.19187,                0.09032,                 2.1865,                 2.5694,                 2.3276,               0.009868,               0.009868,               0.009868
                      7,                 2.0465,                 2.2032,                 2.1761,                0.65935,                0.21582,                0.23328,                0.11401,                 2.0888,                 2.3216,                 2.2295,               0.009835,               0.009835,               0.009835
                      8,                 1.9388,                 2.0498,                 2.0616,                 0.3383,                0.30652,                0.28271,                0.13839,                  1.999,                 2.1824,                 2.1534,               0.009802,               0.009802,               0.009802
                      9,                 1.8902,                 1.9534,                 1.9834,                0.44271,                0.34128,                0.32352,                0.15805,                 1.9476,                 1.8997,                  2.077,               0.009769,               0.009769,               0.009769
                     10,                 1.8229,                 1.8506,                 1.9242,                0.54311,                0.37824,                0.38606,                0.19279,                 1.8723,                 1.7826,                 2.0033,               0.009736,               0.009736,               0.009736
                     11,                 1.7634,                  1.755,                 1.8651,                0.47254,                0.35202,                 0.3546,                0.18104,                 1.8426,                 1.8615,                 1.9788,               0.009703,               0.009703,               0.009703
                     12,                 1.7287,                 1.6954,                 1.8334,                0.56513,                0.39727,                0.40335,                 0.2174,                 1.7682,                 1.6409,                 1.9027,                0.00967,                0.00967,                0.00967
                     13,                 1.6994,                 1.6438,                 1.7942,                0.59904,                0.42031,                 0.4339,                0.23268,                 1.7066,                 1.5994,                 1.8323,               0.009637,               0.009637,               0.009637
                     14,                 1.6445,                 1.5721,                 1.7512,                0.54074,                0.42178,                0.43039,                0.23223,                 1.6966,                 1.5432,                 1.8205,               0.009604,               0.009604,               0.009604
                     15,                 1.6339,                 1.5285,                 1.7302,                0.57903,                0.47508,                0.48398,                0.26561,                 1.6581,                 1.4255,                 1.7667,               0.009571,               0.009571,               0.009571
                     16,                  1.611,                 1.4881,                 1.7048,                0.61415,                  0.453,                0.48345,                0.26277,                 1.6433,                 1.4377,                 1.7819,               0.009538,               0.009538,               0.009538
                     17,                 1.5704,                 1.4402,                 1.6726,                0.62483,                0.48398,                0.51877,                0.28249,                  1.587,                 1.3769,                 1.7378,               0.009505,               0.009505,               0.009505
                     18,                 1.5461,                 1.4041,                 1.6447,                0.71495,                0.47233,                0.53652,                0.28807,                 1.5915,                 1.3456,                 1.7248,               0.009472,               0.009472,               0.009472
                     19,                 1.5359,                 1.3836,                 1.6394,                0.68735,                0.51966,                0.55268,                0.31168,                  1.554,                 1.2808,                 1.6929,               0.009439,               0.009439,               0.009439
                     20,                 1.5274,                 1.3558,                 1.6293,                0.68326,                0.55307,                0.58088,                0.32636,                 1.4901,                 1.2648,                 1.6344,               0.009406,               0.009406,               0.009406
                     21,                  1.509,                 1.3482,                 1.6137,                0.69926,                0.51796,                0.56254,                 0.3121,                 1.5353,                 1.2565,                 1.6615,               0.009373,               0.009373,               0.009373
                     22,                 1.4926,                 1.3211,                 1.6033,                0.67877,                0.55398,                0.59148,                0.33561,                 1.4949,                 1.2189,                 1.6134,                0.00934,                0.00934,                0.00934
                     23,                 1.4808,                 1.2998,                 1.5945,                0.70519,                0.56706,                0.60723,                0.35947,                 1.4365,                 1.1858,                 1.6016,               0.009307,               0.009307,               0.009307
                     24,                 1.4654,                 1.2829,                 1.5719,                 0.7268,                0.57858,                0.63183,                0.36068,                 1.4307,                 1.1489,                 1.5735,               0.009274,               0.009274,               0.009274
                     25,                 1.4475,                 1.2482,                 1.5549,                0.73529,                0.58122,                0.62637,                0.36292,                 1.4375,                 1.1384,                 1.5829,               0.009241,               0.009241,               0.009241
                     26,                  1.433,                 1.2257,                  1.544,                0.76199,                0.57952,                0.64136,                0.37285,                 1.4161,                 1.1182,                 1.5533,               0.009208,               0.009208,               0.009208
                     27,                 1.4289,                 1.2221,                 1.5397,                0.72749,                0.59274,                0.63132,                0.35983,                 1.4182,                 1.1425,                 1.5566,               0.009175,               0.009175,               0.009175
                     28,                  1.417,                 1.1934,                 1.5277,                0.73191,                0.59388,                0.64719,                0.37745,                 1.4007,                 1.1001,                 1.5299,               0.009142,               0.009142,               0.009142
                     29,                 1.4068,                 1.1785,                 1.5163,                0.75826,                0.62435,                0.66903,                0.39328,                 1.3741,                  1.058,                 1.5129,               0.009109,               0.009109,               0.009109
                     30,                 1.3935,                 1.1601,                  1.507,                0.76261,                0.61817,                0.66737,                0.38738,                 1.4184,                 1.0677,                 1.5434,               0.009076,               0.009076,               0.009076
                     31,                 1.3855,                 1.1663,                 1.5045,                0.77569,                0.61945,                0.68214,                0.40264,                 1.3582,                 1.0464,                 1.5037,               0.009043,               0.009043,               0.009043
                     32,                 1.3694,                 1.1383,                 1.4851,                0.81378,                0.62041,                0.69328,                0.41662,                 1.3382,                0.99906,                 1.4814,                0.00901,                0.00901,                0.00901
                     33,                 1.3815,                 1.1341,                 1.4957,                0.78564,                0.63714,                 0.6917,                0.40579,                 1.3572,                 1.0052,                 1.4979,               0.008977,               0.008977,               0.008977
                     34,                 1.3536,                 1.1277,                 1.4838,                0.77823,                0.63763,                0.70432,                0.42001,                 1.3304,                0.97468,                 1.4808,               0.008944,               0.008944,               0.008944
                     35,                 1.3456,                 1.0928,                 1.4582,                0.80899,                 0.6247,                0.69878,                0.42109,                  1.306,                0.97512,                 1.4468,               0.008911,               0.008911,               0.008911
                     36,                 1.3461,                 1.0858,                 1.4641,                0.74609,                0.65661,                0.69971,                0.42492,                 1.3171,                0.95804,                 1.4573,               0.008878,               0.008878,               0.008878
                     37,                 1.3282,                 1.0686,                 1.4427,                0.82543,                 0.6377,                0.71173,                0.42648,                 1.3034,                0.94429,                 1.4484,               0.008845,               0.008845,               0.008845
                     38,                 1.3255,                 1.0698,                 1.4503,                0.82768,                 0.6382,                0.71251,                0.43411,                 1.2766,                0.93708,                  1.433,               0.008812,               0.008812,               0.008812
                     39,                 1.3251,                 1.0645,                  1.443,                0.80976,                0.64974,                0.72654,                0.44406,                 1.2602,                0.91963,                 1.4145,               0.008779,               0.008779,               0.008779
                     40,                 1.3059,                 1.0473,                 1.4287,                0.78702,                0.67037,                0.73404,                0.45167,                 1.2478,                0.91254,                 1.3979,               0.008746,               0.008746,               0.008746
                     41,                 1.3035,                  1.038,                 1.4324,                0.81394,                0.67942,                0.74639,                0.46183,                 1.2468,                0.87056,                  1.401,               0.008713,               0.008713,               0.008713
                     42,                 1.2969,                 1.0274,                 1.4225,                0.79945,                0.68876,                0.74386,                0.45312,                  1.253,                0.89377,                 1.4041,                0.00868,                0.00868,                0.00868
                     43,                 1.2941,                 1.0269,                 1.4148,                0.83663,                0.68389,                0.74895,                0.45604,                 1.2486,                0.86723,                 1.3968,               0.008647,               0.008647,               0.008647
                     44,                 1.2883,                 1.0182,                 1.4165,                0.86978,                0.68844,                0.77075,                0.47401,                 1.2259,                0.84913,                 1.3789,               0.008614,               0.008614,               0.008614
                     45,                 1.2777,                  0.999,                 1.3937,                0.82131,                0.67987,                 0.7466,                0.46472,                 1.2251,                0.86605,                 1.3783,               0.008581,               0.008581,               0.008581
                     46,                 1.2641,                0.99117,                 1.4036,                0.83415,                0.68621,                0.75868,                0.46073,                 1.2374,                0.85294,                 1.4001,               0.008548,               0.008548,               0.008548
                     47,                 1.2589,                 0.9848,                 1.3913,                0.83676,                0.69507,                0.76448,                0.47672,                 1.2043,                0.84007,                 1.3574,               0.008515,               0.008515,               0.008515
                     48,                 1.2529,                0.98041,                 1.3891,                0.81897,                0.69193,                0.76273,                0.46812,                 1.2109,                 0.8427,                 1.3703,               0.008482,               0.008482,               0.008482
