                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3791,                  4.417,                 2.2455,                0.00077,                0.17167,                0.00564,                0.00148,                 3.4786,                 4.1603,                 2.1527,               0.070291,               0.003301,               0.003301
                      2,                 3.1507,                  3.992,                 2.0415,                0.78348,                0.04798,                0.01829,                0.00522,                 2.9865,                 4.8727,                 2.0594,               0.040269,              0.0066124,              0.0066124
                      3,                 2.8877,                 3.6273,                 1.8036,                0.01958,                 0.1487,                0.00729,                0.00221,                 3.2016,                    inf,                 2.0253,               0.010225,              0.0099019,              0.0099019
                      4,                 2.6027,                 3.2609,                 1.5713,                0.15423,                0.11204,                0.06334,                0.02528,                 2.5934,                 3.4263,                 1.6114,               0.009901,               0.009901,               0.009901
                      5,                 2.3474,                 2.9298,                 1.4074,                0.21773,                0.21707,                0.16858,                0.06935,                 2.3442,                 3.6888,                 1.4418,               0.009901,               0.009901,               0.009901
                      6,                 2.2037,                 2.6558,                 1.2907,                 0.3565,                0.23645,                0.23886,                0.10463,                 2.2174,                 2.6996,                 1.3391,               0.009868,               0.009868,               0.009868
                      7,                 2.1022,                 2.4965,                 1.2346,                 0.3925,                0.27741,                0.26636,                0.11787,                 2.0965,                 2.4271,                 1.2875,               0.009835,               0.009835,               0.009835
                      8,                  1.999,                 2.3021,                 1.1687,                0.39193,                0.30697,                0.29464,                0.14234,                 1.9919,                 2.2649,                 1.2276,               0.009802,               0.009802,               0.009802
                      9,                 1.9422,                 2.2122,                 1.1286,                0.41706,                0.36009,                0.33469,                0.16185,                 1.9386,                 2.3439,                 1.1857,               0.009769,               0.009769,               0.009769
                     10,                  1.879,                 2.0946,                 1.0934,                0.47569,                 0.3926,                0.38256,                0.18805,                 1.8948,                 2.2176,                 1.1579,               0.009736,               0.009736,               0.009736
                     11,                 1.8292,                 2.0042,                 1.0664,                0.43899,                0.40098,                0.39356,                 0.1987,                 1.8464,                 1.9854,                 1.1255,               0.009703,               0.009703,               0.009703
                     12,                 1.7966,                 1.9269,                 1.0474,                0.55824,                0.44332,                0.44711,                0.21924,                 1.8142,                 1.8986,                 1.1036,                0.00967,                0.00967,                0.00967
                     13,                 1.7576,                 1.8758,                 1.0262,                0.51048,                0.45534,                0.45399,                0.22926,                 1.7904,                 1.7663,                 1.0815,               0.009637,               0.009637,               0.009637
                     14,                 1.7114,                 1.7899,                 1.0007,                0.55239,                0.44476,                0.47365,                 0.2394,                  1.774,                 1.7668,                 1.0723,               0.009604,               0.009604,               0.009604
                     15,                 1.6933,                  1.736,                0.98829,                0.54532,                0.49923,                0.51982,                0.27442,                  1.701,                  1.687,                 1.0433,               0.009571,               0.009571,               0.009571
                     16,                 1.6729,                 1.7025,                 0.9732,                0.57089,                0.52216,                0.53081,                 0.2845,                 1.6507,                 1.6099,                 1.0015,               0.009538,               0.009538,               0.009538
                     17,                 1.6391,                 1.6454,                0.95459,                0.66952,                0.50701,                0.55708,                0.29512,                 1.6507,                 1.5209,                 1.0075,               0.009505,               0.009505,               0.009505
                     18,                 1.6115,                 1.5909,                0.93794,                  0.614,                0.55218,                  0.576,                0.31224,                 1.5582,                 1.4412,                 0.9659,               0.009472,               0.009472,               0.009472
                     19,                 1.5919,                 1.5659,                0.92844,                0.60409,                0.52155,                0.56283,                0.30041,                 1.5875,                 1.4786,                0.97504,               0.009439,               0.009439,               0.009439
                     20,                 1.5865,                 1.5489,                0.92322,                0.66502,                0.53458,                0.58236,                0.31851,                 1.5623,                 1.4208,                 0.9489,               0.009406,               0.009406,               0.009406
                     21,                 1.5678,                 1.5243,                 0.9162,                 0.7015,                0.55708,                0.61599,                 0.3395,                 1.5537,                 1.4035,                0.94959,               0.009373,               0.009373,               0.009373
                     22,                 1.5417,                 1.4892,                0.90805,                0.66834,                0.58026,                0.60371,                0.34118,                 1.5168,                 1.3852,                 0.9325,                0.00934,                0.00934,                0.00934
                     23,                  1.539,                  1.465,                 0.9018,                0.71653,                0.58933,                 0.6386,                0.35846,                 1.5133,                 1.3273,                0.93284,               0.009307,               0.009307,               0.009307
                     24,                 1.5202,                 1.4422,                0.88933,                0.66831,                0.59514,                0.63874,                0.36465,                 1.4668,                 1.2882,                0.90704,               0.009274,               0.009274,               0.009274
                     25,                  1.507,                 1.4069,                0.88172,                0.71292,                0.61862,                0.66068,                0.37136,                 1.4944,                 1.2555,                0.91069,               0.009241,               0.009241,               0.009241
                     26,                 1.4851,                 1.3731,                 0.8685,                0.72408,                0.58849,                 0.6485,                0.36734,                 1.4914,                 1.3096,                0.92099,               0.009208,               0.009208,               0.009208
                     27,                 1.4782,                 1.3666,                0.87104,                0.74247,                0.57747,                0.66431,                0.36791,                  1.465,                 1.2508,                0.89972,               0.009175,               0.009175,               0.009175
                     28,                 1.4655,                 1.3374,                0.86481,                0.72761,                0.62021,                0.67861,                0.38374,                 1.4343,                 1.3167,                0.88321,               0.009142,               0.009142,               0.009142
                     29,                 1.4577,                 1.3179,                0.85327,                0.76898,                0.63166,                0.68905,                0.40168,                 1.4076,                 1.1851,                0.86987,               0.009109,               0.009109,               0.009109
                     30,                 1.4513,                 1.2921,                0.84451,                0.78007,                0.66016,                 0.7216,                0.42844,                 1.3881,                 1.1371,                0.85658,               0.009076,               0.009076,               0.009076
                     31,                 1.4421,                 1.2905,                0.84527,                0.77717,                0.65314,                0.72375,                0.42763,                 1.3848,                 1.1235,                0.85697,               0.009043,               0.009043,               0.009043
                     32,                 1.4311,                 1.2679,                0.83628,                0.76324,                0.66939,                0.72031,                0.42771,                 1.3734,                 1.1121,                0.85186,                0.00901,                0.00901,                0.00901
                     33,                 1.4272,                  1.251,                0.84014,                0.74712,                0.66781,                0.72786,                0.42506,                  1.385,                 1.0933,                0.85469,               0.008977,               0.008977,               0.008977
                     34,                 1.4168,                 1.2526,                0.83556,                0.76903,                0.68538,                0.74092,                 0.4329,                 1.3872,                 1.0847,                0.84806,               0.008944,               0.008944,               0.008944
                     35,                 1.4052,                 1.2208,                0.81965,                0.81259,                0.68622,                0.75371,                0.45265,                 1.3369,                 1.0528,                0.82931,               0.008911,               0.008911,               0.008911
                     36,                 1.3949,                 1.2064,                0.81997,                0.80276,                0.67489,                0.74472,                 0.4436,                 1.3323,                 1.0496,                0.82504,               0.008878,               0.008878,               0.008878
                     37,                 1.3748,                  1.176,                0.80684,                0.78945,                0.67515,                0.74963,                 0.4414,                 1.3464,                 1.0655,                0.83381,               0.008845,               0.008845,               0.008845
                     38,                 1.3765,                 1.1877,                0.81262,                0.81058,                0.69526,                0.76484,                0.46205,                 1.3111,                 1.0122,                0.82166,               0.008812,               0.008812,               0.008812
                     39,                 1.3747,                 1.1777,                0.80857,                0.79204,                0.71152,                0.77868,                0.47452,                 1.3102,                 1.0008,                0.81335,               0.008779,               0.008779,               0.008779
                     40,                 1.3575,                 1.1538,                0.80209,                0.79211,                0.71324,                0.77046,                0.46106,                 1.3056,                 1.0178,                0.81309,               0.008746,               0.008746,               0.008746
                     41,                 1.3545,                 1.1413,                0.80668,                0.84428,                0.70418,                0.78002,                0.48168,                 1.2899,                0.97015,                0.80396,               0.008713,               0.008713,               0.008713
                     42,                  1.347,                 1.1322,                0.79925,                0.80953,                0.71844,                0.77502,                0.47482,                 1.2968,                0.97869,                0.80519,                0.00868,                0.00868,                0.00868
                     43,                 1.3455,                 1.1319,                0.79196,                0.83604,                0.71728,                0.79546,                0.48304,                 1.2938,                0.95958,                0.80385,               0.008647,               0.008647,               0.008647
                     44,                 1.3348,                  1.114,                0.79051,                0.85152,                0.71771,                0.80292,                0.49727,                 1.2682,                0.92096,                0.78883,               0.008614,               0.008614,               0.008614
                     45,                 1.3303,                 1.0977,                0.78135,                0.84393,                0.72226,                0.80306,                0.50413,                 1.2621,                0.93919,                0.78537,               0.008581,               0.008581,               0.008581
                     46,                 1.3197,                 1.0987,                0.78456,                0.84103,                0.73164,                0.81198,                0.49932,                 1.2488,                0.92699,                0.78486,               0.008548,               0.008548,               0.008548
                     47,                 1.3079,                  1.084,                0.77634,                0.82859,                0.74264,                0.81234,                0.50955,                 1.2325,                 0.8968,                0.77204,               0.008515,               0.008515,               0.008515
                     48,                 1.3011,                 1.0709,                0.77709,                0.86256,                0.75523,                0.82542,                0.52184,                 1.2145,                0.88113,                0.76603,               0.008482,               0.008482,               0.008482
                     49,                 1.2995,                 1.0556,                0.77044,                0.85156,                0.75984,                0.83488,                0.52263,                 1.2383,                0.86664,                0.77482,               0.008449,               0.008449,               0.008449
                     50,                  1.297,                 1.0601,                0.76609,                 0.8681,                 0.7556,                0.83456,                0.52794,                 1.2139,                0.86126,                0.75944,               0.008416,               0.008416,               0.008416
