                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4019,                 4.5161,                 4.2273,                0.00075,                0.16841,                0.00164,                0.00053,                 3.4966,                 4.2531,                 4.0595,               0.070291,               0.003301,               0.003301
                      2,                 3.2136,                 3.9905,                 3.7649,                0.76454,                0.05614,                0.01583,                 0.0049,                 3.0877,                 27.761,                 3.6587,               0.040269,              0.0066124,              0.0066124
                      3,                 2.8884,                 3.5253,                 3.2496,                0.26588,                 0.0432,                0.00901,                0.00304,                 2.8916,                 7.5722,                 3.3016,               0.010225,              0.0099019,              0.0099019
                      4,                 2.5368,                 3.1915,                 2.8373,                0.14178,                0.13136,                0.07358,                0.02943,                 2.4905,                 3.7548,                 2.8671,               0.009901,               0.009901,               0.009901
                      5,                 2.2994,                  2.847,                  2.556,                 0.6487,                0.10991,                0.09167,                0.03796,                 2.4455,                 3.8682,                 2.7195,               0.009901,               0.009901,               0.009901
                      6,                 2.1338,                  2.566,                 2.3479,                0.40739,                0.23942,                0.25242,                0.11457,                 2.1489,                 2.6914,                 2.4457,               0.009868,               0.009868,               0.009868
                      7,                 2.0425,                 2.4227,                 2.2353,                0.38037,                0.31257,                0.28871,                0.13671,                 2.0528,                 2.3993,                 2.3448,               0.009835,               0.009835,               0.009835
                      8,                 1.9456,                  2.226,                 2.1306,                0.41992,                0.29379,                0.29053,                0.14421,                 1.9797,                 2.3013,                 2.2815,               0.009802,               0.009802,               0.009802
                      9,                 1.8933,                 2.1469,                 2.0589,                0.48416,                0.35374,                 0.3487,                0.16175,                 1.9817,                 2.2329,                 2.2461,               0.009769,               0.009769,               0.009769
                     10,                 1.8202,                 2.0263,                 1.9943,                0.50046,                0.35075,                0.38564,                0.20434,                  1.841,                 2.1399,                 2.1045,               0.009736,               0.009736,               0.009736
