                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4954,                 3.9859,                 4.1513,                0.00077,                0.17167,                0.00344,                0.00092,                 3.5145,                 3.7854,                 3.9759,               0.070291,               0.003301,               0.003301
                      2,                 3.2383,                 3.4392,                 3.6828,                0.79381,                0.04993,                0.01978,                0.00589,                 2.9885,                 4.5134,                 3.4482,               0.040269,              0.0066124,              0.0066124
                      3,                 2.8162,                 3.0784,                 3.2137,                0.77991,                0.05777,                0.02397,                0.00682,                 2.8776,                 3.7528,                 3.2603,               0.010225,              0.0099019,              0.0099019
                      4,                 2.4422,                 2.7556,                 2.7502,                0.87337,                 0.0607,                0.06651,                0.02829,                 2.7292,                  4.187,                 3.1598,               0.009901,               0.009901,               0.009901
                      5,                 2.2393,                 2.5284,                 2.5063,                0.58175,                0.11597,                0.12712,                0.05878,                 2.3738,                 3.1604,                 2.5871,               0.009901,               0.009901,               0.009901
                      6,                 2.1016,                 2.3148,                 2.3007,                0.40005,                 0.2164,                 0.2112,                0.10113,                  2.171,                 2.2567,                 2.3568,               0.009868,               0.009868,               0.009868
                      7,                 2.0252,                  2.189,                 2.2144,                0.46413,                0.23305,                0.24264,                0.11638,                 2.1421,                 2.2541,                 2.3066,               0.009835,               0.009835,               0.009835
                      8,                 1.9288,                 2.0455,                 2.1161,                0.44856,                0.25924,                0.26657,                0.12954,                 2.0541,                 2.1159,                 2.2437,               0.009802,               0.009802,               0.009802
                      9,                 1.8839,                 1.9623,                 2.0329,                0.42819,                0.33704,                0.32022,                0.15405,                 1.9609,                 1.9651,                  2.115,               0.009769,               0.009769,               0.009769
                     10,                 1.8126,                 1.8425,                 1.9709,                0.65271,                0.34583,                0.37471,                0.18863,                 1.8886,                 1.8504,                 2.0426,               0.009736,               0.009736,               0.009736
                     11,                 1.7495,                 1.7402,                  1.913,                0.45468,                 0.3832,                0.37328,                0.19862,                 1.8237,                 1.7611,                 1.9717,               0.009703,               0.009703,               0.009703
                     12,                 1.7287,                 1.7101,                  1.894,                0.56337,                0.40955,                0.43381,                0.22706,                 1.7575,                 1.6123,                 1.9198,                0.00967,                0.00967,                0.00967
                     13,                  1.697,                  1.654,                 1.8551,                0.63014,                0.42828,                0.45919,                0.23869,                 1.7272,                 1.5654,                 1.8636,               0.009637,               0.009637,               0.009637
                     14,                 1.6413,                 1.5747,                 1.8046,                0.59672,                0.42079,                 0.4525,                0.24219,                 1.7068,                 1.5522,                 1.8519,               0.009604,               0.009604,               0.009604
                     15,                 1.6193,                  1.525,                  1.785,                0.55564,                0.47481,                0.48562,                0.26335,                 1.6844,                 1.4352,                 1.8224,               0.009571,               0.009571,               0.009571
                     16,                 1.6007,                 1.4908,                 1.7511,                0.61165,                0.45057,                0.48415,                0.26848,                 1.6292,                 1.4492,                 1.7932,               0.009538,               0.009538,               0.009538
                     17,                 1.5565,                  1.444,                 1.7132,                0.61245,                0.49767,                0.51451,                0.28565,                 1.5667,                 1.3739,                 1.7265,               0.009505,               0.009505,               0.009505
                     18,                 1.5426,                 1.4037,                 1.6968,                0.66113,                0.50978,                0.54736,                0.31423,                 1.5322,                 1.3005,                 1.6984,               0.009472,               0.009472,               0.009472
                     19,                 1.5214,                  1.389,                 1.6835,                0.66568,                0.53002,                0.56404,                 0.3147,                 1.5172,                  1.297,                 1.6985,               0.009439,               0.009439,               0.009439
                     20,                 1.5144,                 1.3631,                 1.6768,                0.66178,                 0.5408,                0.57108,                 0.3206,                 1.5123,                 1.2476,                 1.6822,               0.009406,               0.009406,               0.009406
                     21,                 1.5028,                 1.3492,                 1.6603,                0.64668,                0.55705,                0.58239,                0.32852,                 1.4815,                 1.2336,                 1.6535,               0.009373,               0.009373,               0.009373
                     22,                 1.4857,                 1.3227,                 1.6482,                0.69965,                0.56004,                0.59365,                0.33871,                 1.4941,                 1.2193,                 1.6367,                0.00934,                0.00934,                0.00934
                     23,                 1.4758,                 1.3046,                 1.6346,                0.69404,                0.55342,                0.59506,                0.34363,                 1.4669,                 1.1834,                  1.647,               0.009307,               0.009307,               0.009307
                     24,                 1.4665,                 1.2852,                 1.6186,                0.69885,                0.58767,                0.62575,                0.36012,                 1.4386,                 1.1348,                 1.6179,               0.009274,               0.009274,               0.009274
                     25,                 1.4419,                 1.2467,                 1.5935,                0.71231,                0.56837,                0.60549,                0.35004,                 1.4358,                 1.2243,                  1.607,               0.009241,               0.009241,               0.009241
                     26,                  1.423,                 1.2281,                 1.5823,                0.71737,                 0.5741,                0.61409,                0.35308,                 1.4225,                 1.1183,                   1.59,               0.009208,               0.009208,               0.009208
                     27,                  1.414,                  1.224,                 1.5785,                0.70166,                0.60225,                0.64574,                0.37049,                 1.4181,                 1.1052,                 1.5726,               0.009175,               0.009175,               0.009175
                     28,                 1.4115,                 1.1977,                 1.5686,                0.71008,                0.58246,                  0.634,                0.37456,                 1.3703,                 1.0972,                  1.549,               0.009142,               0.009142,               0.009142
                     29,                 1.4053,                 1.1862,                 1.5586,                0.76157,                0.61426,                0.66738,                0.38627,                 1.3938,                 1.0455,                 1.5673,               0.009109,               0.009109,               0.009109
                     30,                 1.3941,                 1.1684,                 1.5508,                0.77249,                0.62736,                 0.6873,                0.40064,                 1.3685,                 1.0181,                 1.5288,               0.009076,               0.009076,               0.009076
                     31,                 1.3794,                 1.1611,                 1.5491,                0.74275,                0.62212,                0.67015,                0.39584,                 1.3539,                 1.0338,                 1.5338,               0.009043,               0.009043,               0.009043
                     32,                  1.366,                 1.1446,                 1.5283,                0.76797,                0.63617,                0.68958,                0.41396,                 1.3183,                 0.9988,                 1.4975,                0.00901,                0.00901,                0.00901
                     33,                 1.3694,                 1.1298,                 1.5315,                0.78045,                0.63499,                0.68679,                0.40426,                 1.3376,                0.98939,                 1.5091,               0.008977,               0.008977,               0.008977
                     34,                 1.3485,                 1.1295,                   1.52,                0.80092,                 0.6407,                0.69348,                0.41699,                 1.3129,                0.96394,                 1.4909,               0.008944,               0.008944,               0.008944
                     35,                 1.3353,                 1.0969,                 1.4939,                0.80461,                0.63508,                 0.7013,                0.42151,                 1.3072,                0.96307,                 1.4903,               0.008911,               0.008911,               0.008911
                     36,                 1.3387,                 1.0904,                  1.503,                0.83345,                0.64402,                 0.7125,                0.42393,                 1.2978,                0.94813,                 1.4817,               0.008878,               0.008878,               0.008878
                     37,                 1.3272,                 1.0721,                  1.486,                0.81311,                0.63522,                 0.7002,                0.42392,                 1.2818,                0.94385,                 1.4677,               0.008845,               0.008845,               0.008845
                     38,                 1.3191,                 1.0747,                 1.4874,                0.81137,                0.66629,                0.72534,                0.44061,                 1.2726,                0.92576,                 1.4559,               0.008812,               0.008812,               0.008812
                     39,                 1.3132,                 1.0701,                 1.4751,                0.81095,                0.64427,                0.71183,                0.43488,                 1.2703,                0.93124,                 1.4508,               0.008779,               0.008779,               0.008779
                     40,                 1.2952,                 1.0445,                 1.4663,                0.83248,                0.63965,                0.72547,                 0.4527,                 1.2504,                0.91938,                 1.4268,               0.008746,               0.008746,               0.008746
                     41,                 1.3019,                 1.0495,                 1.4727,                0.82989,                0.67224,                 0.7425,                0.45859,                  1.249,                0.88259,                 1.4302,               0.008713,               0.008713,               0.008713
                     42,                 1.2974,                 1.0313,                 1.4623,                0.82875,                0.67767,                0.74385,                 0.4553,                   1.25,                0.88031,                 1.4208,                0.00868,                0.00868,                0.00868
                     43,                 1.2881,                 1.0356,                 1.4512,                0.84622,                0.66651,                0.74932,                0.44989,                  1.257,                 0.8886,                 1.4455,               0.008647,               0.008647,               0.008647
                     44,                 1.2819,                 1.0176,                 1.4509,                 0.8475,                0.69514,                0.75323,                0.46274,                 1.2346,                0.86482,                 1.4072,               0.008614,               0.008614,               0.008614
                     45,                 1.2728,                 1.0059,                 1.4371,                0.80014,                0.68047,                0.73419,                0.45244,                 1.2369,                0.87406,                 1.4027,               0.008581,               0.008581,               0.008581
                     46,                 1.2683,                 1.0072,                 1.4454,                0.82595,                0.69188,                0.75149,                0.45711,                 1.2145,                0.85514,                 1.4025,               0.008548,               0.008548,               0.008548
                     47,                 1.2546,                0.99422,                 1.4275,                0.85688,                0.68818,                0.76382,                0.47814,                 1.1931,                0.81958,                 1.3724,               0.008515,               0.008515,               0.008515
                     48,                 1.2573,                0.98741,                 1.4329,                0.82854,                0.70893,                0.76942,                0.47039,                 1.2067,                0.82738,                 1.3853,               0.008482,               0.008482,               0.008482
                     49,                 1.2508,                0.97151,                 1.4254,                  0.836,                0.70207,                0.76509,                0.47765,                 1.1866,                0.82651,                 1.3775,               0.008449,               0.008449,               0.008449
                     50,                 1.2418,                0.97067,                 1.4166,                 0.8415,                0.72017,                0.78129,                0.48642,                 1.1913,                0.80802,                 1.3812,               0.008416,               0.008416,               0.008416
                     51,                 1.2448,                0.97232,                  1.428,                0.86772,                0.70928,                0.77528,                0.48857,                 1.1779,                0.79976,                 1.3647,               0.008383,               0.008383,               0.008383
                     52,                 1.2465,                0.96199,                 1.4217,                0.88042,                0.72019,                0.79214,                0.50307,                 1.1543,                0.77865,                  1.351,                0.00835,                0.00835,                0.00835
                     53,                 1.2365,                0.94608,                 1.4032,                0.87195,                0.71173,                 0.7854,                0.49667,                 1.1624,                0.77944,                 1.3471,               0.008317,               0.008317,               0.008317
                     54,                 1.2303,                0.94375,                 1.4056,                0.86718,                0.72959,                0.79604,                0.50188,                 1.1573,                0.77116,                 1.3509,               0.008284,               0.008284,               0.008284
                     55,                 1.2259,                0.94275,                 1.4043,                0.87564,                0.72865,                0.80442,                0.51382,                 1.1437,                0.76933,                 1.3379,               0.008251,               0.008251,               0.008251
                     56,                 1.2171,                0.92808,                 1.3982,                0.86862,                0.72194,                0.79238,                0.50203,                 1.1537,                0.76381,                 1.3407,               0.008218,               0.008218,               0.008218
                     57,                  1.213,                0.92278,                 1.3927,                0.85297,                0.74261,                0.79525,                0.50729,                 1.1621,                0.76417,                 1.3513,               0.008185,               0.008185,               0.008185
                     58,                 1.1989,                0.91139,                 1.3785,                0.86844,                0.74529,                0.80837,                0.51104,                 1.1417,                0.74584,                 1.3293,               0.008152,               0.008152,               0.008152
                     59,                 1.2023,                0.90358,                  1.377,                0.87557,                0.74859,                0.81353,                0.51873,                 1.1303,                0.73675,                 1.3258,               0.008119,               0.008119,               0.008119
                     60,                 1.1928,                0.91677,                   1.38,                0.85567,                0.73163,                0.80042,                0.50945,                 1.1468,                0.75431,                 1.3257,               0.008086,               0.008086,               0.008086
                     61,                 1.1856,                0.89525,                 1.3696,                0.87159,                0.75324,                0.81411,                0.52533,                 1.1154,                0.72959,                 1.3116,               0.008053,               0.008053,               0.008053
                     62,                 1.1833,                0.89182,                 1.3683,                0.89004,                0.72822,                0.80608,                0.52927,                  1.096,                0.72061,                 1.2956,                0.00802,                0.00802,                0.00802
                     63,                 1.1826,                0.87898,                 1.3562,                 0.8577,                0.74594,                0.81011,                 0.5252,                 1.1144,                0.72819,                 1.3213,               0.007987,               0.007987,               0.007987
                     64,                 1.1699,                 0.8767,                  1.352,                0.89106,                0.74965,                0.81625,                0.53107,                 1.1127,                0.71374,                 1.3044,               0.007954,               0.007954,               0.007954
                     65,                 1.1778,                0.87392,                 1.3593,                0.90461,                0.74907,                0.81725,                0.52899,                 1.1165,                0.72113,                  1.309,               0.007921,               0.007921,               0.007921
                     66,                 1.1649,                0.86672,                 1.3514,                0.88668,                0.75886,                 0.8258,                0.53376,                 1.1124,                 0.7131,                  1.305,               0.007888,               0.007888,               0.007888
                     67,                 1.1656,                0.87616,                 1.3502,                0.88281,                0.76783,                0.82989,                0.54572,                 1.0779,                 0.6913,                 1.2802,               0.007855,               0.007855,               0.007855
                     68,                 1.1648,                0.87283,                 1.3508,                0.88089,                0.76201,                0.83067,                0.54758,                 1.0672,                0.68834,                 1.2678,               0.007822,               0.007822,               0.007822
                     69,                  1.159,                0.87431,                 1.3469,                0.90768,                 0.7542,                0.83257,                0.54432,                  1.074,                0.68669,                 1.2741,               0.007789,               0.007789,               0.007789
                     70,                 1.1487,                0.85121,                 1.3356,                0.88153,                0.76977,                0.82345,                0.53844,                  1.068,                0.69384,                 1.2761,               0.007756,               0.007756,               0.007756
                     71,                 1.1489,                0.86714,                 1.3426,                0.90195,                0.75993,                0.82919,                0.54479,                 1.0708,                0.68456,                 1.2749,               0.007723,               0.007723,               0.007723
                     72,                 1.1463,                0.84835,                 1.3337,                0.92264,                0.75611,                0.83117,                0.54966,                 1.0615,                0.67496,                 1.2651,                0.00769,                0.00769,                0.00769
                     73,                 1.1374,                0.83608,                 1.3274,                0.89607,                 0.7719,                0.83061,                0.54936,                 1.0622,                0.66965,                 1.2741,               0.007657,               0.007657,               0.007657
                     74,                  1.133,                0.83003,                 1.3252,                 0.9031,                0.77802,                0.83387,                0.55123,                 1.0493,                0.66701,                 1.2576,               0.007624,               0.007624,               0.007624
                     75,                 1.1371,                0.83382,                 1.3317,                0.90652,                0.77922,                0.84047,                0.55226,                 1.0566,                0.67165,                 1.2637,               0.007591,               0.007591,               0.007591
                     76,                 1.1348,                0.83903,                 1.3304,                0.92427,                0.76613,                0.84391,                0.56442,                 1.0359,                0.65389,                 1.2446,               0.007558,               0.007558,               0.007558
                     77,                 1.1307,                 0.8311,                 1.3298,                0.90728,                0.78708,                0.84406,                0.56568,                 1.0405,                0.64936,                 1.2477,               0.007525,               0.007525,               0.007525
                     78,                 1.1236,                0.82374,                 1.3176,                0.92048,                 0.7848,                0.85002,                0.56928,                 1.0272,                0.64666,                 1.2411,               0.007492,               0.007492,               0.007492
                     79,                 1.1214,                0.82673,                 1.3136,                0.91875,                0.78848,                0.85655,                 0.5715,                 1.0209,                 0.6498,                 1.2339,               0.007459,               0.007459,               0.007459
                     80,                  1.124,                0.81715,                 1.3119,                0.92372,                0.78554,                0.85623,                 0.5677,                 1.0385,                0.64311,                 1.2505,               0.007426,               0.007426,               0.007426
                     81,                 1.1099,                 0.8039,                 1.3019,                0.91435,                 0.7907,                0.85819,                0.57721,                0.99832,                0.62596,                  1.218,               0.007393,               0.007393,               0.007393
                     82,                 1.1108,                0.80381,                 1.3043,                0.91854,                0.78671,                0.86001,                0.57655,                 1.0169,                0.62783,                 1.2304,                0.00736,                0.00736,                0.00736
                     83,                 1.1111,                0.80667,                 1.3123,                0.92323,                0.78582,                 0.8561,                0.57162,                 1.0187,                0.63781,                 1.2293,               0.007327,               0.007327,               0.007327
                     84,                 1.1132,                 0.8069,                 1.3128,                0.92395,                0.79175,                0.85678,                0.57811,                 1.0169,                0.63415,                 1.2335,               0.007294,               0.007294,               0.007294
