                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4726,                 3.9825,                 4.1177,                0.00079,                0.17134,                0.00461,                0.00143,                 3.5043,                 3.8042,                 3.9309,               0.070291,               0.003301,               0.003301
                      2,                 3.1945,                 3.4555,                 3.6413,                0.55763,                0.04243,                0.02834,                0.00779,                 2.9756,                 4.2383,                 3.4526,               0.040269,              0.0066124,              0.0066124
                      3,                 2.8386,                 3.1685,                 3.2301,                0.28427,                0.02837,                0.01419,                0.00368,                 2.9385,                 6.5971,                 3.3834,               0.010225,              0.0099019,              0.0099019
                      4,                 2.5471,                 2.8992,                 2.8448,                0.59844,                0.07189,                0.05982,                0.02223,                 2.6681,                 4.1256,                 2.9132,               0.009901,               0.009901,               0.009901
                      5,                 2.3237,                 2.6348,                 2.5341,                0.40693,                0.12318,                0.10014,                0.04421,                 2.4035,                 3.0353,                 2.6061,               0.009901,               0.009901,               0.009901
                      6,                 2.1836,                 2.4074,                 2.3258,                0.57874,                0.16974,                0.17003,                0.08102,                 2.1946,                 2.4905,                  2.349,               0.009868,               0.009868,               0.009868
                      7,                  2.101,                 2.2949,                 2.2246,                 0.4005,                0.21131,                0.20697,                0.09871,                 2.1488,                 2.3441,                 2.2842,               0.009835,               0.009835,               0.009835
                      8,                 2.0085,                 2.1476,                 2.1184,                0.39165,                 0.2464,                0.23068,                0.10151,                 2.1649,                 2.2734,                 2.2751,               0.009802,               0.009802,               0.009802
                      9,                 1.9752,                 2.0746,                 2.0544,                0.41609,                0.26336,                0.25518,                0.11472,                 2.1113,                 2.3086,                 2.2357,               0.009769,               0.009769,               0.009769
                     10,                 1.8951,                 1.9609,                 1.9911,                0.47771,                0.32019,                  0.316,                0.15136,                 1.9758,                  1.954,                 2.0779,               0.009736,               0.009736,               0.009736
                     11,                 1.8434,                 1.8748,                  1.931,                0.45245,                0.34999,                0.34056,                0.17206,                 1.9066,                 1.8139,                 2.0099,               0.009703,               0.009703,               0.009703
