                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4752,                 4.0187,                 4.1387,                0.00077,                0.17102,                0.00331,                0.00094,                 3.5148,                 3.7894,                 3.9453,               0.070291,               0.003301,               0.003301
                      2,                 3.2395,                 3.4658,                 3.6677,                0.80164,                0.04341,                0.02347,                0.00691,                 3.0208,                 7.3147,                 3.6212,               0.040269,              0.0066124,              0.0066124
                      3,                  2.895,                 3.1637,                 3.2656,                0.78291,                0.04471,                0.02108,                0.00611,                 2.8903,                 3.4597,                 3.3819,               0.010225,              0.0099019,              0.0099019
                      4,                 2.5927,                 2.9089,                 2.9078,                0.56488,                0.05385,                0.04198,                0.01267,                 2.7513,                 3.5487,                 2.9617,               0.009901,               0.009901,               0.009901
                      5,                 2.3418,                 2.6563,                 2.5953,                 0.6825,                0.12327,                0.12273,                0.05216,                 2.5387,                 3.0566,                 2.7284,               0.009901,               0.009901,               0.009901
                      6,                 2.1837,                 2.4147,                 2.3763,                0.64671,                0.11515,                 0.1518,                  0.074,                 2.2697,                 2.5734,                 2.4571,               0.009868,               0.009868,               0.009868
                      7,                 2.0966,                 2.2795,                 2.2626,                0.40479,                0.22979,                0.21258,                0.10134,                 2.1449,                  2.496,                  2.303,               0.009835,               0.009835,               0.009835
                      8,                 1.9825,                 2.1224,                  2.146,                0.35236,                0.26084,                0.24063,                0.11597,                 2.0932,                  2.159,                 2.2651,               0.009802,               0.009802,               0.009802
                      9,                 1.9491,                 2.0437,                 2.0714,                0.44287,                0.29053,                0.28373,                0.14066,                 1.9873,                 2.0673,                 2.1419,               0.009769,               0.009769,               0.009769
                     10,                 1.8625,                  1.945,                 2.0097,                0.54572,                0.30095,                0.33293,                0.16118,                  1.951,                 1.8756,                 2.1131,               0.009736,               0.009736,               0.009736
                     11,                 1.8094,                 1.8485,                 1.9525,                0.44708,                0.35634,                0.34434,                0.17567,                 1.8981,                 1.7854,                 2.0341,               0.009703,               0.009703,               0.009703
                     12,                  1.789,                 1.7966,                 1.9207,                0.51197,                0.39056,                 0.3533,                 0.1841,                 1.7998,                  1.752,                 1.9602,                0.00967,                0.00967,                0.00967
                     13,                 1.7547,                 1.7412,                 1.8839,                0.57723,                0.35818,                0.38771,                0.19661,                 1.8484,                 1.7326,                 1.9659,               0.009637,               0.009637,               0.009637
                     14,                    1.7,                 1.6724,                 1.8337,                0.50248,                0.39064,                0.40145,                0.20896,                 1.7893,                 1.6491,                 1.9198,               0.009604,               0.009604,               0.009604
                     15,                 1.6788,                 1.6166,                 1.8196,                0.53602,                 0.4265,                0.43384,                0.23595,                 1.7213,                 1.6164,                   1.86,               0.009571,               0.009571,               0.009571
                     16,                 1.6614,                 1.5798,                 1.7833,                0.54079,                 0.4412,                0.45427,                 0.2378,                 1.6879,                 1.4985,                 1.8175,               0.009538,               0.009538,               0.009538
                     17,                 1.6162,                 1.5182,                 1.7481,                0.60418,                0.44658,                0.47442,                0.26516,                 1.6189,                 1.4177,                 1.7939,               0.009505,               0.009505,               0.009505
                     18,                 1.5902,                 1.4838,                   1.72,                0.66243,                 0.4763,                0.50679,                0.28183,                 1.5917,                 1.3611,                 1.7553,               0.009472,               0.009472,               0.009472
                     19,                 1.5797,                 1.4598,                 1.7073,                 0.5949,                0.49525,                0.50376,                0.27395,                   1.61,                 1.3638,                 1.7643,               0.009439,               0.009439,               0.009439
                     20,                 1.5752,                 1.4517,                 1.7042,                0.61025,                0.50275,                0.50655,                0.27863,                  1.578,                 1.3373,                 1.7248,               0.009406,               0.009406,               0.009406
                     21,                 1.5593,                 1.4242,                  1.689,                0.66815,                0.50022,                 0.5315,                0.29305,                 1.5881,                 1.3828,                 1.7442,               0.009373,               0.009373,               0.009373
                     22,                 1.5386,                 1.3946,                 1.6782,                0.66934,                0.51134,                0.55368,                0.30958,                 1.5412,                 1.3045,                 1.6724,                0.00934,                0.00934,                0.00934
                     23,                 1.5249,                 1.3809,                 1.6618,                 0.6783,                0.52321,                0.56613,                0.31914,                 1.5201,                 1.2503,                 1.6846,               0.009307,               0.009307,               0.009307
                     24,                 1.5189,                 1.3631,                 1.6498,                0.69248,                 0.5238,                0.57647,                0.32316,                 1.4969,                 1.2433,                  1.645,               0.009274,               0.009274,               0.009274
                     25,                 1.4956,                 1.3183,                 1.6211,                0.71844,                0.53105,                0.59344,                0.34089,                  1.471,                 1.1855,                 1.6371,               0.009241,               0.009241,               0.009241
                     26,                 1.4764,                 1.2995,                 1.6065,                0.66739,                0.56866,                0.58921,                0.33651,                 1.4739,                 1.1953,                 1.6413,               0.009208,               0.009208,               0.009208
                     27,                 1.4705,                 1.2907,                 1.6114,                 0.7119,                0.55024,                 0.5977,                  0.337,                 1.4706,                 1.1689,                 1.6314,               0.009175,               0.009175,               0.009175
                     28,                 1.4641,                 1.2628,                 1.5989,                0.73828,                 0.5635,                0.61888,                0.35387,                 1.4436,                 1.1155,                 1.5952,               0.009142,               0.009142,               0.009142
                     29,                 1.4515,                 1.2456,                 1.5804,                0.70587,                0.56648,                0.61127,                0.34977,                 1.4307,                 1.1394,                 1.5997,               0.009109,               0.009109,               0.009109
                     30,                 1.4331,                 1.2271,                 1.5664,                0.75483,                0.57895,                0.63746,                0.36948,                 1.4245,                 1.1149,                 1.5813,               0.009076,               0.009076,               0.009076
                     31,                 1.4275,                 1.2294,                   1.57,                 0.7347,                0.57824,                0.62673,                0.36303,                 1.4226,                 1.1231,                 1.5787,               0.009043,               0.009043,               0.009043
                     32,                 1.4166,                 1.2121,                 1.5495,                0.78835,                0.59357,                 0.6574,                0.38079,                 1.3734,                 1.0619,                 1.5303,                0.00901,                0.00901,                0.00901
                     33,                 1.4178,                 1.1965,                 1.5546,                0.75929,                0.61047,                0.65609,                0.38003,                 1.3783,                 1.0468,                 1.5437,               0.008977,               0.008977,               0.008977
                     34,                 1.4006,                 1.1866,                 1.5462,                0.77793,                0.61483,                0.66637,                0.39438,                 1.3746,                 1.0132,                 1.5383,               0.008944,               0.008944,               0.008944
                     35,                 1.3913,                 1.1595,                 1.5214,                0.73617,                0.62963,                0.67053,                0.40165,                 1.3583,                 1.0051,                 1.5261,               0.008911,               0.008911,               0.008911
                     36,                 1.3864,                 1.1528,                 1.5277,                0.75381,                0.62048,                0.66876,                0.38912,                 1.3692,                 1.0153,                 1.5361,               0.008878,               0.008878,               0.008878
                     37,                 1.3695,                 1.1245,                  1.507,                0.76366,                 0.6193,                0.67004,                0.39281,                 1.3435,                0.99668,                  1.509,               0.008845,               0.008845,               0.008845
                     38,                 1.3731,                 1.1354,                 1.5101,                0.77329,                0.63154,                 0.6882,                0.41554,                 1.3167,                0.99519,                 1.4837,               0.008812,               0.008812,               0.008812
