                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4727,                 3.9881,                 2.2375,                0.00077,                0.17037,                0.00445,                0.00115,                 3.5135,                 3.7854,                 2.1488,               0.070291,               0.003301,               0.003301
                      2,                 3.1727,                 3.4966,                 2.0289,                0.79472,                0.05124,                0.02425,                0.00723,                 3.0164,                 7.8906,                 1.9575,               0.040269,              0.0066124,              0.0066124
                      3,                 2.8359,                 3.1411,                 1.7778,                0.76786,                0.01501,                0.00584,                0.00171,                   2.93,                 5.5471,                   1.84,               0.010225,              0.0099019,              0.0099019
                      4,                 2.4746,                  2.805,                 1.5152,                0.66636,                0.05772,                0.04168,                0.01451,                 2.6951,                 7.1681,                 1.5891,               0.009901,               0.009901,               0.009901
                      5,                 2.2628,                 2.5247,                 1.3331,                0.38046,                0.14694,                0.09579,                0.03978,                 2.4657,                 3.6389,                  1.421,               0.009901,               0.009901,               0.009901
                      6,                 2.1283,                 2.3204,                 1.2196,                0.40115,                0.17954,                0.19923,                0.09291,                 2.2172,                   2.45,                 1.2652,               0.009868,               0.009868,               0.009868
                      7,                 2.0536,                 2.1761,                  1.168,                0.41334,                0.26945,                0.25842,                0.11977,                 2.1136,                 2.2701,                 1.2028,               0.009835,               0.009835,               0.009835
                      8,                 1.9608,                 2.0294,                 1.1108,                0.45505,                0.28908,                0.27836,                0.13664,                 1.9974,                 2.0741,                 1.1473,               0.009802,               0.009802,               0.009802
                      9,                 1.9015,                 1.9453,                 1.0633,                0.40337,                0.32782,                 0.3065,                0.15569,                 1.9711,                 2.0171,                 1.1227,               0.009769,               0.009769,               0.009769
                     10,                 1.8329,                   1.84,                 1.0346,                0.56399,                0.34082,                0.36122,                0.18106,                 1.9133,                 1.8278,                 1.0678,               0.009736,               0.009736,               0.009736
                     11,                 1.7894,                 1.7699,                 1.0076,                0.46903,                0.37999,                0.37165,                0.18625,                 1.8595,                 1.7032,                 1.0571,               0.009703,               0.009703,               0.009703
                     12,                 1.7538,                 1.6998,                 0.9885,                0.48698,                0.42129,                0.39732,                0.20601,                 1.7974,                 1.5962,                 1.0167,                0.00967,                0.00967,                0.00967
                     13,                 1.7243,                 1.6559,                0.97233,                0.57678,                0.37846,                 0.3998,                0.20836,                 1.8047,                 1.6285,                 1.0265,               0.009637,               0.009637,               0.009637
                     14,                 1.6825,                 1.5965,                 0.9521,                0.55514,                0.43985,                0.45434,                0.23726,                 1.7296,                 1.5011,                0.98252,               0.009604,               0.009604,               0.009604
                     15,                 1.6524,                 1.5528,                0.93287,                 0.5523,                0.44956,                0.46181,                0.23958,                 1.7217,                 1.5824,                0.98545,               0.009571,               0.009571,               0.009571
                     16,                 1.6405,                 1.5139,                0.92327,                0.58166,                0.45551,                0.47597,                0.25894,                 1.6855,                 1.5485,                0.96063,               0.009538,               0.009538,               0.009538
                     17,                 1.5971,                 1.4628,                0.90564,                0.63496,                0.48336,                0.49704,                0.27119,                 1.6026,                  1.394,                0.93887,               0.009505,               0.009505,               0.009505
                     18,                 1.5811,                 1.4285,                0.89405,                0.65482,                0.49308,                0.52548,                0.28227,                 1.6133,                 1.3616,                0.92607,               0.009472,               0.009472,               0.009472
