                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4982,                 4.4251,                 4.1198,                0.00048,                0.08779,                0.00039,                0.00012,                 3.7774,                  4.264,                 3.9182,               0.070291,               0.003301,               0.003301
                      2,                 3.2427,                 3.7795,                 3.6124,                0.79263,                0.03264,                0.01982,                0.00593,                 3.2273,                 4.1084,                 3.5147,               0.040269,              0.0066124,              0.0066124
                      3,                 2.8949,                 3.5057,                 3.2477,                0.29792,                0.04493,                0.02418,                0.00906,                 2.9592,                 5.1674,                 3.2672,               0.010225,              0.0099019,              0.0099019
                      4,                 2.6471,                 3.2931,                 2.9592,                0.32625,                0.09955,                0.03972,                0.01313,                  2.769,                 4.1906,                  2.986,               0.009901,               0.009901,               0.009901
                      5,                 2.4442,                 3.0399,                 2.7413,                0.44925,                 0.0991,                0.08988,                 0.0363,                  2.519,                 3.2855,                 2.7374,               0.009901,               0.009901,               0.009901
                      6,                 2.2798,                 2.7436,                 2.5426,                0.26223,                0.21811,                0.18237,                0.07429,                 2.3637,                 2.7573,                 2.6244,               0.009868,               0.009868,               0.009868
                      7,                 2.1782,                 2.5986,                 2.4599,                0.33886,                0.24311,                0.20698,                0.08672,                 2.3124,                 2.7763,                 2.5533,               0.009835,               0.009835,               0.009835
                      8,                 2.0941,                 2.4433,                 2.3658,                0.31928,                0.24996,                0.21677,                0.09745,                 2.2109,                 2.7114,                  2.437,               0.009802,               0.009802,               0.009802
                      9,                 2.0419,                 2.3669,                 2.2927,                0.38884,                0.28917,                0.25819,                0.11271,                  2.189,                 2.5439,                 2.3943,               0.009769,               0.009769,               0.009769
                     10,                 1.9893,                 2.2733,                 2.2487,                0.50225,                0.27399,                0.27783,                0.12647,                 2.1276,                 2.3351,                 2.3869,               0.009736,               0.009736,               0.009736
                     11,                 1.9388,                  2.166,                 2.1928,                0.39956,                0.36056,                0.32017,                0.15022,                  2.054,                 2.1694,                 2.2789,               0.009703,               0.009703,               0.009703
                     12,                 1.9141,                 2.1233,                 2.1744,                0.42803,                0.36201,                0.32719,                0.15792,                 2.0111,                 2.1396,                 2.2327,                0.00967,                0.00967,                0.00967
                     13,                 1.8802,                  2.058,                 2.1322,                0.48826,                0.35867,                0.35558,                0.17426,                 1.9719,                 2.0588,                 2.1768,               0.009637,               0.009637,               0.009637
                     14,                 1.8377,                  2.005,                 2.0865,                0.41901,                0.36953,                0.34766,                0.15951,                 2.0173,                 2.0442,                 2.2144,               0.009604,               0.009604,               0.009604
                     15,                 1.8189,                 1.9309,                 2.0704,                0.47045,                0.39854,                0.39283,                0.19573,                 1.9103,                 1.9388,                 2.1278,               0.009571,               0.009571,               0.009571
                     16,                 1.7946,                  1.904,                 2.0383,                0.50367,                0.40522,                0.40041,                0.19471,                 1.9161,                 1.9528,                  2.092,               0.009538,               0.009538,               0.009538
                     17,                 1.7611,                 1.8398,                 2.0067,                0.48314,                0.44328,                0.42974,                0.21416,                 1.8817,                 1.8481,                 2.0913,               0.009505,               0.009505,               0.009505
                     18,                 1.7434,                 1.7999,                 1.9702,                0.53658,                0.43832,                0.42957,                0.21675,                 1.8591,                 1.8884,                 2.0692,               0.009472,               0.009472,               0.009472
                     19,                 1.7229,                 1.7745,                 1.9622,                0.55355,                0.45998,                0.46885,                 0.2338,                 1.8435,                 1.7286,                 2.0486,               0.009439,               0.009439,               0.009439
                     20,                 1.7159,                 1.7563,                 1.9599,                0.50207,                0.47022,                0.45711,                0.23512,                 1.8432,                 1.7631,                 2.0407,               0.009406,               0.009406,               0.009406
                     21,                 1.7077,                 1.7343,                 1.9389,                0.59248,                0.46056,                0.49043,                0.25302,                 1.8059,                 1.6894,                 2.0036,               0.009373,               0.009373,               0.009373
                     22,                 1.6851,                 1.7034,                 1.9331,                0.58886,                0.50183,                0.50964,                0.25843,                 1.7897,                 1.6293,                 1.9967,                0.00934,                0.00934,                0.00934
                     23,                 1.6719,                 1.6762,                 1.9159,                0.56497,                0.50571,                 0.5156,                0.26214,                 1.7859,                 1.6355,                 1.9757,               0.009307,               0.009307,               0.009307
                     24,                 1.6663,                 1.6582,                 1.8936,                0.61258,                0.51606,                0.53607,                0.28563,                 1.7266,                 1.5417,                 1.9231,               0.009274,               0.009274,               0.009274
                     25,                 1.6417,                 1.6173,                 1.8763,                0.62122,                0.51843,                0.54487,                0.29235,                 1.7047,                 1.5415,                 1.9146,               0.009241,               0.009241,               0.009241
                     26,                 1.6294,                 1.5857,                 1.8572,                0.60491,                0.51859,                0.53215,                0.27609,                 1.7528,                 1.5978,                  1.939,               0.009208,               0.009208,               0.009208
                     27,                 1.6211,                 1.5813,                 1.8699,                0.65601,                0.51777,                0.55498,                0.29006,                  1.732,                 1.5082,                 1.9403,               0.009175,               0.009175,               0.009175
                     28,                 1.6124,                 1.5594,                 1.8543,                0.65837,                0.52552,                0.57834,                 0.3018,                  1.711,                  1.499,                 1.8987,               0.009142,               0.009142,               0.009142
                     29,                 1.5974,                 1.5324,                 1.8309,                0.65191,                0.54478,                0.58024,                0.30891,                 1.6969,                 1.5015,                 1.8849,               0.009109,               0.009109,               0.009109
                     30,                 1.5923,                 1.5064,                  1.817,                0.65143,                0.55314,                 0.5861,                0.31312,                  1.713,                 1.4779,                   1.91,               0.009076,               0.009076,               0.009076
                     31,                 1.5783,                 1.5022,                 1.8271,                0.64277,                0.55515,                0.59026,                0.31878,                 1.6604,                 1.4183,                 1.8649,               0.009043,               0.009043,               0.009043
                     32,                 1.5644,                 1.4868,                 1.8007,                 0.6948,                0.55598,                0.60287,                0.31931,                 1.6772,                  1.397,                 1.8602,                0.00901,                0.00901,                0.00901
                     33,                  1.573,                 1.4746,                   1.81,                0.64832,                 0.5691,                0.59375,                0.32138,                 1.6436,                 1.4034,                 1.8366,               0.008977,               0.008977,               0.008977
