                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4876,                 4.3108,                  4.074,                0.00067,                0.09171,                0.00086,                0.00021,                 3.7662,                 4.2558,                 3.8895,               0.070291,               0.003301,               0.003301
                      2,                 3.2363,                 3.7151,                 3.5478,                0.80092,                0.05209,                0.03618,                0.01137,                 2.9775,                 4.1571,                 3.3262,               0.040269,              0.0066124,              0.0066124
                      3,                  2.901,                 3.5065,                 3.2189,                0.30228,                0.05927,                0.02733,                0.00904,                 3.0577,                 9.5619,                 3.3639,               0.010225,              0.0099019,              0.0099019
                      4,                 2.6373,                 3.2693,                 2.9426,                0.39256,                0.05536,                0.02383,                0.00799,                  2.946,                 8.2364,                 3.1008,               0.009901,               0.009901,               0.009901
                      5,                 2.4289,                 3.0014,                 2.7104,                  0.174,                0.14844,                0.10316,                0.03861,                 2.5978,                 3.3424,                 2.8025,               0.009901,               0.009901,               0.009901
                      6,                 2.2633,                 2.7256,                 2.5088,                0.37704,                0.20959,                0.16825,                0.06908,                  2.334,                  2.802,                 2.6041,               0.009868,               0.009868,               0.009868
                      7,                 2.1665,                 2.5839,                 2.4194,                0.36257,                0.18818,                0.20082,                0.08895,                 2.2553,                  2.958,                 2.4669,               0.009835,               0.009835,               0.009835
                      8,                 2.0746,                   2.42,                 2.3246,                0.37023,                0.25964,                0.23711,                0.10393,                 2.2144,                 2.5213,                 2.4293,               0.009802,               0.009802,               0.009802
                      9,                 2.0215,                 2.3309,                 2.2607,                0.40707,                0.32095,                0.27553,                0.12899,                  2.113,                 2.4116,                 2.3264,               0.009769,               0.009769,               0.009769
                     10,                 1.9628,                 2.2384,                 2.2232,                0.40617,                0.30267,                 0.2821,                0.13029,                 2.0858,                 2.3581,                 2.3091,               0.009736,               0.009736,               0.009736
                     11,                 1.9145,                 2.1465,                 2.1651,                0.40318,                0.35621,                0.32719,                0.14831,                 2.0743,                 2.2006,                 2.3193,               0.009703,               0.009703,               0.009703
                     12,                 1.8812,                 2.0857,                 2.1424,                0.44022,                0.37816,                0.33185,                0.15747,                 2.0127,                 2.1151,                 2.2102,                0.00967,                0.00967,                0.00967
                     13,                  1.866,                 2.0467,                 2.1112,                0.49696,                0.33681,                  0.337,                0.16267,                 1.9989,                 2.0693,                 2.2224,               0.009637,               0.009637,               0.009637
                     14,                 1.8198,                  1.959,                 2.0686,                0.47945,                0.37167,                0.37254,                0.17888,                 1.9652,                 2.0334,                 2.1633,               0.009604,               0.009604,               0.009604
                     15,                 1.8056,                 1.8948,                 2.0567,                0.44156,                0.42752,                0.39844,                0.19522,                 1.9149,                 1.9972,                 2.1332,               0.009571,               0.009571,               0.009571
                     16,                 1.7749,                 1.8534,                 2.0181,                0.52454,                0.39666,                0.39508,                0.18711,                 1.9109,                 1.9643,                 2.0977,               0.009538,               0.009538,               0.009538
                     17,                 1.7495,                 1.8032,                 1.9952,                0.54743,                0.44267,                0.44766,                0.22394,                 1.8502,                 1.7835,                  2.051,               0.009505,               0.009505,               0.009505
                     18,                 1.7216,                 1.7632,                 1.9532,                0.60477,                0.41564,                0.45374,                0.22383,                 1.8794,                 1.9505,                  2.092,               0.009472,               0.009472,               0.009472
                     19,                 1.7209,                 1.7464,                 1.9517,                0.54866,                0.45168,                0.45408,                0.22356,                 1.8421,                 1.7616,                 2.0509,               0.009439,               0.009439,               0.009439
                     20,                 1.6982,                 1.7163,                 1.9411,                0.62807,                0.43802,                0.47725,                0.24435,                 1.7917,                 1.7148,                  2.005,               0.009406,               0.009406,               0.009406
                     21,                 1.6841,                 1.6966,                 1.9198,                0.55924,                0.47829,                 0.4882,                0.25297,                  1.801,                  1.655,                 2.0005,               0.009373,               0.009373,               0.009373
                     22,                 1.6677,                 1.6675,                 1.9164,                0.61762,                0.52354,                0.53181,                0.27823,                 1.7574,                 1.6115,                 1.9531,                0.00934,                0.00934,                0.00934
                     23,                 1.6633,                 1.6525,                 1.9098,                0.58971,                0.50933,                0.52819,                 0.2728,                 1.7673,                 1.6129,                  1.967,               0.009307,               0.009307,               0.009307
                     24,                 1.6526,                 1.6262,                 1.8821,                0.60831,                0.52521,                0.54425,                0.28725,                 1.7193,                 1.5868,                 1.9229,               0.009274,               0.009274,               0.009274
                     25,                 1.6255,                 1.5862,                 1.8595,                0.60072,                0.53117,                0.55215,                0.29142,                 1.7199,                 1.6067,                 1.9189,               0.009241,               0.009241,               0.009241
                     26,                 1.6145,                 1.5596,                 1.8475,                0.66084,                0.50093,                 0.5492,                0.29434,                  1.706,                 1.5635,                 1.9111,               0.009208,               0.009208,               0.009208
                     27,                 1.5974,                 1.5541,                 1.8519,                 0.6196,                0.53662,                0.57319,                0.30174,                 1.6882,                  1.471,                 1.8889,               0.009175,               0.009175,               0.009175
                     28,                 1.5888,                 1.5226,                 1.8323,                 0.6363,                0.53965,                0.57662,                 0.3086,                 1.6706,                 1.5528,                 1.8748,               0.009142,               0.009142,               0.009142
                     29,                 1.5831,                 1.4993,                 1.8144,                0.67933,                0.54015,                0.58748,                0.31404,                  1.688,                 1.4872,                 1.8749,               0.009109,               0.009109,               0.009109
                     30,                 1.5715,                 1.4823,                 1.8031,                 0.6191,                0.57025,                0.60069,                0.32557,                 1.6629,                 1.4279,                 1.8603,               0.009076,               0.009076,               0.009076
                     31,                 1.5619,                   1.49,                 1.8101,                0.65396,                0.56171,                0.59968,                0.32201,                 1.6662,                 1.5162,                 1.8548,               0.009043,               0.009043,               0.009043
                     32,                 1.5591,                 1.4611,                 1.7919,                0.64186,                0.59562,                0.63195,                0.34892,                 1.6194,                  1.341,                 1.8208,                0.00901,                0.00901,                0.00901
                     33,                 1.5615,                 1.4522,                 1.7939,                0.63264,                0.59516,                0.61027,                0.33236,                 1.6222,                 1.3781,                 1.8163,               0.008977,               0.008977,               0.008977
                     34,                 1.5456,                 1.4439,                 1.7919,                0.64649,                 0.5757,                0.61832,                0.33465,                 1.6408,                 1.4311,                 1.8408,               0.008944,               0.008944,               0.008944
                     35,                 1.5305,                 1.4074,                 1.7623,                0.72749,                0.56376,                  0.633,                 0.3525,                 1.6073,                 1.3506,                 1.7873,               0.008911,               0.008911,               0.008911
                     36,                 1.5274,                 1.3873,                 1.7607,                0.69928,                0.59648,                0.63624,                0.34966,                 1.6032,                 1.3371,                 1.8018,               0.008878,               0.008878,               0.008878
                     37,                 1.5092,                 1.3636,                 1.7356,                0.68629,                0.60023,                0.65041,                0.35891,                 1.6052,                 1.3249,                 1.8016,               0.008845,               0.008845,               0.008845
                     38,                 1.5068,                 1.3768,                 1.7451,                  0.632,                0.62173,                0.64554,                0.36056,                 1.5946,                 1.3558,                  1.781,               0.008812,               0.008812,               0.008812
                     39,                 1.5044,                 1.3716,                 1.7424,                0.71997,                0.59101,                0.64467,                0.36836,                 1.5554,                 1.3021,                 1.7494,               0.008779,               0.008779,               0.008779
                     40,                 1.4847,                 1.3435,                 1.7267,                0.68389,                0.60561,                  0.658,                0.37135,                 1.5626,                 1.2954,                 1.7511,               0.008746,               0.008746,               0.008746
                     41,                 1.4907,                 1.3412,                  1.735,                0.70745,                0.61028,                0.66645,                  0.384,                 1.5507,                  1.258,                 1.7563,               0.008713,               0.008713,               0.008713
                     42,                 1.4877,                 1.3331,                 1.7256,                0.72492,                0.63287,                0.68375,                0.38857,                 1.5624,                 1.2355,                 1.7549,                0.00868,                0.00868,                0.00868
                     43,                 1.4795,                  1.318,                 1.7038,                0.75721,                0.60214,                0.67966,                0.37366,                 1.5595,                 1.2234,                 1.7528,               0.008647,               0.008647,               0.008647
                     44,                 1.4653,                 1.2971,                 1.7032,                 0.7323,                0.63383,                0.68472,                0.39035,                 1.5209,                 1.2182,                 1.7066,               0.008614,               0.008614,               0.008614
                     45,                 1.4551,                 1.2854,                 1.6851,                0.74452,                0.63669,                0.69035,                0.39473,                 1.5224,                 1.2026,                 1.7073,               0.008581,               0.008581,               0.008581
                     46,                   1.45,                 1.2892,                 1.6948,                0.75726,                0.62689,                 0.6924,                0.38673,                  1.546,                 1.2107,                 1.7315,               0.008548,               0.008548,               0.008548
                     47,                 1.4422,                 1.2689,                  1.676,                0.75261,                0.63684,                 0.6987,                0.40013,                 1.5022,                 1.1981,                 1.6928,               0.008515,               0.008515,               0.008515
                     48,                 1.4452,                 1.2731,                 1.6804,                0.75458,                0.65134,                0.71512,                0.41045,                 1.5151,                 1.1715,                  1.716,               0.008482,               0.008482,               0.008482
                     49,                 1.4364,                   1.25,                 1.6758,                0.74026,                0.66761,                0.71579,                0.40944,                 1.5143,                 1.1483,                 1.7242,               0.008449,               0.008449,               0.008449
                     50,                 1.4228,                 1.2404,                 1.6596,                0.74183,                0.66164,                0.71583,                0.41532,                 1.4887,                 1.1484,                 1.6852,               0.008416,               0.008416,               0.008416
                     51,                 1.4299,                 1.2369,                 1.6683,                0.74975,                  0.659,                 0.7246,                0.41713,                 1.4921,                 1.1332,                 1.6909,               0.008383,               0.008383,               0.008383
                     52,                 1.4386,                 1.2443,                 1.6668,                0.79008,                0.63675,                0.72221,                0.42234,                 1.4693,                 1.1296,                  1.674,                0.00835,                0.00835,                0.00835
                     53,                 1.4136,                 1.2115,                  1.647,                0.76534,                0.63974,                0.70779,                0.41481,                 1.4895,                 1.1317,                  1.685,               0.008317,               0.008317,               0.008317
                     54,                 1.4156,                  1.211,                 1.6509,                0.78323,                0.65835,                0.72716,                 0.4251,                 1.4821,                 1.1168,                 1.6663,               0.008284,               0.008284,               0.008284
                     55,                 1.4066,                 1.2058,                 1.6511,                0.78349,                0.67821,                0.75383,                0.44279,                 1.4558,                 1.0827,                 1.6569,               0.008251,               0.008251,               0.008251
                     56,                 1.4042,                 1.2005,                 1.6421,                0.78104,                0.66278,                0.73429,                0.43263,                 1.4578,                 1.0994,                 1.6631,               0.008218,               0.008218,               0.008218
                     57,                 1.4013,                 1.1945,                 1.6431,                0.77064,                0.68116,                0.75342,                0.43755,                 1.4517,                 1.0761,                 1.6511,               0.008185,               0.008185,               0.008185
                     58,                 1.3954,                 1.1838,                  1.634,                0.76692,                0.69376,                0.75125,                0.44232,                  1.439,                 1.0984,                 1.6299,               0.008152,               0.008152,               0.008152
                     59,                 1.3949,                 1.1631,                   1.62,                0.77847,                0.69532,                0.75635,                0.44058,                 1.4501,                 1.0795,                 1.6488,               0.008119,               0.008119,               0.008119
