                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4796,                 4.2197,                 4.1124,                0.00054,                0.09008,                0.00074,                0.00019,                 3.7641,                 4.3194,                 3.9436,               0.070291,               0.003301,               0.003301
                      2,                 3.2163,                 3.7597,                 3.5881,                0.76902,                0.04993,                0.01414,                 0.0038,                 3.0217,                 5.9706,                 3.3982,               0.040269,              0.0066124,              0.0066124
                      3,                 2.9036,                 3.5209,                 3.2384,                0.04833,                0.07638,                 0.0228,                0.00779,                 3.0151,                   7.32,                 3.2191,               0.010225,              0.0099019,              0.0099019
                      4,                 2.6258,                 3.2273,                 2.9457,                0.11398,                0.08831,                0.05764,                0.02149,                 2.7997,                 6.0775,                 2.9541,               0.009901,               0.009901,               0.009901
                      5,                 2.3986,                 2.9388,                 2.7153,                0.52555,                0.12989,                0.10426,                0.03767,                 2.4322,                 3.3023,                 2.6402,               0.009901,               0.009901,               0.009901
                      6,                 2.2316,                 2.7075,                 2.5114,                0.43245,                0.16079,                0.19072,                0.07927,                 2.3369,                 2.8864,                 2.5717,               0.009868,               0.009868,               0.009868
                      7,                 2.1506,                 2.6115,                 2.4415,                0.35205,                0.23779,                0.21363,                0.08728,                  2.246,                   2.63,                  2.494,               0.009835,               0.009835,               0.009835
                      8,                 2.0831,                 2.4616,                 2.3594,                0.35561,                 0.2696,                0.23332,                0.09804,                 2.2048,                 2.6134,                  2.423,               0.009802,               0.009802,               0.009802
                      9,                 2.0404,                 2.3841,                 2.2886,                0.41198,                0.29386,                0.27584,                0.11919,                 2.1439,                  2.596,                 2.3715,               0.009769,               0.009769,               0.009769
                     10,                 1.9757,                 2.2652,                  2.235,                 0.4282,                0.32094,                 0.2954,                0.13366,                  2.156,                 2.2694,                 2.3819,               0.009736,               0.009736,               0.009736
                     11,                 1.9275,                 2.1742,                 2.1856,                0.32842,                0.26974,                0.23887,                0.11178,                 2.1347,                 2.5946,                 2.3497,               0.009703,               0.009703,               0.009703
                     12,                 1.8945,                 2.1243,                 2.1586,                0.51548,                0.32115,                0.31288,                0.14838,                 2.0285,                 2.1619,                 2.2534,                0.00967,                0.00967,                0.00967
                     13,                  1.873,                 2.0666,                 2.1322,                0.40346,                0.31406,                0.28188,                0.12464,                 2.1098,                 2.3538,                 2.2928,               0.009637,               0.009637,               0.009637
                     14,                 1.8302,                 1.9828,                 2.0744,                 0.4858,                0.38765,                 0.3707,                0.17343,                 1.9782,                 2.0255,                 2.1671,               0.009604,               0.009604,               0.009604
                     15,                  1.811,                 1.9406,                 2.0611,                0.46968,                0.41472,                0.39138,                0.19256,                 1.9124,                 1.9592,                 2.1293,               0.009571,               0.009571,               0.009571
                     16,                  1.787,                 1.8915,                 2.0336,                0.53369,                0.42062,                0.42384,                0.21039,                  1.881,                 1.8997,                 2.0819,               0.009538,               0.009538,               0.009538
                     17,                 1.7437,                 1.8307,                 2.0021,                0.56438,                0.44552,                0.44366,                0.22249,                 1.8778,                 1.8049,                 2.0872,               0.009505,               0.009505,               0.009505
                     18,                 1.7291,                 1.7878,                 1.9676,                0.53079,                0.44177,                0.45441,                0.22542,                 1.8577,                 1.7952,                 2.0853,               0.009472,               0.009472,               0.009472
                     19,                 1.7172,                 1.7626,                 1.9675,                0.63617,                0.41523,                 0.4664,                0.24006,                 1.8186,                 1.8828,                 2.0441,               0.009439,               0.009439,               0.009439
                     20,                 1.7011,                 1.7414,                  1.951,                0.62636,                0.45567,                0.48821,                0.24822,                  1.788,                 1.7461,                 2.0016,               0.009406,               0.009406,               0.009406
                     21,                 1.6961,                 1.7214,                 1.9371,                0.61514,                0.47415,                0.50873,                0.26234,                 1.7774,                 1.6913,                  1.983,               0.009373,               0.009373,               0.009373
                     22,                 1.6698,                 1.7029,                 1.9363,                 0.5879,                0.49998,                 0.5222,                0.27286,                 1.7762,                 1.6428,                 1.9808,                0.00934,                0.00934,                0.00934
                     23,                 1.6676,                 1.6684,                 1.9194,                 0.6059,                0.51024,                0.53724,                 0.2821,                 1.7513,                 1.6435,                   1.96,               0.009307,               0.009307,               0.009307
                     24,                   1.65,                 1.6369,                 1.8875,                0.61723,                0.52351,                0.54111,                0.28426,                 1.7402,                 1.5914,                 1.9544,               0.009274,               0.009274,               0.009274
                     25,                 1.6309,                 1.6004,                 1.8784,                0.62791,                0.54159,                0.56994,                  0.304,                 1.7078,                 1.5405,                 1.9167,               0.009241,               0.009241,               0.009241
                     26,                 1.6103,                 1.5637,                 1.8536,                0.58487,                0.50555,                0.53254,                0.27813,                 1.7519,                 1.6439,                 1.9559,               0.009208,               0.009208,               0.009208
                     27,                 1.6026,                 1.5681,                  1.867,                0.59853,                 0.5393,                0.56079,                0.29373,                  1.744,                  1.573,                 1.9489,               0.009175,               0.009175,               0.009175
                     28,                 1.5997,                 1.5347,                 1.8586,                0.62872,                0.55651,                0.58292,                0.31323,                  1.694,                 1.4661,                 1.8871,               0.009142,               0.009142,               0.009142
                     29,                 1.5812,                 1.5076,                 1.8317,                0.69134,                0.56265,                0.61067,                0.33199,                 1.6704,                 1.5087,                  1.877,               0.009109,               0.009109,               0.009109
                     30,                 1.5718,                 1.4874,                 1.8117,                0.71578,                0.54394,                0.61173,                0.33573,                 1.6463,                 1.4184,                 1.8559,               0.009076,               0.009076,               0.009076
                     31,                 1.5669,                 1.4927,                 1.8258,                0.70712,                0.55057,                0.61026,                0.32734,                 1.6485,                 1.4385,                 1.8724,               0.009043,               0.009043,               0.009043
                     32,                 1.5578,                 1.4678,                 1.8034,                0.66624,                0.59314,                0.62675,                0.34057,                  1.639,                 1.3749,                 1.8395,                0.00901,                0.00901,                0.00901
                     33,                 1.5602,                 1.4441,                 1.8048,                0.69001,                0.58793,                 0.6338,                0.34454,                 1.6444,                 1.3853,                 1.8445,               0.008977,               0.008977,               0.008977
                     34,                 1.5459,                 1.4513,                 1.8049,                0.66213,                0.60503,                0.63453,                0.34502,                 1.6357,                 1.4048,                 1.8461,               0.008944,               0.008944,               0.008944
                     35,                 1.5331,                 1.4054,                 1.7756,                0.69735,                0.59778,                0.64869,                 0.3531,                 1.6162,                  1.328,                   1.82,               0.008911,               0.008911,               0.008911
                     36,                 1.5264,                 1.3924,                 1.7732,                  0.685,                0.61677,                0.64923,                0.35672,                  1.638,                 1.3324,                 1.8401,               0.008878,               0.008878,               0.008878
                     37,                 1.5116,                 1.3663,                 1.7571,                0.71929,                0.61661,                 0.6636,                0.35936,                  1.606,                 1.3343,                 1.8169,               0.008845,               0.008845,               0.008845
                     38,                  1.506,                 1.3737,                 1.7553,                0.70779,                0.61475,                0.66326,                0.36663,                  1.586,                 1.3007,                 1.7911,               0.008812,               0.008812,               0.008812
                     39,                 1.5075,                 1.3731,                 1.7579,                  0.703,                0.62678,                 0.6742,                 0.3689,                 1.5664,                 1.3287,                 1.7886,               0.008779,               0.008779,               0.008779
                     40,                 1.4855,                 1.3429,                 1.7402,                0.74056,                0.63001,                0.68191,                  0.382,                 1.5653,                 1.2599,                 1.7744,               0.008746,               0.008746,               0.008746
                     41,                 1.4891,                 1.3478,                  1.745,                0.70768,                0.65273,                 0.6893,                0.38518,                 1.5538,                 1.2387,                 1.7572,               0.008713,               0.008713,               0.008713
                     42,                 1.4834,                 1.3291,                 1.7344,                0.72897,                 0.6457,                0.69399,                0.38718,                 1.5641,                 1.2263,                 1.7766,                0.00868,                0.00868,                0.00868
                     43,                 1.4779,                 1.3128,                 1.7159,                0.72277,                0.63441,                0.68876,                0.38316,                 1.5593,                 1.2245,                 1.7684,               0.008647,               0.008647,               0.008647
                     44,                 1.4706,                 1.3099,                 1.7179,                0.74192,                0.64796,                0.70472,                0.39898,                 1.5365,                 1.2223,                 1.7385,               0.008614,               0.008614,               0.008614
                     45,                 1.4557,                 1.2818,                 1.6976,                0.78256,                0.63046,                0.70562,                0.39894,                 1.5319,                 1.1922,                 1.7382,               0.008581,               0.008581,               0.008581
                     46,                 1.4447,                  1.282,                 1.7081,                0.76652,                0.63201,                0.71365,                0.40309,                 1.5455,                 1.1947,                 1.7428,               0.008548,               0.008548,               0.008548
                     47,                 1.4438,                 1.2562,                 1.6938,                0.75507,                0.66506,                0.72399,                0.41608,                  1.517,                 1.1684,                 1.7268,               0.008515,               0.008515,               0.008515
                     48,                 1.4447,                 1.2608,                 1.6963,                0.71393,                  0.671,                 0.7215,                0.41167,                 1.5202,                 1.1693,                 1.7237,               0.008482,               0.008482,               0.008482
                     49,                 1.4369,                 1.2495,                  1.688,                0.76448,                0.65955,                0.72694,                0.42336,                 1.4946,                 1.1357,                 1.7111,               0.008449,               0.008449,               0.008449
                     50,                 1.4267,                 1.2446,                 1.6758,                 0.7794,                0.68049,                0.74621,                0.42686,                 1.4992,                  1.146,                 1.7044,               0.008416,               0.008416,               0.008416
                     51,                 1.4228,                 1.2338,                 1.6781,                0.75423,                0.66839,                0.73357,                0.42212,                  1.513,                 1.1354,                 1.7074,               0.008383,               0.008383,               0.008383
                     52,                 1.4313,                 1.2341,                 1.6757,                 0.7659,                0.68146,                0.74511,                0.42923,                 1.4878,                 1.1031,                 1.7024,                0.00835,                0.00835,                0.00835
                     53,                 1.4109,                 1.1976,                 1.6575,                0.76717,                0.67133,                 0.7399,                0.43021,                 1.4769,                 1.1139,                 1.6868,               0.008317,               0.008317,               0.008317
                     54,                 1.4146,                  1.207,                  1.666,                0.75848,                0.69739,                0.74993,                0.44113,                 1.4753,                 1.0941,                 1.6774,               0.008284,               0.008284,               0.008284
                     55,                 1.4063,                 1.1964,                 1.6637,                0.74437,                0.71238,                0.76068,                 0.4436,                 1.4522,                 1.0623,                 1.6673,               0.008251,               0.008251,               0.008251
                     56,                 1.3961,                 1.1902,                  1.651,                0.74962,                0.70064,                0.75307,                0.44333,                  1.439,                 1.0862,                 1.6555,               0.008218,               0.008218,               0.008218
                     57,                 1.3913,                 1.1736,                 1.6446,                0.78594,                0.69455,                0.75886,                 0.4373,                 1.4676,                 1.0698,                  1.673,               0.008185,               0.008185,               0.008185
                     58,                 1.3887,                 1.1679,                 1.6446,                0.78239,                0.70475,                0.77014,                0.45679,                 1.4201,                 1.0353,                 1.6306,               0.008152,               0.008152,               0.008152
                     59,                 1.3834,                 1.1441,                 1.6257,                0.75209,                0.72142,                0.77139,                0.45507,                 1.4291,                 1.0569,                 1.6337,               0.008119,               0.008119,               0.008119
                     60,                 1.3857,                 1.1625,                 1.6419,                0.78768,                0.70784,                0.77201,                0.45891,                 1.4278,                 1.0357,                 1.6327,               0.008086,               0.008086,               0.008086
                     61,                 1.3729,                 1.1426,                 1.6255,                0.80023,                0.71813,                0.78353,                0.46366,                 1.4115,                 1.0309,                 1.6322,               0.008053,               0.008053,               0.008053
                     62,                 1.3724,                 1.1424,                 1.6282,                0.78846,                0.71173,                0.77613,                0.45542,                 1.4422,                 1.0515,                 1.6433,                0.00802,                0.00802,                0.00802
                     63,                 1.3625,                 1.1208,                 1.6092,                0.78429,                0.72861,                0.78234,                0.46408,                 1.4195,                 1.0147,                 1.6309,               0.007987,               0.007987,               0.007987
                     64,                 1.3551,                 1.1267,                 1.6022,                0.77819,                0.72581,                0.78838,                0.47037,                 1.4131,                 1.0035,                 1.6169,               0.007954,               0.007954,               0.007954
                     65,                 1.3616,                 1.1202,                  1.617,                0.79911,                0.72579,                0.79154,                0.47579,                  1.399,                0.99958,                 1.6075,               0.007921,               0.007921,               0.007921
                     66,                 1.3504,                 1.1087,                 1.6062,                0.80934,                0.74865,                0.80428,                0.48194,                 1.3905,                 1.0019,                 1.6083,               0.007888,               0.007888,               0.007888
                     67,                 1.3449,                 1.1122,                 1.6124,                0.80067,                0.73049,                0.80231,                0.49185,                  1.366,                0.96682,                 1.5834,               0.007855,               0.007855,               0.007855
                     68,                 1.3416,                 1.1067,                 1.6028,                0.80032,                0.73237,                0.79363,                0.47666,                 1.3946,                0.99003,                 1.6078,               0.007822,               0.007822,               0.007822
                     69,                 1.3464,                 1.1078,                 1.6062,                0.81839,                0.74422,                0.80834,                0.49269,                 1.3712,                0.96752,                 1.5863,               0.007789,               0.007789,               0.007789
                     70,                 1.3246,                   1.08,                 1.5859,                0.78638,                 0.7591,                0.79953,                0.48133,                 1.3881,                0.96968,                 1.5999,               0.007756,               0.007756,               0.007756
                     71,                  1.335,                 1.1022,                 1.6018,                0.81871,                0.72764,                 0.8003,                0.48891,                 1.3708,                0.96435,                 1.5869,               0.007723,               0.007723,               0.007723
                     72,                 1.3288,                 1.0728,                  1.576,                 0.7948,                0.76137,                0.81486,                0.49976,                 1.3549,                0.94009,                 1.5743,                0.00769,                0.00769,                0.00769
                     73,                 1.3191,                  1.073,                 1.5858,                0.80089,                0.75685,                 0.8128,                0.49624,                 1.3603,                0.94445,                 1.5778,               0.007657,               0.007657,               0.007657
