                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4838,                 4.0832,                 4.1403,                0.00078,                0.17134,                0.00548,                0.00157,                 3.5123,                 3.8047,                 3.9693,               0.070291,               0.003301,               0.003301
                      2,                 3.2736,                 3.5651,                 3.7376,                0.54865,                0.04341,                0.02595,                0.00731,                 3.0575,                 6.9449,                 3.5242,               0.040269,              0.0066124,              0.0066124
                      3,                 2.9207,                  3.185,                 3.2568,                0.53703,                0.04147,                0.01916,                0.00547,                 2.9759,                 5.5436,                 3.6559,               0.010225,              0.0099019,              0.0099019
                      4,                 2.5171,                 2.8724,                  2.819,                0.71395,                0.09252,                0.07623,                 0.0279,                 2.5068,                  3.887,                 2.8457,               0.009901,               0.009901,               0.009901
                      5,                 2.2546,                 2.6009,                 2.5321,                0.64393,                0.10317,                0.10513,                0.04524,                 2.3736,                 3.1326,                 2.6378,               0.009901,               0.009901,               0.009901
                      6,                 2.1195,                 2.3844,                 2.3414,                0.57232,                0.16334,                0.18371,                0.08896,                 2.1423,                 2.3207,                 2.3937,               0.009868,               0.009868,               0.009868
                      7,                  2.025,                 2.2401,                 2.2411,                0.67834,                0.20052,                0.22256,                0.10852,                  2.097,                  2.301,                 2.3105,               0.009835,               0.009835,               0.009835
                      8,                 1.9342,                  2.089,                 2.1377,                0.49197,                0.23819,                0.24911,                0.13055,                 2.0143,                 2.1247,                 2.2102,               0.009802,               0.009802,               0.009802
                      9,                  1.891,                  2.012,                 2.0619,                0.39835,                0.29193,                0.28971,                0.14898,                 1.9391,                 2.2445,                 2.1421,               0.009769,               0.009769,               0.009769
                     10,                 1.8241,                 1.9071,                 1.9908,                0.47946,                0.32516,                0.32631,                0.17371,                 1.8774,                 1.8568,                 2.0466,               0.009736,               0.009736,               0.009736
                     11,                  1.777,                 1.8216,                  1.942,                0.62025,                0.31141,                0.35476,                0.18308,                 1.8947,                 1.7535,                 2.0357,               0.009703,               0.009703,               0.009703
                     12,                 1.7546,                 1.7709,                 1.9085,                0.48719,                0.38136,                0.38103,                0.19987,                 1.7971,                 1.6754,                 1.9702,                0.00967,                0.00967,                0.00967
                     13,                 1.7167,                 1.7138,                 1.8688,                0.68601,                0.36547,                0.39681,                0.21331,                 1.7699,                 1.6614,                 1.9264,               0.009637,               0.009637,               0.009637
                     14,                 1.6693,                 1.6392,                 1.8187,                0.58684,                0.40074,                0.42937,                0.22656,                 1.7793,                 1.5741,                 1.9046,               0.009604,               0.009604,               0.009604
                     15,                 1.6603,                 1.5928,                 1.8111,                0.50263,                0.41907,                0.43343,                0.23758,                 1.6966,                  1.549,                 1.8315,               0.009571,               0.009571,               0.009571
                     16,                 1.6286,                 1.5624,                 1.7751,                0.64012,                0.43185,                0.45844,                0.25521,                 1.6657,                 1.5009,                 1.8195,               0.009538,               0.009538,               0.009538
                     17,                 1.5977,                 1.5092,                 1.7494,                0.56116,                0.47302,                0.47818,                0.26129,                 1.6354,                 1.4473,                  1.808,               0.009505,               0.009505,               0.009505
                     18,                 1.5746,                  1.477,                 1.7125,                0.62687,                 0.4752,                0.49745,                0.27721,                  1.614,                 1.3942,                 1.7662,               0.009472,               0.009472,               0.009472
                     19,                 1.5687,                 1.4626,                  1.713,                0.59181,                0.51242,                0.52293,                 0.2903,                 1.5784,                 1.3624,                 1.7526,               0.009439,               0.009439,               0.009439
                     20,                 1.5566,                 1.4413,                 1.7027,                0.59679,                0.50624,                0.50646,                0.28113,                 1.5773,                 1.3306,                 1.7352,               0.009406,               0.009406,               0.009406
                     21,                 1.5374,                 1.4236,                 1.6861,                0.66931,                 0.4948,                0.53191,                0.29819,                 1.5841,                 1.3234,                 1.7455,               0.009373,               0.009373,               0.009373
                     22,                 1.5228,                 1.3839,                 1.6761,                 0.6678,                0.52864,                0.56097,                0.31509,                 1.5374,                 1.2861,                 1.6904,                0.00934,                0.00934,                0.00934
                     23,                 1.5166,                 1.3769,                 1.6665,                0.71829,                0.52989,                0.57911,                0.32975,                  1.525,                 1.2454,                 1.6914,               0.009307,               0.009307,               0.009307
                     24,                 1.5025,                 1.3572,                 1.6462,                0.68021,                0.53406,                0.57952,                0.32848,                 1.5023,                 1.2545,                 1.6604,               0.009274,               0.009274,               0.009274
                     25,                 1.4833,                  1.313,                 1.6246,                0.67485,                0.54444,                0.56873,                0.32704,                 1.4803,                 1.2978,                 1.6534,               0.009241,               0.009241,               0.009241
                     26,                 1.4704,                 1.2942,                 1.6192,                0.72418,                0.53092,                 0.5802,                0.32318,                 1.5179,                 1.2399,                 1.6869,               0.009208,               0.009208,               0.009208
                     27,                 1.4681,                 1.3023,                 1.6184,                0.70292,                0.55198,                  0.595,                0.33706,                  1.475,                 1.2085,                 1.6263,               0.009175,               0.009175,               0.009175
                     28,                 1.4525,                 1.2646,                 1.5989,                0.66862,                 0.5759,                0.60432,                0.34597,                 1.4503,                  1.197,                 1.5992,               0.009142,               0.009142,               0.009142
                     29,                 1.4481,                 1.2577,                 1.5934,                0.72524,                0.56328,                0.61173,                0.35439,                 1.4419,                 1.1809,                 1.6127,               0.009109,               0.009109,               0.009109
                     30,                 1.4268,                 1.2342,                 1.5702,                0.72637,                0.58097,                0.62698,                0.36429,                 1.4231,                 1.1174,                  1.585,               0.009076,               0.009076,               0.009076
                     31,                 1.4183,                 1.2328,                 1.5796,                0.70349,                0.57504,                0.60786,                0.35025,                 1.4489,                 1.1943,                 1.6158,               0.009043,               0.009043,               0.009043
                     32,                 1.4124,                 1.2118,                  1.563,                0.78488,                0.57978,                 0.6387,                0.37266,                  1.385,                 1.0905,                 1.5579,                0.00901,                0.00901,                0.00901
                     33,                 1.4145,                 1.2022,                  1.564,                0.75599,                0.60794,                0.65366,                0.38655,                 1.4039,                 1.0605,                 1.5636,               0.008977,               0.008977,               0.008977
                     34,                 1.3965,                 1.1984,                  1.557,                0.79101,                0.59551,                0.65128,                0.38183,                 1.3961,                 1.0687,                 1.5639,               0.008944,               0.008944,               0.008944
                     35,                 1.3826,                 1.1644,                 1.5305,                0.75551,                0.59248,                0.64174,                0.37232,                 1.4188,                 1.0999,                 1.5731,               0.008911,               0.008911,               0.008911
                     36,                 1.3842,                 1.1608,                 1.5341,                0.79324,                0.60794,                0.65999,                0.38884,                 1.3608,                 1.0443,                 1.5293,               0.008878,               0.008878,               0.008878
                     37,                 1.3664,                 1.1377,                  1.516,                0.76418,                0.61577,                0.66403,                0.39344,                 1.3538,                 1.0342,                 1.5179,               0.008845,               0.008845,               0.008845
                     38,                 1.3666,                 1.1415,                 1.5298,                0.76973,                0.61923,                0.67376,                0.39931,                 1.3446,                 1.0102,                  1.515,               0.008812,               0.008812,               0.008812
