                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4797,                 4.1103,                 4.1616,                0.00045,                0.10346,                0.00074,                 0.0002,                 3.5143,                 4.1335,                 3.9862,               0.070291,               0.003301,               0.003301
                      2,                 3.2736,                 3.5976,                  3.727,                 0.7883,                0.04308,                0.01959,                0.00558,                 3.0723,                 5.2287,                 4.0712,               0.040269,              0.0066124,              0.0066124
                      3,                  2.875,                 3.1942,                 3.2574,                0.36456,                0.05145,                0.01106,                0.00343,                 2.8111,                 5.9927,                 3.1763,               0.010225,              0.0099019,              0.0099019
                      4,                 2.5154,                 2.8685,                 2.8442,                0.32987,                0.07171,                0.04266,                0.01634,                  2.721,                 3.8091,                  2.989,               0.009901,               0.009901,               0.009901
                      5,                 2.2883,                 2.6209,                 2.5621,                0.67523,                0.13239,                0.13662,                0.06018,                 2.3703,                 3.2232,                 2.5801,               0.009901,               0.009901,               0.009901
                      6,                 2.1577,                 2.4259,                 2.3607,                0.55775,                0.18524,                0.19174,                0.08933,                 2.2578,                  2.425,                  2.403,               0.009868,               0.009868,               0.009868
                      7,                 2.0765,                 2.2925,                 2.2587,                0.38873,                0.19232,                 0.2006,                0.09521,                 2.1249,                 2.3416,                    2.3,               0.009835,               0.009835,               0.009835
                      8,                 1.9925,                  2.158,                 2.1559,                0.37728,                0.26152,                0.23351,                0.11732,                  2.035,                  2.348,                 2.2306,               0.009802,               0.009802,               0.009802
                      9,                 1.9347,                  2.057,                 2.0704,                0.38737,                  0.279,                0.26753,                 0.1313,                 1.9944,                 2.0976,                 2.1315,               0.009769,               0.009769,               0.009769
                     10,                 1.8744,                 1.9448,                 2.0024,                0.47587,                 0.3124,                0.31513,                0.16169,                 1.9256,                 1.8917,                 2.0409,               0.009736,               0.009736,               0.009736
                     11,                 1.8223,                 1.8601,                 1.9507,                0.56712,                0.33554,                0.34628,                0.17977,                 1.8677,                 1.7892,                 1.9997,               0.009703,               0.009703,               0.009703
                     12,                 1.7965,                    1.8,                 1.9188,                0.44295,                0.36119,                0.33467,                 0.1766,                  1.831,                 1.8276,                 1.9828,                0.00967,                0.00967,                0.00967
                     13,                  1.761,                 1.7534,                 1.8815,                0.60337,                0.35411,                0.35524,                0.18721,                 1.8148,                 1.7542,                 1.9327,               0.009637,               0.009637,               0.009637
                     14,                 1.7066,                 1.6869,                 1.8361,                0.56638,                0.40386,                0.41328,                0.21865,                 1.7326,                 1.5983,                  1.872,               0.009604,               0.009604,               0.009604
                     15,                 1.6874,                  1.637,                 1.8118,                0.54314,                0.41445,                0.42135,                0.22559,                 1.7039,                 1.6207,                 1.8467,               0.009571,               0.009571,               0.009571
                     16,                 1.6724,                 1.5909,                 1.7888,                  0.567,                  0.426,                0.44044,                0.23163,                 1.7106,                 1.5098,                 1.8134,               0.009538,               0.009538,               0.009538
                     17,                 1.6278,                 1.5482,                 1.7544,                 0.6149,                0.44342,                0.46654,                0.25633,                 1.6158,                 1.4537,                 1.7768,               0.009505,               0.009505,               0.009505
                     18,                 1.6101,                 1.5084,                 1.7245,                0.64837,                0.46941,                0.50068,                0.27423,                 1.6082,                 1.4095,                 1.7548,               0.009472,               0.009472,               0.009472
                     19,                  1.591,                 1.4809,                 1.7125,                0.67884,                0.47376,                0.51208,                0.27651,                 1.6265,                 1.4073,                 1.7577,               0.009439,               0.009439,               0.009439
                     20,                 1.5887,                 1.4625,                 1.7081,                0.64199,                0.47857,                0.52065,                0.28827,                 1.5436,                 1.3715,                 1.7025,               0.009406,               0.009406,               0.009406
                     21,                 1.5704,                 1.4491,                 1.6903,                0.65314,                0.51592,                0.54657,                0.30311,                 1.5543,                 1.3123,                 1.6932,               0.009373,               0.009373,               0.009373
                     22,                 1.5508,                 1.4186,                 1.6791,                  0.694,                0.49952,                 0.5443,                0.30141,                 1.5592,                 1.3284,                 1.6763,                0.00934,                0.00934,                0.00934
                     23,                 1.5447,                 1.3992,                 1.6699,                0.68211,                0.51742,                0.55351,                0.31016,                 1.5289,                 1.2988,                 1.6869,               0.009307,               0.009307,               0.009307
                     24,                 1.5301,                 1.3822,                 1.6498,                0.66897,                0.53052,                0.56198,                0.31992,                 1.5091,                 1.2659,                 1.6526,               0.009274,               0.009274,               0.009274
                     25,                 1.5047,                  1.341,                 1.6225,                0.69608,                0.52524,                0.57281,                0.32487,                  1.486,                 1.2703,                 1.6386,               0.009241,               0.009241,               0.009241
                     26,                 1.4903,                 1.3218,                 1.6145,                0.68134,                0.56829,                0.59152,                0.33133,                 1.4852,                 1.2192,                 1.6442,               0.009208,               0.009208,               0.009208
                     27,                 1.4862,                 1.3181,                 1.6136,                0.73433,                0.50704,                0.57062,                0.32098,                  1.488,                 1.2475,                 1.6317,               0.009175,               0.009175,               0.009175
                     28,                 1.4755,                 1.2915,                 1.6027,                0.70452,                0.55713,                0.60168,                0.34514,                 1.4379,                 1.1896,                 1.5861,               0.009142,               0.009142,               0.009142
                     29,                 1.4642,                 1.2773,                 1.5896,                0.74995,                0.57824,                0.62346,                0.35725,                 1.4471,                 1.1363,                 1.5969,               0.009109,               0.009109,               0.009109
                     30,                 1.4505,                 1.2638,                 1.5731,                0.72044,                0.57155,                0.61696,                0.35485,                 1.4225,                 1.1624,                 1.5643,               0.009076,               0.009076,               0.009076
                     31,                 1.4387,                 1.2552,                  1.571,                0.72119,                0.58808,                0.62227,                  0.362,                 1.4186,                 1.1396,                 1.5539,               0.009043,               0.009043,               0.009043
                     32,                 1.4313,                 1.2391,                 1.5582,                0.73856,                0.58533,                0.63516,                0.37151,                 1.3912,                 1.1041,                 1.5557,                0.00901,                0.00901,                0.00901
                     33,                 1.4346,                  1.226,                 1.5637,                0.77547,                0.58529,                0.63905,                0.37283,                 1.3879,                  1.105,                 1.5489,               0.008977,               0.008977,               0.008977
                     34,                 1.4149,                 1.2265,                 1.5543,                0.71999,                0.61079,                0.64748,                0.38236,                 1.3858,                  1.066,                 1.5395,               0.008944,               0.008944,               0.008944
                     35,                 1.4062,                 1.1856,                 1.5269,                0.78807,                0.59598,                0.65858,                0.39146,                 1.3604,                 1.0481,                 1.5211,               0.008911,               0.008911,               0.008911
                     36,                  1.395,                  1.172,                 1.5264,                 0.7891,                0.59727,                0.65655,                0.39255,                 1.3685,                 1.0358,                 1.5282,               0.008878,               0.008878,               0.008878
                     37,                 1.3841,                 1.1565,                 1.5118,                0.76486,                 0.6011,                 0.6589,                0.39525,                 1.3404,                 1.0337,                 1.4953,               0.008845,               0.008845,               0.008845
                     38,                 1.3837,                 1.1604,                 1.5186,                0.80867,                0.59753,                0.66634,                0.39758,                  1.343,                 1.0205,                 1.5028,               0.008812,               0.008812,               0.008812
                     39,                 1.3732,                 1.1573,                 1.5098,                0.78253,                0.62636,                0.67832,                0.40277,                 1.3348,                 1.0066,                 1.4936,               0.008779,               0.008779,               0.008779
                     40,                 1.3641,                 1.1365,                  1.503,                0.79016,                0.61587,                0.68012,                0.41117,                 1.3178,                 1.0079,                 1.4787,               0.008746,               0.008746,               0.008746
                     41,                 1.3592,                 1.1339,                 1.4999,                0.80911,                 0.6325,                0.69295,                0.41691,                 1.3114,                0.98549,                 1.4645,               0.008713,               0.008713,               0.008713
                     42,                   1.36,                 1.1119,                   1.49,                0.78344,                0.62858,                0.68763,                0.40811,                 1.3206,                0.98073,                 1.4688,                0.00868,                0.00868,                0.00868
                     43,                 1.3503,                 1.1166,                 1.4852,                0.79757,                0.63921,                 0.6997,                0.42697,                 1.3052,                0.95976,                  1.465,               0.008647,               0.008647,               0.008647
                     44,                 1.3381,                 1.1013,                 1.4792,                0.80993,                0.62966,                0.70302,                0.42976,                 1.2947,                0.93628,                 1.4544,               0.008614,               0.008614,               0.008614
                     45,                 1.3307,                 1.0828,                 1.4543,                0.81285,                  0.644,                0.70871,                0.43157,                 1.2778,                0.94579,                 1.4326,               0.008581,               0.008581,               0.008581
                     46,                 1.3318,                 1.0814,                 1.4719,                0.79332,                0.64255,                0.70655,                0.42364,                 1.2888,                0.94554,                 1.4448,               0.008548,               0.008548,               0.008548
                     47,                 1.3212,                 1.0711,                 1.4624,                0.82596,                 0.6429,                0.70904,                0.43683,                 1.2817,                 0.9372,                 1.4402,               0.008515,               0.008515,               0.008515
                     48,                 1.3215,                  1.065,                 1.4616,                0.84685,                0.65806,                0.72773,                0.44121,                 1.2831,                0.91504,                 1.4363,               0.008482,               0.008482,               0.008482
                     49,                 1.3146,                  1.049,                 1.4509,                0.84172,                0.68197,                0.74361,                0.44899,                 1.2707,                0.88363,                 1.4283,               0.008449,               0.008449,               0.008449
                     50,                 1.3077,                 1.0543,                 1.4465,                 0.8074,                0.67728,                0.73097,                 0.4465,                 1.2487,                0.89366,                 1.4178,               0.008416,               0.008416,               0.008416
                     51,                 1.2992,                 1.0475,                 1.4513,                0.81599,                0.66031,                0.72068,                0.43574,                 1.2929,                0.92074,                 1.4445,               0.008383,               0.008383,               0.008383
                     52,                 1.3083,                 1.0391,                 1.4514,                0.83267,                0.66407,                 0.7353,                0.44617,                 1.2636,                0.88566,                 1.4138,                0.00835,                0.00835,                0.00835
                     53,                 1.2984,                 1.0215,                 1.4328,                0.80818,                0.67746,                0.73942,                0.45591,                 1.2399,                0.87463,                  1.404,               0.008317,               0.008317,               0.008317
