                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.483,                 4.0012,                  4.148,                0.00077,                0.17167,                 0.0029,                0.00084,                  3.509,                 3.7881,                 3.9736,               0.070291,               0.003301,               0.003301
                      2,                 3.2664,                 3.4876,                 3.7167,                0.03085,                0.02359,                0.01371,                0.00383,                 3.1955,                  3.907,                 4.0817,               0.040269,              0.0066124,              0.0066124
                      3,                 2.8444,                 3.1196,                 3.2312,                0.55274,                0.03264,                0.02673,                0.00924,                 2.9735,                 3.8464,                 3.2965,               0.010225,              0.0099019,              0.0099019
                      4,                 2.4768,                 2.7911,                 2.7666,                0.60484,                0.11163,                0.07897,                0.03086,                 2.5048,                 4.7203,                 2.7909,               0.009901,               0.009901,               0.009901
                      5,                  2.262,                 2.5496,                  2.488,                0.26755,                0.16735,                0.14811,                0.06601,                 2.3554,                 2.9297,                  2.529,               0.009901,               0.009901,               0.009901
                      6,                 2.1379,                 2.3426,                 2.3057,                0.53166,                0.16654,                 0.1904,                0.08945,                 2.2294,                 2.4173,                 2.4105,               0.009868,               0.009868,               0.009868
                      7,                 2.0605,                 2.2148,                 2.2208,                0.38615,                0.23637,                  0.228,                0.11171,                 2.1284,                 2.3063,                 2.2794,               0.009835,               0.009835,               0.009835
                      8,                 1.9516,                 2.0597,                 2.1136,                0.68775,                0.26645,                0.27513,                 0.1368,                 2.0424,                 2.0508,                 2.1956,               0.009802,               0.009802,               0.009802
                      9,                  1.898,                 1.9674,                 2.0226,                0.50956,                0.30254,                0.30816,                0.16161,                 1.9298,                 1.9483,                 2.0884,               0.009769,               0.009769,               0.009769
                     10,                 1.8365,                 1.8697,                 1.9748,                0.58173,                0.35466,                0.35223,                0.18219,                 1.9007,                 1.7624,                 2.0508,               0.009736,               0.009736,               0.009736
                     11,                  1.786,                 1.7968,                 1.9226,                0.48296,                0.37548,                0.37425,                 0.1901,                 1.8717,                 1.7638,                 2.0084,               0.009703,               0.009703,               0.009703
                     12,                 1.7578,                 1.7357,                 1.8942,                0.63755,                0.37771,                0.40293,                0.21468,                 1.7566,                 1.6645,                 1.9106,                0.00967,                0.00967,                0.00967
                     13,                 1.7293,                 1.6872,                  1.861,                0.59794,                0.38988,                0.39484,                0.20637,                 1.8136,                 1.6416,                 1.9443,               0.009637,               0.009637,               0.009637
                     14,                 1.6802,                 1.6256,                 1.8134,                0.57266,                0.42064,                0.43485,                0.23627,                 1.7137,                 1.5919,                 1.8619,               0.009604,               0.009604,               0.009604
                     15,                 1.6593,                 1.5718,                 1.7864,                0.59517,                0.45895,                0.47577,                0.25906,                 1.6941,                 1.5023,                 1.8141,               0.009571,               0.009571,               0.009571
                     16,                 1.6426,                 1.5404,                 1.7585,                0.64576,                0.47166,                0.49558,                0.27345,                 1.6492,                 1.4064,                 1.7751,               0.009538,               0.009538,               0.009538
                     17,                 1.5978,                 1.4874,                 1.7322,                0.65066,                0.48008,                 0.5154,                0.28635,                 1.6051,                 1.3442,                 1.7467,               0.009505,               0.009505,               0.009505
                     18,                 1.5842,                 1.4517,                 1.7053,                 0.6288,                0.50921,                0.53287,                0.29443,                 1.6205,                 1.3289,                 1.7577,               0.009472,               0.009472,               0.009472
