                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4712,                 4.0065,                 4.1486,                0.00076,                0.17102,                0.00293,                0.00083,                 3.5089,                 3.7606,                 3.9726,               0.070291,               0.003301,               0.003301
                      2,                 3.2609,                 3.4802,                 3.7112,                0.25391,                0.07735,                0.00468,                0.00169,                 3.2371,                 5.4359,                 3.7389,               0.040269,              0.0066124,              0.0066124
                      3,                 2.8419,                 3.1164,                 3.2439,                0.51281,                0.03688,                0.01081,                0.00277,                 2.8593,                 4.3946,                 3.2277,               0.010225,              0.0099019,              0.0099019
                      4,                 2.4699,                 2.8029,                 2.7762,                0.82424,                0.08604,                0.09364,                0.03589,                 2.5472,                 3.0559,                 2.8104,               0.009901,               0.009901,               0.009901
                      5,                 2.2673,                 2.5348,                 2.4944,                0.42984,                0.12354,                0.13454,                 0.0576,                 2.4466,                 2.6916,                 2.6369,               0.009901,               0.009901,               0.009901
                      6,                   2.13,                 2.3216,                 2.2975,                0.36085,                0.20272,                0.20853,                0.10652,                 2.1639,                 2.2958,                 2.3377,               0.009868,               0.009868,               0.009868
                      7,                 2.0446,                 2.2035,                 2.2032,                0.43572,                 0.2364,                0.23847,                 0.1195,                 2.0541,                  2.318,                 2.2202,               0.009835,               0.009835,               0.009835
                      8,                 1.9621,                 2.0766,                 2.1075,                0.35347,                0.26801,                0.23768,                0.11821,                 2.0452,                 2.1644,                 2.1938,               0.009802,               0.009802,               0.009802
                      9,                 1.9082,                 1.9831,                 2.0228,                0.39951,                0.31947,                0.31369,                 0.1546,                 1.9614,                 1.9837,                 2.1026,               0.009769,               0.009769,               0.009769
                     10,                 1.8486,                 1.8875,                 1.9654,                0.54478,                0.36771,                0.37318,                0.18174,                 1.9082,                 1.8034,                 2.0377,               0.009736,               0.009736,               0.009736
                     11,                 1.7931,                 1.7922,                 1.9084,                0.50508,                0.33493,                0.33223,                0.16933,                 1.8623,                 1.8585,                 2.0062,               0.009703,               0.009703,               0.009703
                     12,                 1.7603,                 1.7362,                 1.8773,                0.46395,                0.41843,                0.40477,                0.21404,                 1.7526,                 1.6356,                 1.8984,                0.00967,                0.00967,                0.00967
                     13,                 1.7299,                 1.6942,                 1.8518,                0.54652,                0.39558,                0.40336,                0.20931,                 1.7809,                   1.65,                 1.8944,               0.009637,               0.009637,               0.009637
                     14,                  1.684,                 1.6196,                 1.8048,                0.58793,                0.40762,                0.44331,                 0.2292,                 1.7547,                 1.5656,                 1.8831,               0.009604,               0.009604,               0.009604
                     15,                 1.6562,                 1.5737,                 1.7787,                 0.5851,                0.45714,                0.47985,                0.26696,                 1.6497,                 1.4549,                 1.7889,               0.009571,               0.009571,               0.009571
                     16,                 1.6363,                 1.5348,                 1.7485,                0.58919,                0.43545,                0.45063,                0.24534,                 1.6468,                 1.5086,                 1.7807,               0.009538,               0.009538,               0.009538
