                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.484,                 3.9858,                 4.1466,                0.00076,                0.17037,                0.00473,                 0.0013,                 3.5139,                 3.7756,                 3.9666,               0.070291,               0.003301,               0.003301
                      2,                 3.2581,                   3.48,                 3.6946,                0.79979,                0.04275,                0.02389,                0.00724,                 2.9695,                 4.2448,                 3.5092,               0.040269,              0.0066124,              0.0066124
                      3,                 2.8295,                  3.111,                 3.2346,                 0.8094,                0.04373,                0.03292,                0.01162,                 2.7733,                 5.6177,                 3.2157,               0.010225,              0.0099019,              0.0099019
                      4,                 2.4463,                 2.7902,                  2.782,                0.18419,                0.11327,                0.10313,                0.04294,                 2.5232,                 3.4947,                 2.7495,               0.009901,               0.009901,               0.009901
                      5,                 2.2443,                 2.5377,                 2.5072,                0.36106,                 0.1104,                0.12128,                  0.052,                 2.4201,                  2.867,                 2.6341,               0.009901,               0.009901,               0.009901
                      6,                 2.0923,                 2.3088,                 2.3001,                0.50402,                0.17104,                0.19303,                0.09373,                 2.2148,                 2.3936,                 2.4094,               0.009868,               0.009868,               0.009868
                      7,                 2.0149,                 2.1875,                 2.2021,                0.34047,                0.24649,                0.24126,                0.12251,                 2.0814,                 2.1642,                 2.2525,               0.009835,               0.009835,               0.009835
                      8,                 1.9279,                  2.035,                 2.1024,                0.39673,                0.29563,                0.27935,                0.14236,                 2.0142,                 2.0446,                 2.1733,               0.009802,               0.009802,               0.009802
                      9,                 1.8802,                 1.9537,                 2.0213,                0.42597,                0.33089,                0.33011,                0.16365,                 1.9695,                 2.0645,                 2.1124,               0.009769,               0.009769,               0.009769
                     10,                  1.815,                 1.8555,                 1.9533,                0.47816,                0.36155,                0.35534,                0.17888,                 1.9311,                 1.7777,                 2.0744,               0.009736,               0.009736,               0.009736
                     11,                 1.7675,                 1.7704,                 1.9127,                0.53803,                 0.3869,                0.38703,                0.19527,                 1.8545,                 1.7006,                 1.9905,               0.009703,               0.009703,               0.009703
                     12,                  1.747,                 1.7161,                 1.8863,                0.49437,                0.38809,                0.39585,                0.20789,                 1.7654,                 1.6198,                 1.9369,                0.00967,                0.00967,                0.00967
                     13,                 1.7072,                 1.6763,                 1.8521,                 0.6623,                0.37839,                0.41368,                0.21805,                 1.7533,                 1.6059,                 1.9003,               0.009637,               0.009637,               0.009637
                     14,                 1.6604,                 1.6084,                 1.8057,                0.58894,                0.42052,                0.44407,                0.23202,                 1.7165,                  1.537,                 1.8597,               0.009604,               0.009604,               0.009604
                     15,                 1.6462,                 1.5637,                 1.7848,                0.54098,                0.45546,                0.45784,                0.24591,                 1.7078,                  1.511,                 1.8331,               0.009571,               0.009571,               0.009571
                     16,                 1.6231,                 1.5251,                 1.7515,                0.58803,                0.46541,                0.48331,                0.27412,                 1.6175,                 1.4327,                 1.7717,               0.009538,               0.009538,               0.009538
                     17,                 1.5863,                 1.4766,                 1.7215,                 0.5975,                 0.4715,                0.48817,                0.26778,                  1.603,                 1.4468,                 1.7631,               0.009505,               0.009505,               0.009505
                     18,                 1.5668,                 1.4418,                 1.6941,                0.64534,                0.48616,                0.53207,                0.29308,                 1.5946,                  1.319,                 1.7465,               0.009472,               0.009472,               0.009472
                     19,                 1.5539,                 1.4162,                 1.6874,                0.63741,                 0.5032,                0.53195,                0.29863,                 1.5833,                 1.3248,                 1.7358,               0.009439,               0.009439,               0.009439
                     20,                 1.5485,                 1.4032,                 1.6832,                0.69148,                0.52419,                 0.5549,                0.31092,                 1.5346,                 1.2978,                 1.6998,               0.009406,               0.009406,               0.009406
                     21,                 1.5276,                 1.3832,                  1.658,                 0.7097,                 0.5325,                0.57234,                0.31438,                 1.5309,                 1.2766,                 1.6856,               0.009373,               0.009373,               0.009373
                     22,                 1.5167,                 1.3529,                 1.6495,                0.68693,                0.54192,                0.58887,                 0.3267,                 1.5117,                 1.2079,                  1.657,                0.00934,                0.00934,                0.00934
                     23,                 1.4955,                 1.3331,                 1.6366,                0.70724,                0.54149,                0.58547,                0.33293,                 1.4771,                 1.2363,                 1.6551,               0.009307,               0.009307,               0.009307
                     24,                  1.489,                 1.3175,                 1.6236,                0.70955,                0.53562,                0.58933,                 0.3393,                 1.4597,                 1.2093,                 1.6163,               0.009274,               0.009274,               0.009274
                     25,                 1.4651,                 1.2863,                 1.5982,                0.73001,                0.55599,                0.60326,                0.34694,                  1.458,                 1.1824,                 1.6259,               0.009241,               0.009241,               0.009241
                     26,                 1.4472,                 1.2563,                 1.5892,                 0.7155,                0.58408,                0.61919,                0.35156,                 1.4247,                 1.1427,                 1.5938,               0.009208,               0.009208,               0.009208
                     27,                 1.4402,                 1.2493,                  1.584,                0.73282,                0.55768,                0.61322,                0.34627,                 1.4367,                 1.1547,                 1.5894,               0.009175,               0.009175,               0.009175
                     28,                 1.4306,                  1.233,                 1.5726,                0.72884,                0.57715,                0.62697,                0.36021,                 1.3927,                 1.1333,                 1.5553,               0.009142,               0.009142,               0.009142
                     29,                 1.4242,                  1.213,                   1.56,                0.76941,                0.58647,                 0.6526,                0.37414,                 1.3838,                 1.0837,                 1.5565,               0.009109,               0.009109,               0.009109
                     30,                 1.4132,                 1.1989,                 1.5502,                0.77364,                0.59095,                0.65712,                0.38088,                 1.3834,                 1.0467,                 1.5552,               0.009076,               0.009076,               0.009076
                     31,                 1.3975,                 1.1957,                 1.5467,                0.75691,                 0.6051,                0.65996,                0.38712,                 1.3659,                 1.0701,                 1.5416,               0.009043,               0.009043,               0.009043
                     32,                 1.3952,                 1.1837,                 1.5348,                0.77687,                0.62454,                0.67686,                0.39737,                 1.3415,                 1.0302,                 1.5188,                0.00901,                0.00901,                0.00901
