                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3755,                 4.3293,                 4.0792,                0.00076,                0.16841,                0.00571,                 0.0015,                 3.4873,                 4.2834,                 3.8826,               0.070291,               0.003301,               0.003301
                      2,                 3.1433,                 3.8286,                 3.5197,                0.78899,                0.04308,                0.01851,                0.00523,                 2.9665,                 4.3304,                 3.3974,               0.040269,              0.0066124,              0.0066124
                      3,                 2.8432,                 3.5307,                 3.1727,                0.54673,                0.05426,                0.02387,                0.00757,                 2.8097,                 4.2464,                 3.1626,               0.010225,              0.0099019,              0.0099019
                      4,                 2.5704,                 3.3176,                 2.8674,                0.35354,                0.12413,                0.06022,                0.02184,                 2.5706,                 3.7071,                 2.8807,               0.009901,               0.009901,               0.009901
                      5,                 2.3827,                 3.0722,                 2.6296,                 0.7273,                0.12446,                0.12213,                0.04814,                 2.4156,                 3.3838,                 2.6752,               0.009901,               0.009901,               0.009901
                      6,                 2.1985,                 2.7275,                 2.3652,                0.52705,                0.23869,                 0.2291,                0.10318,                 2.2172,                  2.913,                 2.4232,               0.009868,               0.009868,               0.009868
                      7,                 2.0871,                 2.5474,                 2.2389,                0.42073,                0.25596,                0.25725,                0.11646,                 2.0902,                 2.6315,                 2.3028,               0.009835,               0.009835,               0.009835
                      8,                 1.9885,                 2.3529,                 2.1182,                0.41434,                0.28725,                0.27542,                0.13962,                 2.0135,                 2.3431,                 2.2244,               0.009802,               0.009802,               0.009802
                      9,                  1.939,                 2.2566,                 2.0434,                0.39027,                0.34005,                0.30971,                0.15177,                 1.9679,                 2.4896,                 2.1713,               0.009769,               0.009769,               0.009769
                     10,                 1.8839,                 2.1652,                 2.0043,                0.41277,                0.35643,                0.33622,                0.17486,                 1.8674,                 2.2863,                 2.0952,               0.009736,               0.009736,               0.009736
                     11,                 1.8282,                  2.054,                  1.942,                0.45273,                0.38526,                0.38488,                0.20787,                 1.8129,                 1.9441,                  2.029,               0.009703,               0.009703,               0.009703
                     12,                  1.807,                 1.9938,                 1.9192,                 0.5676,                0.34738,                0.38192,                0.19705,                 1.8067,                 1.9854,                 2.0202,                0.00967,                0.00967,                0.00967
                     13,                 1.7653,                 1.9481,                 1.8742,                0.51082,                0.38622,                0.40968,                0.21569,                 1.7658,                  1.875,                 1.9619,               0.009637,               0.009637,               0.009637
                     14,                 1.7269,                 1.8722,                 1.8312,                0.51709,                0.40562,                0.39818,                0.21925,                 1.7162,                 1.8179,                 1.9215,               0.009604,               0.009604,               0.009604
                     15,                 1.7131,                 1.8221,                 1.8124,                0.54723,                  0.451,                0.46294,                0.25018,                 1.7276,                 1.7686,                 1.9193,               0.009571,               0.009571,               0.009571
                     16,                  1.696,                 1.7932,                 1.7895,                0.52364,                0.45568,                0.47626,                0.25713,                 1.6681,                 1.6899,                 1.8424,               0.009538,               0.009538,               0.009538
                     17,                 1.6489,                 1.7304,                 1.7488,                0.62008,                0.46372,                0.49455,                0.27135,                 1.6335,                 1.6306,                 1.8394,               0.009505,               0.009505,               0.009505
                     18,                 1.6358,                 1.6956,                 1.7328,                0.59708,                0.48842,                0.50363,                0.28117,                 1.6088,                 1.6805,                 1.8177,               0.009472,               0.009472,               0.009472
                     19,                 1.6288,                 1.6625,                 1.7203,                0.55985,                0.48633,                0.50141,                 0.2749,                 1.5994,                 1.5664,                 1.7955,               0.009439,               0.009439,               0.009439
                     20,                 1.6164,                 1.6416,                 1.7094,                0.65199,                 0.4995,                0.54767,                0.29678,                 1.5857,                 1.5589,                 1.7824,               0.009406,               0.009406,               0.009406
                     21,                 1.5955,                 1.6247,                 1.6963,                0.62331,                0.52191,                0.55901,                0.30802,                 1.5539,                 1.4965,                 1.7609,               0.009373,               0.009373,               0.009373
                     22,                 1.5774,                  1.593,                  1.688,                0.67552,                0.52006,                0.57946,                0.32513,                 1.5448,                 1.4761,                 1.7539,                0.00934,                0.00934,                0.00934
                     23,                 1.5698,                 1.5733,                 1.6764,                0.64198,                0.55006,                0.57947,                0.32796,                 1.5243,                 1.4431,                 1.7269,               0.009307,               0.009307,               0.009307
                     24,                 1.5615,                 1.5466,                 1.6609,                0.68105,                0.52568,                 0.5793,                0.32866,                 1.4975,                 1.4083,                 1.7145,               0.009274,               0.009274,               0.009274
                     25,                 1.5445,                 1.5136,                 1.6461,                0.65043,                0.54568,                0.59067,                0.33657,                 1.5007,                 1.3836,                 1.7083,               0.009241,               0.009241,               0.009241
                     26,                 1.5178,                 1.4836,                 1.6217,                0.66418,                0.55919,                0.59227,                 0.3356,                  1.491,                 1.3801,                 1.6967,               0.009208,               0.009208,               0.009208
                     27,                  1.517,                 1.4907,                 1.6317,                0.70152,                0.55971,                0.60788,                0.35043,                 1.4768,                 1.3589,                 1.6739,               0.009175,               0.009175,               0.009175
                     28,                 1.5116,                 1.4637,                 1.6296,                0.69011,                0.56265,                0.61117,                0.35679,                 1.4651,                  1.348,                 1.6626,               0.009142,               0.009142,               0.009142
                     29,                 1.5075,                 1.4319,                 1.6121,                0.71307,                0.58151,                0.62326,                0.35857,                 1.4785,                 1.3151,                 1.6597,               0.009109,               0.009109,               0.009109
                     30,                 1.4909,                 1.4117,                 1.5907,                0.72869,                0.56046,                0.63074,                0.37009,                 1.4309,                 1.2689,                 1.6393,               0.009076,               0.009076,               0.009076
                     31,                 1.4836,                 1.4186,                 1.5929,                0.71692,                0.59676,                0.64448,                0.37694,                 1.4316,                 1.2616,                 1.6421,               0.009043,               0.009043,               0.009043
                     32,                 1.4726,                  1.395,                 1.5787,                0.76414,                0.59037,                0.66216,                0.38683,                  1.438,                 1.2363,                 1.6397,                0.00901,                0.00901,                0.00901
                     33,                  1.474,                 1.3686,                 1.5829,                0.72808,                0.61811,                0.66914,                 0.4015,                 1.3911,                 1.2444,                 1.5987,               0.008977,               0.008977,               0.008977
                     34,                 1.4592,                 1.3667,                 1.5754,                0.72627,                0.61539,                0.67001,                0.39175,                 1.4154,                 1.1925,                 1.6093,               0.008944,               0.008944,               0.008944
                     35,                 1.4539,                 1.3458,                 1.5537,                0.74957,                0.61953,                0.67614,                0.39674,                 1.3783,                 1.1703,                 1.5872,               0.008911,               0.008911,               0.008911
                     36,                  1.442,                 1.3249,                 1.5553,                0.73383,                0.61076,                0.65613,                0.38028,                  1.416,                 1.1927,                 1.6112,               0.008878,               0.008878,               0.008878
                     37,                 1.4319,                 1.3056,                 1.5299,                0.68259,                0.63052,                0.67142,                0.40128,                 1.3733,                 1.1809,                 1.5753,               0.008845,               0.008845,               0.008845
