                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3824,                 4.2877,                 4.0877,                0.00077,                0.16775,                0.00485,                0.00128,                 3.4716,                 4.3229,                 3.9343,               0.070291,               0.003301,               0.003301
                      2,                  3.126,                 3.7878,                 3.5958,                0.30827,                0.05814,                0.02314,                0.00639,                 2.9655,                 4.7451,                 3.4396,               0.040269,              0.0066124,              0.0066124
                      3,                 2.8555,                 3.4695,                  3.224,                0.55419,                0.02929,                0.01338,                0.00393,                 3.1567,                    inf,                 3.7793,               0.010225,              0.0099019,              0.0099019
                      4,                 2.5146,                 3.1379,                 2.8438,                0.47108,                  0.102,                0.10112,                0.03774,                 2.4982,                 3.8301,                 2.8582,               0.009901,               0.009901,               0.009901
                      5,                  2.291,                  2.807,                 2.5793,                0.34154,                0.18181,                0.16067,                0.06742,                 2.3615,                 3.2288,                 2.6532,               0.009901,               0.009901,               0.009901
                      6,                 2.1294,                 2.5245,                 2.3689,                0.49445,                  0.243,                0.26455,                0.12016,                 2.1802,                 2.6877,                 2.4834,               0.009868,               0.009868,               0.009868
                      7,                 2.0406,                 2.3703,                 2.2712,                 0.3788,                0.30393,                0.29048,                 0.1324,                 2.0938,                 2.3715,                  2.399,               0.009835,               0.009835,               0.009835
                      8,                 1.9425,                 2.2027,                 2.1776,                0.40586,                0.32793,                 0.3161,                0.15845,                 1.9584,                 2.2332,                 2.2707,               0.009802,               0.009802,               0.009802
                      9,                 1.8927,                 2.1029,                 2.1052,                0.42837,                0.35496,                0.35421,                0.17637,                 1.9091,                 2.2172,                 2.2066,               0.009769,               0.009769,               0.009769
                     10,                 1.8316,                 2.0088,                  2.058,                0.54601,                0.39701,                0.40694,                0.21323,                 1.8158,                 1.8916,                 2.1146,               0.009736,               0.009736,               0.009736
                     11,                 1.7746,                  1.915,                 2.0082,                0.59796,                0.39514,                0.41699,                0.21131,                 1.8318,                 1.8702,                 2.1163,               0.009703,               0.009703,               0.009703
                     12,                 1.7537,                 1.8641,                 1.9922,                0.60584,                0.43577,                0.46209,                0.23754,                 1.7493,                 1.7584,                 2.0555,                0.00967,                0.00967,                0.00967
                     13,                 1.7248,                 1.8057,                 1.9627,                0.55695,                0.46705,                0.46874,                0.24876,                 1.7252,                 1.7027,                 2.0185,               0.009637,               0.009637,               0.009637
                     14,                 1.6807,                 1.7318,                 1.9084,                0.53289,                0.45386,                0.45636,                0.24085,                 1.6952,                   1.66,                  1.999,               0.009604,               0.009604,               0.009604
