                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4099,                 4.4577,                 4.2199,                0.00058,                0.13185,                 0.0007,                0.00021,                 3.4866,                 4.3386,                 4.0205,               0.070291,               0.003301,               0.003301
                      2,                 3.2834,                 4.0324,                 3.7711,                0.52123,                0.03557,                0.01142,                0.00328,                 3.0287,                  9.556,                 3.6479,               0.040269,              0.0066124,              0.0066124
                      3,                 2.9709,                   3.59,                 3.3392,                0.26695,                0.03998,                0.00964,                0.00306,                  3.052,                  4.403,                 3.3992,               0.010225,              0.0099019,              0.0099019
                      4,                 2.6337,                 3.2819,                 2.9621,                0.25041,                0.10822,                0.08031,                 0.0319,                  2.571,                 5.2662,                 2.9449,               0.009901,               0.009901,               0.009901
                      5,                 2.3546,                 2.9764,                 2.6693,                0.27204,                0.17596,                0.14866,                0.06239,                 2.3642,                 3.2546,                 2.6885,               0.009901,               0.009901,               0.009901
                      6,                 2.1649,                 2.6616,                  2.426,                0.27858,                0.24634,                0.21729,                0.10181,                 2.1638,                 2.7327,                 2.5104,               0.009868,               0.009868,               0.009868
                      7,                 2.0787,                 2.5332,                 2.3225,                0.30898,                0.28946,                0.24021,                0.11595,                  2.095,                 2.7814,                 2.3993,               0.009835,               0.009835,               0.009835
                      8,                  1.978,                 2.3535,                  2.223,                0.42122,                0.29884,                0.28031,                0.13805,                  1.992,                 2.3348,                 2.3176,               0.009802,               0.009802,               0.009802
                      9,                 1.9268,                 2.2639,                 2.1416,                0.42196,                0.34727,                0.32886,                0.16436,                 1.9755,                 2.2515,                 2.2576,               0.009769,               0.009769,               0.009769
                     10,                 1.8578,                 2.1507,                 2.0895,                0.46464,                0.37075,                0.35775,                0.17853,                 1.9353,                 2.1288,                 2.2446,               0.009736,               0.009736,               0.009736
                     11,                 1.8059,                 2.0504,                 2.0322,                0.43865,                0.40411,                0.36926,                0.19774,                 1.8353,                 2.0004,                 2.1211,               0.009703,               0.009703,               0.009703
                     12,                 1.7859,                 1.9975,                  2.012,                0.50418,                0.39452,                0.40895,                0.22477,                 1.7463,                 2.0571,                 2.0332,                0.00967,                0.00967,                0.00967
                     13,                 1.7564,                 1.9354,                 1.9814,                0.56497,                0.41771,                 0.4495,                0.24062,                 1.7576,                 1.7997,                 2.0276,               0.009637,               0.009637,               0.009637
                     14,                 1.6998,                 1.8621,                 1.9192,                0.53915,                0.42228,                0.43397,                0.23681,                 1.7164,                 1.7728,                 1.9947,               0.009604,               0.009604,               0.009604
                     15,                 1.6842,                 1.7926,                 1.8942,                0.55826,                0.45375,                0.47514,                0.25878,                 1.7034,                 1.7182,                  1.947,               0.009571,               0.009571,               0.009571
                     16,                 1.6677,                 1.7517,                 1.8714,                0.61273,                0.45211,                0.49085,                0.26895,                 1.6473,                 1.6415,                 1.9171,               0.009538,               0.009538,               0.009538
                     17,                 1.6293,                 1.6974,                 1.8355,                0.56252,                0.46242,                0.48765,                0.27151,                 1.6638,                 1.6589,                 1.9207,               0.009505,               0.009505,               0.009505
                     18,                 1.6108,                 1.6478,                 1.8094,                0.64008,                0.51453,                0.54394,                0.30509,                 1.5916,                 1.5801,                 1.8551,               0.009472,               0.009472,               0.009472
                     19,                 1.5973,                 1.6368,                 1.7993,                0.61933,                0.51002,                0.53459,                0.29276,                 1.6305,                 1.5676,                 1.8789,               0.009439,               0.009439,               0.009439
                     20,                 1.5917,                 1.6067,                 1.7872,                0.63084,                0.52802,                0.56555,                0.31748,                 1.5511,                 1.4846,                 1.8133,               0.009406,               0.009406,               0.009406
                     21,                 1.5629,                 1.5743,                 1.7628,                0.68266,                0.53114,                 0.5844,                0.32819,                 1.5399,                 1.4403,                 1.8169,               0.009373,               0.009373,               0.009373
                     22,                 1.5525,                 1.5573,                 1.7601,                0.65526,                0.56511,                0.59755,                0.33906,                 1.5271,                 1.4122,                  1.771,                0.00934,                0.00934,                0.00934
                     23,                 1.5461,                  1.536,                 1.7434,                0.68127,                0.56639,                0.59656,                0.34361,                 1.5005,                 1.3947,                 1.7717,               0.009307,               0.009307,               0.009307
