                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4829,                 3.9833,                 4.1117,                0.00077,                  0.172,                0.00567,                 0.0015,                 3.5152,                 3.7621,                 3.9413,               0.070291,               0.003301,               0.003301
                      2,                 3.2681,                 3.4322,                  3.643,                0.79523,                0.03166,                 0.0186,                0.00592,                 3.0906,                 5.6018,                 3.6077,               0.040269,              0.0066124,              0.0066124
                      3,                 2.8551,                 3.1115,                 3.1952,                0.75695,                0.02839,                0.00517,                 0.0015,                 3.0755,                 4.9406,                 3.1641,               0.010225,              0.0099019,              0.0099019
                      4,                 2.5003,                  2.802,                 2.7767,                0.36294,                0.10868,                  0.078,                0.02978,                 2.5617,                 3.1034,                 2.7961,               0.009901,               0.009901,               0.009901
                      5,                 2.2747,                 2.5398,                 2.5165,                0.68682,                0.17013,                0.15954,                0.06866,                 2.3481,                 2.9062,                 2.5477,               0.009901,               0.009901,               0.009901
                      6,                 2.1302,                 2.3435,                 2.3125,                0.24865,                0.21423,                0.17335,                0.08292,                 2.2074,                 2.5885,                 2.4125,               0.009868,               0.009868,               0.009868
                      7,                 2.0574,                 2.2236,                 2.2211,                0.34332,                0.23532,                0.23005,                0.10954,                 2.1309,                 2.4015,                 2.2949,               0.009835,               0.009835,               0.009835
                      8,                 1.9582,                 2.0804,                 2.1114,                0.43049,                0.28611,                0.25731,                0.12694,                 2.0252,                 2.2184,                 2.1822,               0.009802,               0.009802,               0.009802
                      9,                 1.9184,                 2.0064,                 2.0372,                0.35711,                0.31943,                0.27301,                0.13266,                 2.0442,                 2.0703,                 2.1851,               0.009769,               0.009769,               0.009769
                     10,                 1.8509,                 1.9055,                 1.9747,                0.51385,                0.33202,                 0.3361,                0.16459,                  1.922,                 1.9338,                 2.0595,               0.009736,               0.009736,               0.009736
                     11,                 1.7929,                  1.812,                  1.918,                0.49789,                0.32571,                0.33209,                  0.172,                 1.8659,                 1.8029,                 2.0066,               0.009703,               0.009703,               0.009703
                     12,                 1.7671,                 1.7486,                 1.8825,                0.49098,                0.38677,                0.36465,                0.17978,                 1.8697,                 1.7028,                 1.9833,                0.00967,                0.00967,                0.00967
                     13,                 1.7197,                 1.6893,                 1.8428,                0.57611,                 0.3765,                0.40168,                0.21422,                 1.7705,                 1.6272,                 1.9018,               0.009637,               0.009637,               0.009637
                     14,                 1.6735,                  1.614,                 1.7991,                0.46726,                0.41846,                0.39157,                0.20723,                 1.7289,                 1.6651,                 1.8685,               0.009604,               0.009604,               0.009604
                     15,                 1.6557,                 1.5769,                 1.7768,                0.57754,                0.43573,                0.45554,                0.24206,                 1.6825,                 1.5052,                 1.8222,               0.009571,               0.009571,               0.009571
                     16,                  1.628,                 1.5297,                 1.7454,                0.56473,                0.44246,                0.46276,                0.24683,                 1.6896,                 1.4836,                  1.806,               0.009538,               0.009538,               0.009538
                     17,                 1.5929,                 1.4791,                 1.7159,                0.57192,                0.49029,                0.48985,                0.27292,                 1.6088,                 1.3911,                 1.7536,               0.009505,               0.009505,               0.009505
                     18,                 1.5691,                 1.4412,                 1.6827,                0.64934,                0.47605,                0.50918,                0.28085,                 1.5916,                  1.342,                 1.7507,               0.009472,               0.009472,               0.009472
