                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 15.598,                 4.0519,                 4.1691,                0.00079,                0.17493,                 0.0033,                0.00088,                 19.165,                 3.8756,                 3.9563,               0.070291,               0.003301,               0.003301
                      2,                 10.444,                 3.6249,                 3.7481,                0.76839,                0.02056,                 0.0086,                0.00226,                 9.0907,                 4.7105,                 3.6731,               0.040269,              0.0066124,              0.0066124
                      3,                 7.4477,                 3.2498,                 3.1544,                0.75889,                0.01338,                0.00938,                0.00454,                 9.3204,                 4.5662,                 3.1801,               0.010225,              0.0099019,              0.0099019
                      4,                 5.9535,                 2.9115,                  2.625,                 0.0888,                0.08559,                0.05505,                0.02091,                  6.242,                 4.4767,                 2.7609,               0.009901,               0.009901,               0.009901
                      5,                 5.2286,                 2.6157,                 2.3414,                0.32477,                0.10597,                0.10155,                  0.042,                 5.3552,                 2.9155,                 2.4833,               0.009901,               0.009901,               0.009901
                      6,                 4.7653,                 2.3771,                 2.1623,                0.24921,                0.19586,                0.17072,                0.07922,                 4.8466,                 2.6454,                 2.2832,               0.009868,               0.009868,               0.009868
                      7,                 4.4662,                 2.2525,                 2.0816,                0.38354,                  0.228,                0.22249,                0.10946,                 4.4656,                 2.1973,                 2.1596,               0.009835,               0.009835,               0.009835
                      8,                 4.1896,                   2.09,                 2.0003,                0.38333,                0.26122,                0.23985,                0.10963,                 4.5079,                 2.1902,                 2.1551,               0.009802,               0.009802,               0.009802
                      9,                 3.9457,                 2.0051,                 1.9205,                0.40464,                 0.3142,                0.29507,                0.14285,                 3.9487,                 2.1197,                  2.008,               0.009769,               0.009769,               0.009769
                     10,                 3.7233,                  1.881,                 1.8521,                0.51388,                0.30117,                0.31208,                0.15339,                 3.8252,                 1.9028,                 1.9535,               0.009736,               0.009736,               0.009736
                     11,                 3.5753,                 1.7892,                 1.8078,                0.51198,                0.36142,                0.37425,                0.18279,                  3.707,                   1.76,                 1.9166,               0.009703,               0.009703,               0.009703
                     12,                 3.4606,                 1.7359,                  1.772,                0.50279,                0.39331,                 0.3834,                0.19838,                 3.3695,                 1.6797,                 1.8185,                0.00967,                0.00967,                0.00967
                     13,                 3.3726,                 1.6786,                 1.7429,                0.55452,                0.37316,                0.39849,                0.21387,                  3.362,                 1.6339,                 1.8033,               0.009637,               0.009637,               0.009637
