                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4785,                 3.9751,                  4.112,                0.00078,                  0.172,                0.00463,                0.00117,                 3.5124,                 3.7612,                 3.9243,               0.070291,               0.003301,               0.003301
                      2,                 3.2318,                 3.4294,                 3.6321,                0.53393,                0.05875,                0.02278,                0.00678,                 3.0642,                 5.8796,                 3.4609,               0.040269,              0.0066124,              0.0066124
                      3,                 2.8609,                 3.1215,                 3.2075,                0.51867,                0.03226,                0.00598,                0.00164,                 3.1996,                 3.9797,                 3.5145,               0.010225,              0.0099019,              0.0099019
                      4,                 2.5145,                 2.8317,                 2.7701,                0.66364,                0.06817,                0.06759,                0.02667,                 2.6864,                 6.8543,                 2.9568,               0.009901,               0.009901,               0.009901
                      5,                 2.3066,                 2.5825,                  2.493,                0.49617,                0.10584,                0.11058,                0.04669,                  2.428,                 3.4598,                 2.6077,               0.009901,               0.009901,               0.009901
                      6,                  2.162,                 2.3523,                 2.2865,                0.53525,                0.18863,                0.19651,                 0.0926,                 2.2077,                 2.4423,                 2.3343,               0.009868,               0.009868,               0.009868
                      7,                 2.0725,                  2.225,                 2.1823,                0.35411,                0.22288,                 0.2158,                0.10523,                 2.1337,                 2.4265,                 2.2738,               0.009835,               0.009835,               0.009835
                      8,                 1.9683,                 2.0722,                  2.084,                0.39758,                0.28408,                 0.2706,                0.12927,                 2.0682,                 2.1576,                 2.1806,               0.009802,               0.009802,               0.009802
                      9,                 1.9094,                 1.9867,                 2.0051,                0.44819,                 0.3199,                0.31845,                0.15941,                 1.9434,                 1.9751,                 2.0511,               0.009769,               0.009769,               0.009769
                     10,                 1.8417,                 1.8674,                 1.9349,                0.49878,                0.34832,                0.34566,                0.17982,                 1.8869,                 1.8103,                 1.9931,               0.009736,               0.009736,               0.009736
                     11,                 1.7808,                 1.7688,                  1.879,                0.43554,                0.34703,                0.34433,                0.17527,                 1.8938,                 1.7785,                 2.0006,               0.009703,               0.009703,               0.009703
                     12,                 1.7585,                 1.7191,                 1.8482,                0.53274,                0.41153,                0.41146,                0.21586,                 1.7709,                 1.6754,                 1.8749,                0.00967,                0.00967,                0.00967
