                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4937,                 4.0213,                 4.1513,                0.00077,                0.17167,                0.00357,                0.00096,                 3.5124,                 3.7637,                 3.9611,               0.070291,               0.003301,               0.003301
                      2,                 3.2688,                 3.4556,                 3.6653,                0.78034,                0.05189,                0.01894,                0.00563,                 3.0377,                 4.1224,                 3.5652,               0.040269,              0.0066124,              0.0066124
                      3,                 2.8146,                 3.0902,                 3.1828,                0.79413,                0.03362,                0.01758,                 0.0049,                 3.0697,                  3.842,                  3.403,               0.010225,              0.0099019,              0.0099019
                      4,                 2.4329,                 2.7421,                 2.7254,                0.57465,                0.07472,                0.03676,                0.01324,                 2.6189,                 4.0662,                 2.9431,               0.009901,               0.009901,               0.009901
                      5,                  2.244,                 2.5209,                 2.4891,                 0.5132,                0.14415,                 0.1391,                0.05646,                  2.378,                  3.182,                 2.5991,               0.009901,               0.009901,               0.009901
                      6,                  2.128,                  2.337,                 2.3062,                0.60124,                0.20264,                0.22704,                0.10683,                 2.1979,                 2.2457,                 2.3409,               0.009868,               0.009868,               0.009868
                      7,                 2.0432,                 2.2175,                 2.2075,                0.61382,                0.21835,                0.23487,                0.11494,                 2.1388,                 2.2999,                 2.2681,               0.009835,               0.009835,               0.009835
                      8,                   1.94,                  2.051,                 2.0992,                0.43554,                0.27887,                 0.2773,                0.13664,                 2.0409,                 2.1698,                 2.1915,               0.009802,               0.009802,               0.009802
                      9,                 1.8964,                 1.9659,                  2.018,                0.43132,                0.28844,                0.27723,                0.13253,                 2.0303,                 2.1965,                 2.1522,               0.009769,               0.009769,               0.009769
                     10,                 1.8333,                 1.8618,                 1.9619,                0.51673,                0.34813,                0.35227,                0.17481,                 1.9172,                 1.7986,                 2.0704,               0.009736,               0.009736,               0.009736
                     11,                 1.7791,                 1.7748,                 1.9119,                0.46086,                0.34636,                0.34073,                0.17078,                 1.9389,                 1.9503,                 2.0573,               0.009703,               0.009703,               0.009703
                     12,                 1.7409,                 1.7183,                 1.8752,                0.53592,                0.42375,                  0.415,                0.21556,                 1.7715,                 1.6102,                 1.9153,                0.00967,                0.00967,                0.00967
                     13,                 1.7129,                 1.6621,                 1.8406,                0.56999,                0.40676,                0.41968,                0.21796,                 1.7704,                 1.6013,                 1.9137,               0.009637,               0.009637,               0.009637
                     14,                 1.6607,                 1.5869,                 1.7963,                0.58189,                0.40997,                0.44586,                0.24013,                 1.6957,                 1.4938,                 1.8322,               0.009604,               0.009604,               0.009604
                     15,                 1.6356,                 1.5449,                 1.7684,                 0.6083,                0.45446,                0.48522,                0.25696,                 1.6794,                 1.4311,                 1.8025,               0.009571,               0.009571,               0.009571
                     16,                 1.6173,                 1.4966,                  1.737,                0.60731,                0.47527,                0.49554,                0.26671,                 1.6472,                 1.3992,                 1.7888,               0.009538,               0.009538,               0.009538
                     17,                 1.5745,                 1.4529,                 1.7062,                0.59248,                0.47916,                0.47711,                 0.2629,                 1.5898,                 1.4263,                 1.7507,               0.009505,               0.009505,               0.009505
                     18,                 1.5567,                 1.4265,                 1.6812,                0.62965,                0.50402,                0.52953,                0.29507,                 1.5617,                 1.3429,                 1.7122,               0.009472,               0.009472,               0.009472
                     19,                 1.5415,                 1.3997,                 1.6748,                0.65687,                0.48956,                0.52705,                0.29429,                 1.5675,                  1.324,                   1.71,               0.009439,               0.009439,               0.009439
                     20,                 1.5319,                 1.3843,                 1.6621,                0.69956,                0.50479,                0.55333,                 0.3009,                 1.5379,                 1.2887,                 1.6856,               0.009406,               0.009406,               0.009406
                     21,                 1.5147,                 1.3654,                 1.6483,                0.63669,                0.54593,                0.56486,                0.31547,                 1.5196,                  1.246,                 1.6707,               0.009373,               0.009373,               0.009373
                     22,                 1.4898,                 1.3291,                 1.6344,                 0.7152,                0.56093,                0.60591,                0.33432,                 1.5278,                  1.237,                   1.65,                0.00934,                0.00934,                0.00934
                     23,                 1.4841,                 1.3161,                 1.6224,                0.70856,                0.55671,                0.59438,                0.33935,                 1.4781,                 1.1894,                 1.6414,               0.009307,               0.009307,               0.009307
                     24,                 1.4805,                 1.3015,                 1.6079,                0.70206,                0.55944,                0.60401,                0.34785,                 1.4293,                 1.1953,                 1.5796,               0.009274,               0.009274,               0.009274
                     25,                 1.4489,                 1.2593,                 1.5782,                0.73791,                0.57501,                0.62429,                0.35971,                 1.4175,                 1.1258,                  1.569,               0.009241,               0.009241,               0.009241
                     26,                 1.4362,                  1.242,                 1.5667,                0.73174,                0.56484,                0.61389,                0.33587,                 1.5052,                 1.1791,                 1.6266,               0.009208,               0.009208,               0.009208
                     27,                 1.4239,                 1.2325,                 1.5629,                0.75651,                0.56141,                 0.6216,                0.35377,                 1.4215,                 1.1376,                 1.5687,               0.009175,               0.009175,               0.009175
                     28,                 1.4148,                 1.2084,                 1.5482,                0.74196,                0.58909,                0.63534,                0.37347,                  1.381,                 1.1165,                 1.5308,               0.009142,               0.009142,               0.009142
                     29,                 1.4098,                 1.1862,                 1.5402,                0.74393,                0.61008,                0.65041,                 0.3806,                 1.3652,                  1.066,                 1.5261,               0.009109,               0.009109,               0.009109
                     30,                 1.4008,                 1.1698,                 1.5315,                0.76453,                0.60587,                0.66167,                0.39254,                 1.3581,                 1.0669,                 1.5206,               0.009076,               0.009076,               0.009076
                     31,                 1.3889,                 1.1718,                 1.5321,                  0.776,                0.60742,                0.66795,                0.40361,                 1.3353,                 1.0384,                 1.4969,               0.009043,               0.009043,               0.009043
                     32,                  1.376,                 1.1534,                 1.5154,                0.80764,                 0.6314,                0.69093,                0.41528,                    1.3,                 0.9989,                 1.4775,                0.00901,                0.00901,                0.00901
                     33,                 1.3801,                 1.1383,                 1.5182,                0.77375,                0.62486,                0.67912,                0.40362,                 1.3478,                 1.0123,                 1.5109,               0.008977,               0.008977,               0.008977
                     34,                 1.3524,                 1.1337,                 1.5035,                0.79072,                0.62462,                0.68698,                0.41184,                 1.3173,                0.97387,                  1.484,               0.008944,               0.008944,               0.008944
                     35,                 1.3494,                  1.109,                 1.4829,                 0.8067,                0.63789,                0.69663,                0.41969,                 1.2902,                0.96325,                 1.4592,               0.008911,               0.008911,               0.008911
                     36,                 1.3412,                 1.0977,                 1.4841,                0.78549,                0.62527,                 0.6874,                 0.4149,                 1.2994,                0.97073,                 1.4624,               0.008878,               0.008878,               0.008878
                     37,                 1.3282,                 1.0753,                 1.4689,                0.81233,                0.62765,                0.69691,                0.42272,                 1.2798,                0.98674,                 1.4532,               0.008845,               0.008845,               0.008845
                     38,                 1.3314,                 1.0832,                 1.4772,                0.83083,                0.64028,                0.72099,                0.44382,                 1.2335,                0.92107,                 1.4157,               0.008812,               0.008812,               0.008812
                     39,                 1.3171,                 1.0737,                 1.4654,                0.82504,                0.66019,                0.72303,                0.44392,                 1.2531,                0.91823,                 1.4354,               0.008779,               0.008779,               0.008779
                     40,                  1.313,                 1.0532,                 1.4626,                0.82586,                 0.6344,                0.71585,                0.44407,                  1.247,                 0.9113,                 1.4155,               0.008746,               0.008746,               0.008746
                     41,                 1.2988,                 1.0512,                 1.4552,                0.82428,                0.65358,                0.72654,                0.44802,                 1.2462,                0.88624,                 1.4152,               0.008713,               0.008713,               0.008713
                     42,                 1.3054,                 1.0365,                 1.4457,                0.82498,                0.65764,                0.73203,                0.45162,                 1.2411,                0.89018,                 1.4038,                0.00868,                0.00868,                0.00868
                     43,                 1.2978,                 1.0369,                 1.4384,                0.82971,                0.67999,                 0.7361,                 0.4462,                 1.2387,                0.89629,                 1.4096,               0.008647,               0.008647,               0.008647
                     44,                  1.285,                 1.0207,                 1.4367,                  0.867,                0.66865,                0.74734,                0.46259,                 1.2419,                0.87102,                 1.3957,               0.008614,               0.008614,               0.008614
                     45,                 1.2797,                 1.0085,                 1.4189,                0.83578,                0.67753,                 0.7459,                0.46492,                 1.2219,                0.85127,                 1.3991,               0.008581,               0.008581,               0.008581
                     46,                 1.2708,                 1.0042,                 1.4322,                0.82343,                0.68285,                0.74432,                0.46156,                 1.2136,                0.86905,                 1.3927,               0.008548,               0.008548,               0.008548
                     47,                 1.2568,                0.99581,                 1.4111,                0.85001,                 0.6786,                0.75574,                0.47118,                 1.1996,                0.85595,                 1.3756,               0.008515,               0.008515,               0.008515
                     48,                 1.2599,                0.98972,                 1.4165,                0.86179,                0.68688,                0.76294,                0.48025,                  1.189,                 0.8303,                   1.36,               0.008482,               0.008482,               0.008482
                     49,                 1.2534,                0.98045,                 1.4057,                0.84344,                0.67924,                0.75874,                0.48286,                 1.1825,                0.83957,                 1.3666,               0.008449,               0.008449,               0.008449
                     50,                  1.242,                0.97792,                 1.4017,                0.85102,                0.68639,                0.76266,                 0.4769,                 1.1849,                0.82731,                 1.3647,               0.008416,               0.008416,               0.008416
                     51,                 1.2447,                0.96837,                 1.4087,                0.86037,                0.67392,                0.75103,                0.47342,                 1.2035,                0.83185,                 1.3759,               0.008383,               0.008383,               0.008383
                     52,                 1.2418,                0.96513,                 1.3985,                0.85967,                0.71391,                0.77335,                0.48143,                 1.1708,                0.80379,                 1.3528,                0.00835,                0.00835,                0.00835
                     53,                 1.2328,                0.95424,                 1.3832,                0.86071,                0.70275,                0.77632,                 0.4853,                 1.1594,                0.78497,                 1.3385,               0.008317,               0.008317,               0.008317
                     54,                 1.2301,                0.94903,                 1.3812,                0.86829,                0.71857,                0.79045,                0.50186,                 1.1399,                0.78922,                 1.3195,               0.008284,               0.008284,               0.008284
                     55,                 1.2252,                0.93815,                 1.3873,                0.86942,                0.72193,                0.78988,                0.50547,                 1.1422,                0.76583,                  1.328,               0.008251,               0.008251,               0.008251
                     56,                 1.2239,                0.92733,                 1.3842,                0.86858,                0.71357,                 0.7789,                0.49378,                 1.1452,                 0.7894,                  1.329,               0.008218,               0.008218,               0.008218
                     57,                 1.2133,                0.92791,                 1.3761,                0.87022,                0.71353,                0.78361,                0.50274,                  1.137,                0.77889,                 1.3256,               0.008185,               0.008185,               0.008185
                     58,                 1.2074,                0.91709,                 1.3671,                0.87665,                0.71384,                0.79088,                0.51004,                 1.1237,                0.75894,                 1.3059,               0.008152,               0.008152,               0.008152
                     59,                 1.2085,                0.90861,                 1.3618,                0.86859,                0.73183,                0.79588,                0.51664,                 1.1187,                0.76688,                 1.2982,               0.008119,               0.008119,               0.008119
                     60,                  1.194,                0.91061,                 1.3627,                0.86246,                0.72715,                0.78847,                0.51021,                 1.1255,                0.75281,                 1.3081,               0.008086,               0.008086,               0.008086
                     61,                  1.187,                0.89631,                 1.3487,                0.87766,                0.72638,                0.80293,                0.51494,                 1.1221,                0.75025,                 1.3005,               0.008053,               0.008053,               0.008053
                     62,                   1.19,                 0.8964,                 1.3551,                0.88286,                0.72936,                 0.8048,                0.51499,                 1.1115,                0.73878,                 1.2929,                0.00802,                0.00802,                0.00802
                     63,                 1.1872,                0.88437,                 1.3448,                0.87169,                 0.7416,                0.81143,                0.51889,                  1.112,                0.72765,                  1.296,               0.007987,               0.007987,               0.007987
                     64,                  1.175,                0.87977,                 1.3339,                0.86594,                0.73964,                0.80983,                0.52347,                 1.1076,                0.72746,                 1.2893,               0.007954,               0.007954,               0.007954
                     65,                 1.1773,                0.87955,                 1.3437,                0.87745,                0.73683,                0.80898,                0.52471,                 1.0974,                0.72478,                 1.2772,               0.007921,               0.007921,               0.007921
                     66,                 1.1731,                0.87199,                 1.3389,                0.87077,                 0.7435,                0.80707,                0.53114,                 1.0904,                0.71293,                 1.2734,               0.007888,               0.007888,               0.007888
                     67,                 1.1657,                0.87596,                 1.3336,                0.88731,                0.74442,                 0.8169,                 0.5358,                 1.0905,                0.71161,                  1.272,               0.007855,               0.007855,               0.007855
                     68,                 1.1664,                0.87024,                 1.3347,                0.90023,                0.75261,                0.82537,                0.54742,                 1.0674,                0.70082,                  1.252,               0.007822,               0.007822,               0.007822
                     69,                 1.1629,                0.87368,                 1.3316,                0.87857,                0.74997,                0.81994,                0.54581,                 1.0691,                0.69683,                 1.2544,               0.007789,               0.007789,               0.007789
                     70,                 1.1491,                0.85471,                 1.3183,                0.90555,                 0.7514,                 0.8285,                0.54072,                 1.0849,                0.69233,                 1.2615,               0.007756,               0.007756,               0.007756
                     71,                 1.1517,                0.86717,                 1.3252,                0.89729,                 0.7434,                0.82267,                0.53784,                 1.0844,                0.70057,                 1.2655,               0.007723,               0.007723,               0.007723
                     72,                 1.1475,                0.84061,                 1.3189,                0.88851,                0.75677,                0.83005,                0.56143,                 1.0546,                0.67045,                 1.2403,                0.00769,                0.00769,                0.00769
                     73,                 1.1304,                0.83746,                  1.309,                0.88887,                0.76932,                0.82335,                0.55195,                 1.0531,                0.67813,                 1.2412,               0.007657,               0.007657,               0.007657
                     74,                 1.1323,                0.83366,                  1.308,                0.90416,                0.76036,                 0.8313,                0.55581,                 1.0525,                0.66582,                 1.2429,               0.007624,               0.007624,               0.007624
                     75,                 1.1357,                 0.8319,                 1.3127,                0.91067,                0.77047,                0.83764,                0.55456,                 1.0504,                0.67832,                 1.2441,               0.007591,               0.007591,               0.007591
                     76,                 1.1336,                0.83885,                 1.3091,                0.88009,                0.77325,                   0.83,                  0.556,                 1.0402,                0.66226,                 1.2411,               0.007558,               0.007558,               0.007558
                     77,                 1.1332,                0.83585,                 1.3121,                0.91077,                0.76786,                0.83416,                0.55176,                  1.053,                0.66805,                 1.2429,               0.007525,               0.007525,               0.007525
                     78,                 1.1237,                0.82532,                 1.2959,                 0.9124,                0.77989,                0.84313,                 0.5675,                 1.0281,                0.65978,                 1.2208,               0.007492,               0.007492,               0.007492
                     79,                 1.1227,                0.82441,                 1.2929,                0.91433,                0.78044,                0.84601,                0.56635,                 1.0331,                0.64937,                 1.2224,               0.007459,               0.007459,               0.007459
                     80,                 1.1252,                0.81765,                 1.2964,                0.91073,                0.77666,                0.84242,                0.55991,                  1.037,                0.64648,                 1.2289,               0.007426,               0.007426,               0.007426
