                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4847,                 3.9962,                 4.1503,                0.00076,                0.17069,                0.00528,                0.00148,                 3.5143,                 3.7599,                 3.9689,               0.070291,               0.003301,               0.003301
                      2,                 3.2707,                 3.4387,                 3.6814,                 0.7993,                0.03362,                0.01951,                0.00634,                 3.0825,                 4.5003,                 3.7103,               0.040269,              0.0066124,              0.0066124
                      3,                 2.8785,                 3.1244,                 3.2332,                0.76306,                0.06168,                 0.0102,                0.00309,                 3.0027,                 7.7844,                 3.2933,               0.010225,              0.0099019,              0.0099019
                      4,                 2.4724,                 2.7751,                 2.7475,                0.42265,                0.09754,                0.04621,                0.01825,                 2.5582,                 4.4071,                  2.794,               0.009901,               0.009901,               0.009901
                      5,                 2.2659,                 2.5184,                 2.4781,                0.45924,                0.18745,                0.14013,                0.05946,                 2.4367,                 4.0872,                 2.6024,               0.009901,               0.009901,               0.009901
                      6,                  2.124,                 2.3151,                  2.286,                0.27374,                0.21963,                0.20756,                0.09905,                 2.1704,                 2.2952,                   2.33,               0.009868,               0.009868,               0.009868
                      7,                  2.044,                  2.205,                 2.1952,                0.64192,                0.22051,                0.24282,                0.11701,                 2.1245,                 2.2172,                 2.2956,               0.009835,               0.009835,               0.009835
                      8,                 1.9579,                 2.0594,                 2.0907,                0.44754,                0.27819,                0.26476,                0.12947,                 2.0635,                 2.0787,                 2.2082,               0.009802,               0.009802,               0.009802
                      9,                 1.9139,                 1.9831,                  2.015,                0.41897,                0.31577,                0.30082,                 0.1501,                 1.9874,                 2.0475,                 2.1065,               0.009769,               0.009769,               0.009769
                     10,                 1.8507,                 1.8756,                 1.9552,                 0.5601,                0.31229,                 0.3153,                0.16341,                 1.9543,                 1.8579,                 2.0675,               0.009736,               0.009736,               0.009736
                     11,                 1.7902,                 1.7859,                 1.9024,                 0.4694,                0.36198,                0.35605,                0.18279,                 1.8666,                 1.7341,                 1.9805,               0.009703,               0.009703,               0.009703
                     12,                 1.7567,                 1.7346,                 1.8647,                0.47071,                0.38546,                0.38016,                0.19847,                  1.778,                 1.7045,                 1.8995,                0.00967,                0.00967,                0.00967
