                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4838,                  3.994,                 4.1449,                0.00077,                0.17134,                0.00552,                0.00154,                 3.5091,                 3.7977,                 3.9644,               0.070291,               0.003301,               0.003301
                      2,                 3.1967,                 3.4402,                 3.6553,                0.29571,                0.05385,                0.02962,                0.00879,                 3.0496,                 3.6736,                 4.0052,               0.040269,              0.0066124,              0.0066124
                      3,                 2.8277,                 3.0979,                 3.2107,                 0.7694,                0.03296,                 0.0094,                0.00231,                 3.1573,                 13.271,                 3.4412,               0.010225,              0.0099019,              0.0099019
                      4,                 2.4464,                 2.7772,                 2.7745,                0.49543,                0.13792,                0.11496,                0.04819,                 2.4464,                 3.8335,                 2.7416,               0.009901,               0.009901,               0.009901
                      5,                 2.2436,                 2.5422,                 2.5045,                0.57741,                0.17356,                0.17009,                0.07117,                 2.3581,                 2.8386,                 2.5596,               0.009901,               0.009901,               0.009901
                      6,                 2.1202,                 2.3378,                 2.3076,                0.29603,                0.15345,                0.15451,                0.07148,                 2.3564,                 2.7032,                 2.5095,               0.009868,               0.009868,               0.009868
                      7,                 2.0486,                 2.2244,                 2.2166,                0.33078,                  0.222,                0.20026,                0.09118,                 2.2037,                 2.4556,                 2.3196,               0.009835,               0.009835,               0.009835
                      8,                 1.9491,                 2.0802,                 2.1078,                0.41558,                0.25423,                0.25261,                0.12498,                 2.0545,                 2.0712,                 2.2187,               0.009802,               0.009802,               0.009802
                      9,                 1.9052,                  1.995,                 2.0296,                0.41779,                0.31336,                0.30998,                0.15648,                  1.946,                 1.9939,                 2.0828,               0.009769,               0.009769,               0.009769
                     10,                  1.842,                 1.8856,                 1.9685,                0.54816,                0.35153,                0.35904,                0.18046,                 1.9251,                 1.7816,                 2.0281,               0.009736,               0.009736,               0.009736
                     11,                 1.7963,                 1.8132,                  1.924,                0.50649,                0.36971,                0.37217,                0.18845,                  1.917,                 1.8385,                 2.0334,               0.009703,               0.009703,               0.009703
                     12,                 1.7665,                 1.7469,                 1.8841,                0.54726,                0.41411,                0.41292,                0.21568,                 1.7944,                 1.6211,                 1.9172,                0.00967,                0.00967,                0.00967
