                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2855,                0.63589,                 1.2208,                0.93638,                0.90473,                0.95634,                0.69901,                 1.4067,                0.57725,                 1.2422,             0.00041262,             0.00041262,             0.00041262
                      2,                 1.4497,                0.71928,                 1.2808,                0.90967,                0.88571,                 0.9388,                0.66296,                 1.5234,                0.64196,                 1.2867,             0.00081903,             0.00081903,             0.00081903
                      3,                 1.5222,                 0.7702,                 1.3114,                0.89272,                0.85189,                0.92057,                0.61362,                 1.7213,                0.72329,                 1.3804,              0.0012151,              0.0012151,              0.0012151
                      4,                 1.6411,                0.81583,                 1.3522,                0.88086,                0.83889,                0.90245,                0.61466,                 1.6496,                0.73788,                 1.3429,              0.0012036,              0.0012036,              0.0012036
                      5,                  1.664,                0.82049,                 1.3599,                0.87874,                0.85344,                0.89878,                0.59235,                 1.7861,                0.75406,                 1.4115,              0.0012036,              0.0012036,              0.0012036
                      6,                 1.6547,                0.82626,                 1.3505,                0.90688,                0.84572,                0.91065,                 0.6101,                  1.707,                0.74448,                 1.3771,              0.0011881,              0.0011881,              0.0011881
                      7,                 1.6594,                0.82947,                 1.3682,                0.91263,                0.84625,                0.91235,                0.61774,                 1.7057,                0.73059,                 1.3638,              0.0011727,              0.0011727,              0.0011727
                      8,                 1.6277,                0.81889,                 1.3511,                0.91131,                0.84533,                0.91005,                0.60664,                 1.7766,                0.75039,                 1.3882,              0.0011572,              0.0011572,              0.0011572
                      9,                 1.6612,                0.82773,                 1.3546,                0.90956,                0.83522,                0.91594,                0.62137,                 1.7045,                0.73349,                 1.3689,              0.0011417,              0.0011417,              0.0011417
                     10,                 1.6552,                0.82115,                 1.3602,                0.90706,                 0.8416,                0.91627,                0.62443,                  1.678,                0.71695,                 1.3492,              0.0011263,              0.0011263,              0.0011263
                     11,                 1.6175,                0.81104,                 1.3477,                0.89454,                0.85595,                0.91463,                0.61322,                  1.693,                0.71858,                 1.3524,              0.0011108,              0.0011108,              0.0011108
                     12,                 1.6459,                0.82956,                 1.3647,                0.91854,                0.86831,                0.92968,                0.62664,                 1.6888,                0.70589,                 1.3705,              0.0010953,              0.0010953,              0.0010953
                     13,                 1.6408,                0.81612,                 1.3541,                0.89691,                 0.8523,                0.91875,                0.63331,                 1.6573,                 0.7285,                 1.3568,              0.0010798,              0.0010798,              0.0010798
                     14,                 1.6258,                0.81852,                 1.3556,                0.90012,                0.86292,                0.92375,                0.63962,                 1.6444,                0.70934,                 1.3383,              0.0010644,              0.0010644,              0.0010644
                     15,                 1.6059,                0.81354,                 1.3442,                0.90947,                0.84298,                0.92035,                0.63888,                 1.6294,                0.72263,                 1.3344,              0.0010489,              0.0010489,              0.0010489
                     16,                 1.6101,                0.81517,                 1.3432,                0.91579,                0.85954,                0.92342,                0.64107,                 1.6013,                0.71302,                 1.3245,              0.0010334,              0.0010334,              0.0010334
                     17,                 1.5776,                0.80864,                  1.331,                  0.925,                0.85912,                0.92726,                0.64431,                 1.6205,                0.70749,                 1.3266,               0.001018,               0.001018,               0.001018
                     18,                 1.5815,                0.81352,                 1.3256,                0.91559,                 0.8634,                0.92253,                0.63383,                 1.6431,                0.72058,                 1.3418,              0.0010025,              0.0010025,              0.0010025
                     19,                 1.5891,                0.80299,                 1.3287,                0.91769,                0.83851,                0.91805,                0.63832,                 1.6126,                0.72229,                 1.3353,             0.00098703,             0.00098703,             0.00098703
                     20,                 1.5969,                0.81491,                 1.3416,                0.91677,                0.86554,                0.92651,                0.65322,                 1.5749,                0.70521,                  1.317,             0.00097156,             0.00097156,             0.00097156
                     21,                 1.6116,                0.82565,                 1.3347,                0.91487,                0.85049,                0.92025,                 0.6429,                 1.6041,                0.71509,                 1.3207,             0.00095609,             0.00095609,             0.00095609
                     22,                  1.587,                0.81923,                 1.3354,                0.91191,                0.85359,                 0.9231,                0.63493,                 1.6116,                0.71816,                 1.3174,             0.00094062,             0.00094062,             0.00094062
                     23,                 1.5959,                0.81607,                 1.3448,                  0.909,                0.86367,                0.92071,                0.63532,                 1.6333,                0.71833,                 1.3319,             0.00092516,             0.00092516,             0.00092516
                     24,                 1.6032,                0.82009,                 1.3322,                0.91074,                0.85467,                0.91975,                0.63299,                 1.6403,                0.71388,                 1.3395,             0.00090969,             0.00090969,             0.00090969
                     25,                 1.5849,                0.81386,                 1.3294,                0.91162,                0.86358,                0.92521,                0.64278,                 1.6237,                0.70775,                  1.327,             0.00089422,             0.00089422,             0.00089422
                     26,                 1.5658,                0.80421,                 1.3204,                0.92768,                0.85464,                 0.9305,                0.64535,                 1.5896,                  0.694,                 1.3203,             0.00087875,             0.00087875,             0.00087875
                     27,                 1.5702,                0.80917,                 1.3343,                0.91234,                0.86808,                0.93098,                0.65454,                 1.5833,                0.68894,                 1.3163,             0.00086328,             0.00086328,             0.00086328
                     28,                 1.5672,                0.80057,                 1.3275,                0.93067,                0.86818,                0.93102,                0.65824,                 1.5732,                0.67982,                 1.3131,             0.00084781,             0.00084781,             0.00084781
                     29,                 1.5536,                0.79676,                 1.3215,                0.92707,                0.87429,                0.93114,                0.65976,                 1.5496,                0.67956,                 1.2996,             0.00083234,             0.00083234,             0.00083234
                     30,                 1.5489,                0.78991,                 1.3198,                0.92176,                0.87431,                0.93156,                0.66062,                 1.5626,                0.67734,                 1.3099,             0.00081688,             0.00081688,             0.00081688
                     31,                 1.5669,                0.79942,                 1.3336,                0.92919,                 0.8607,                0.92853,                0.64826,                 1.5854,                0.68737,                 1.3212,             0.00080141,             0.00080141,             0.00080141
                     32,                  1.553,                0.79406,                 1.3188,                0.91648,                0.87967,                0.93216,                0.66491,                 1.5443,                0.66999,                  1.297,             0.00078594,             0.00078594,             0.00078594
                     33,                 1.5544,                0.78449,                 1.3268,                0.89425,                0.88232,                0.92918,                0.65863,                 1.5577,                0.68231,                 1.3072,             0.00077047,             0.00077047,             0.00077047
                     34,                 1.5419,                0.79838,                 1.3208,                 0.9161,                0.87444,                0.93048,                0.64359,                 1.5896,                0.68183,                 1.3142,               0.000755,               0.000755,               0.000755
                     35,                  1.528,                0.78013,                 1.3071,                0.92239,                0.88557,                0.93771,                0.66489,                 1.5182,                 0.6554,                 1.2865,             0.00073953,             0.00073953,             0.00073953
                     36,                 1.5468,                0.78023,                 1.3174,                0.93237,                0.86746,                0.93382,                0.65458,                 1.5793,                0.65899,                 1.3134,             0.00072406,             0.00072406,             0.00072406
                     37,                 1.5148,                0.76351,                 1.3039,                0.92528,                0.88217,                0.93492,                0.66444,                  1.532,                0.65176,                 1.2899,             0.00070859,             0.00070859,             0.00070859
