                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4258,                0.72129,                 1.2711,                0.92828,                0.89689,                0.94307,                0.68169,                 1.4629,                0.62591,                   1.26,             0.00041262,             0.00041262,             0.00041262
                      2,                 1.4932,                0.74975,                  1.295,                0.93649,                0.87705,                0.93609,                 0.6693,                 1.5351,                0.66099,                 1.2967,             0.00081903,             0.00081903,             0.00081903
                      3,                 1.5529,                0.79046,                 1.3191,                0.89885,                0.82987,                0.90692,                0.60773,                 1.7758,                 0.7615,                 1.3959,              0.0012151,              0.0012151,              0.0012151
                      4,                 1.6443,                0.82598,                 1.3501,                0.88677,                 0.8366,                0.90763,                0.61317,                 1.7267,                0.78986,                 1.3798,              0.0012036,              0.0012036,              0.0012036
                      5,                 1.6781,                0.83793,                 1.3595,                0.89228,                0.83346,                0.89774,                0.60354,                 1.7775,                0.79539,                 1.4112,              0.0012036,              0.0012036,              0.0012036
                      6,                 1.6716,                0.84465,                 1.3562,                0.90549,                0.83674,                0.91157,                0.60738,                 1.7484,                0.77548,                 1.4038,              0.0011881,              0.0011881,              0.0011881
                      7,                 1.6947,                0.85077,                 1.3757,                0.89858,                0.85867,                0.91506,                0.61728,                 1.7253,                0.76387,                  1.381,              0.0011727,              0.0011727,              0.0011727
                      8,                 1.6912,                0.84683,                 1.3697,                0.89351,                0.85019,                0.91148,                0.61739,                 1.7357,                0.74521,                 1.3789,              0.0011572,              0.0011572,              0.0011572
                      9,                 1.7071,                0.86055,                  1.369,                0.88019,                0.81519,                0.90128,                0.60717,                 1.8221,                0.79104,                 1.4236,              0.0011417,              0.0011417,              0.0011417
                     10,                 1.6988,                0.85478,                  1.377,                0.89618,                0.83738,                0.90917,                0.61132,                 1.7044,                0.78523,                  1.377,              0.0011263,              0.0011263,              0.0011263
                     11,                  1.693,                0.85366,                 1.3765,                0.89304,                0.82833,                0.90773,                 0.6039,                 1.7653,                0.78079,                 1.3981,              0.0011108,              0.0011108,              0.0011108
                     12,                  1.705,                0.86866,                 1.3891,                0.91533,                0.84463,                0.90808,                 0.6005,                 1.7634,                0.76762,                 1.4102,              0.0010953,              0.0010953,              0.0010953
                     13,                 1.7135,                0.85634,                 1.3831,                0.88036,                0.84632,                  0.912,                0.60583,                  1.804,                0.79064,                 1.4308,              0.0010798,              0.0010798,              0.0010798
