                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7689,                 1.3085,                 1.7667,                0.80249,                0.31839,                0.58641,                0.34277,                   3.42,                 2.5068,                 2.0337,             0.00041262,             0.00041262,             0.00041262
                      2,                 1.9128,                0.95332,                 1.4584,                0.86042,                0.78537,                0.88036,                0.56751,                 1.9974,                0.93555,                 1.5027,             0.00081287,             0.00081287,             0.00081287
                      3,                 1.8773,                0.94918,                 1.4478,                0.83926,                0.79772,                0.85421,                0.51558,                 2.1533,                0.92728,                  1.586,              0.0011966,              0.0011966,              0.0011966
                      4,                 1.9394,                0.96064,                  1.466,                0.78406,                 0.7877,                0.83517,                0.51135,                 2.1093,                 1.0164,                 1.5512,              0.0011757,              0.0011757,              0.0011757
                      5,                 1.9378,                0.94924,                 1.4567,                0.82117,                0.77709,                 0.8469,                  0.525,                 2.0171,                 0.9493,                 1.5211,              0.0011757,              0.0011757,              0.0011757
                      6,                 1.8836,                0.93264,                 1.4348,                0.83856,                0.79901,                0.85807,                0.53398,                 2.0855,                0.89644,                 1.5695,               0.001151,               0.001151,               0.001151
                      7,                 1.8718,                0.92705,                 1.4474,                0.85778,                0.79497,                0.87904,                0.57073,                 1.8935,                0.90304,                 1.4641,              0.0011263,              0.0011263,              0.0011263
                      8,                 1.8209,                0.89876,                 1.4218,                0.84947,                0.79754,                 0.8666,                0.55428,                 1.9449,                0.93338,                 1.4824,              0.0011015,              0.0011015,              0.0011015
                      9,                 1.8242,                0.89886,                 1.4138,                0.86249,                0.81465,                0.88578,                0.57214,                 1.9552,                0.83437,                 1.4886,              0.0010768,              0.0010768,              0.0010768
                     10,                 1.7594,                0.87436,                 1.4026,                0.84937,                0.82136,                0.88223,                0.55236,                 1.9215,                0.87424,                 1.4635,               0.001052,               0.001052,               0.001052
                     11,                 1.7523,                0.86771,                 1.4025,                0.86571,                0.80357,                0.89441,                0.57628,                 1.8441,                0.84896,                 1.4648,              0.0010273,              0.0010273,              0.0010273
                     12,                 1.7397,                0.86749,                 1.4011,                0.88717,                0.83158,                0.90899,                0.58891,                 1.8539,                0.78731,                  1.475,              0.0010025,              0.0010025,              0.0010025
                     13,                 1.7294,                0.84751,                 1.3903,                0.87041,                0.83607,                0.90608,                    0.6,                 1.8107,                0.78089,                 1.4306,             0.00097775,             0.00097775,             0.00097775
                     14,                 1.6943,                 0.8294,                 1.3812,                0.89607,                0.85955,                0.91641,                0.61782,                 1.7511,                0.73312,                 1.3988,               0.000953,               0.000953,               0.000953
                     15,                 1.6682,                 0.8221,                 1.3669,                0.89746,                 0.8413,                0.91319,                0.60605,                 1.7763,                0.75308,                 1.4159,             0.00092825,             0.00092825,             0.00092825
                     16,                 1.6637,                0.81237,                 1.3658,                0.88848,                0.86314,                0.91544,                0.61611,                 1.6941,                0.72947,                 1.3893,              0.0009035,              0.0009035,              0.0009035
                     17,                 1.6384,                0.80139,                 1.3536,                0.90606,                0.84725,                 0.9215,                 0.6258,                 1.7091,                0.71283,                 1.3784,             0.00087875,             0.00087875,             0.00087875
                     18,                 1.6094,                0.79636,                 1.3399,                0.89213,                0.84949,                0.91896,                0.61693,                 1.7375,                0.73065,                 1.3859,               0.000854,               0.000854,               0.000854
                     19,                 1.6348,                0.78841,                 1.3458,                0.90283,                0.84633,                0.91618,                0.61728,                 1.7705,                0.73122,                 1.4131,             0.00082925,             0.00082925,             0.00082925
                     20,                 1.6074,                0.78967,                 1.3497,                0.91236,                 0.8734,                0.92857,                0.62901,                 1.7075,                0.70511,                 1.3763,              0.0008045,              0.0008045,              0.0008045
                     21,                 1.6082,                0.79117,                 1.3379,                 0.9088,                 0.8799,                0.93515,                0.63037,                 1.6872,                0.68726,                 1.3679,             0.00077975,             0.00077975,             0.00077975
                     22,                 1.5879,                0.77589,                 1.3368,                0.91227,                0.87897,                0.93322,                0.64559,                 1.6554,                0.67581,                 1.3429,               0.000755,               0.000755,               0.000755
                     23,                 1.5773,                0.76976,                  1.336,                  0.907,                0.88063,                0.93322,                0.64366,                 1.6235,                0.67568,                 1.3496,             0.00073025,             0.00073025,             0.00073025
